dataset_name,panel_candidate,record_count,protocol_count,ready_to_reuse,missing_metadata
20newsgroups,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Bach,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Baron,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Baron Human,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Baron_Human,biology_candidate,3,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Blood_BoneMarrow,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Bone_Marrow,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
CIFAR10_CLIP,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
COIL20_CLIP,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
CRA002977_1,biology_candidate,3,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Campbell,clubench,39,6,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Drug Consumption,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
FashionMNIST_CLIP,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Guo,biology_candidate,4,2,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Human_Pancreas_1,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Human_Pancreas_3,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
ISOLET,clubench,77,8,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Indian_pines,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
JapaneseVowels,clubench,31,4,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Limb_Muscle,biology_candidate,4,2,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
MNIST_CLIP,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Macosko,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Melanoma_5K,biology_candidate,4,2,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Mouse_Pancreas_1,biology_candidate,4,2,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Mouse_retina,clubench,83,9,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
PCam,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
PRJNA895163,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Pollen,biology_candidate,38,4,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
Quake_10x_Spleen,biology_candidate,4,2,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
