dataset_idx,dataset_name,dataset_type,acc_agglo,acc_autosc,acc_birch,acc_cc,acc_dbscan,acc_dec,acc_divc,acc_dmicc,acc_dscn,acc_edesc,acc_gmm,acc_idec,acc_kernel_kmeans,acc_kfsc,acc_kmeans,acc_kpc,acc_lfss,acc_lrr,acc_meanshift,acc_p2ot,acc_pica,acc_s3comp,acc_spectral_clustering,acc_ssc,ari_agglo,ari_autosc,ari_birch,ari_cc,ari_dbscan,ari_dec,ari_divc,ari_dmicc,ari_dscn,ari_edesc,ari_gmm,ari_idec,ari_kernel_kmeans,ari_kfsc,ari_kmeans,ari_kpc,ari_lfss,ari_lrr,ari_meanshift,ari_p2ot,ari_pica,ari_s3comp,ari_spectral_clustering,ari_ssc,nmi_agglo,nmi_autosc,nmi_birch,nmi_cc,nmi_dbscan,nmi_dec,nmi_divc,nmi_dmicc,nmi_dscn,nmi_edesc,nmi_gmm,nmi_idec,nmi_kernel_kmeans,nmi_kfsc,nmi_kmeans,nmi_kpc,nmi_lfss,nmi_lrr,nmi_meanshift,nmi_p2ot,nmi_pica,nmi_s3comp,nmi_spectral_clustering,nmi_ssc,time_agglo,time_autosc,time_birch,time_cc,time_dbscan,time_dec,time_divc,time_dmicc,time_dscn,time_edesc,time_gmm,time_idec,time_kernel_kmeans,time_kfsc,time_kmeans,time_kpc,time_lfss,time_lrr,time_meanshift,time_p2ot,time_pica,time_s3comp,time_spectral_clustering,time_ssc
128,Mouse_retina.npz,bioinfo,0.403182,0.394076,0.387571,0.233263,0.457420,0.184229,0.188532,0.259882,0.429401,0.386030,0.214270,0.579900,0.469128,0.434044,0.462304,0.427699,0.127289,0.150705,0.417893,0.271223,0.184529,0.260883,0.489743,0.253477,0.170001,0.197919,0.277596,0.149055,0.058033,0.061404,0.137705,0.280734,0.284674,0.268938,0.054659,0.041677,0.345064,0.280521,0.346527,0.209489,0.012498,0.065101,0.117533,0.191300,0.114601,-0.056502,0.322254,0.102457,0.154091,0.442253,0.293867,0.324321,0.021644,0.038786,0.306436,0.303573,0.362621,0.387923,0.071231,0.041714,0.314758,0.400794,0.279679,0.424017,0.013761,0.117079,0.259663,0.282904,0.296899,0.128190,0.439507,0.307177,1190.027870,1401.179100,965.166128,610.585348,14.068804,1247.323945,413.759845,560.992840,750.081395,89.354211,2059.786544,436.283165,809.174065,76.186195,163.056782,6.782570,639.779416,9083.058508,119.592287,5817.246311,323.190760,236.394232,2.502006,6479.838562
129,Campbell.npz,bioinfo,0.578000,0.522500,0.608250,0.537750,0.601000,0.630900,0.535250,0.609750,0.551450,0.553950,0.567000,0.616833,0.557000,0.588650,0.555750,0.517750,0.664250,0.537500,0.457750,0.537667,0.535167,0.510900,0.613750,0.518000,0.024129,0.001776,0.046675,0.005453,0.040618,0.071562,0.004722,0.060567,0.010693,0.018423,0.018000,0.054451,0.012754,0.031238,0.012190,0.001737,0.107690,0.005414,0.013445,0.005436,0.004700,0.000343,0.051550,0.001151,0.032944,0.001436,0.069995,0.004297,0.081179,0.065283,0.003718,0.047221,0.009014,0.014125,0.015000,0.071069,0.010458,0.024601,0.009937,0.001439,0.079463,0.007129,0.107571,0.004277,0.003711,0.007777,0.063404,0.017894,186.350750,150.481393,198.558095,314.409898,2.205005,572.407701,150.682907,197.982940,111.330623,30.899350,6362.279000,121.890063,31.754357,5.234961,6.544669,2.618728,250.686162,727.630617,44.563942,332.390260,120.121384,23.577865,6.489644,194.256136
130,Baron Human.npz,bioinfo,0.452727,0.594131,0.488226,0.358656,0.324932,0.221796,0.349308,0.331795,0.818365,0.648113,0.361000,0.216819,0.411549,0.539652,0.508461,0.637179,0.171932,0.337238,0.267306,0.471187,0.333688,0.833203,0.542066,0.909951,0.321339,0.528122,0.233552,0.265378,0.049688,0.037106,0.166983,0.174383,0.710017,0.480032,0.057000,0.018728,0.087535,0.421641,0.338109,0.574422,0.012000,0.133803,0.083784,0.311030,0.175025,0.735414,0.268683,0.864915,0.522990,0.668803,0.430133,0.462442,0.095279,0.066785,0.324617,0.330084,0.742241,0.599532,0.151000,0.031100,0.210036,0.520069,0.541341,0.509666,0.022902,0.254398,0.242345,0.494252,0.343519,0.696665,0.449496,0.813396,600.573301,1008.241075,574.892069,420.151885,0.987798,1052.914806,306.684907,494.253306,403.821794,124.929730,18787.872000,205.080665,292.365533,41.039465,181.858587,6.862969,874.116776,1067.953696,65.962159,650.630952,256.586068,139.198024,68.885849,1714.213416
103,mnist64.npz,image,0.653420,0.792052,0.965804,0.616451,0.699630,0.585767,0.881701,0.795194,0.606285,0.841405,0.804436,0.474122,0.839187,0.949353,0.878004,0.485767,0.734750,0.650600,0.174677,0.776956,0.828404,0.942144,0.958410,0.878928,0.602049,0.741576,0.923537,0.412237,0.552781,0.445060,0.751259,0.625101,0.500094,0.723644,0.677191,0.259231,0.674510,0.888320,0.748538,0.275894,0.504136,0.523200,0.000300,0.599135,0.662636,0.869730,0.908516,0.756057,0.735513,0.791509,0.933197,0.489989,0.701883,0.533632,0.776739,0.665592,0.646318,0.774398,0.749267,0.342770,0.725903,0.894396,0.773362,0.333807,0.542143,0.596500,0.040932,0.669376,0.705413,0.868046,0.915122,0.786688,0.060203,9.928089,0.179119,23.035705,0.014326,55.323725,25.959324,40.717985,18.371406,4.572666,1.528674,13.060141,4.087729,1.129657,1.102169,0.149625,98.017865,21.673000,13.261904,287.599671,22.987602,7.664474,0.161605,5.417318
104,MNIST_CLIP.npz,image,0.520508,0.801521,0.542717,0.452481,0.318327,0.612865,0.530912,0.491477,0.756202,0.779852,0.538695,0.466553,0.570128,0.888195,0.573729,0.423850,0.455682,0.410000,0.115546,0.538282,0.503035,0.789516,0.781052,0.663665,0.338556,0.732187,0.376305,0.248178,0.102959,0.459360,0.352537,0.301055,0.633041,0.673213,0.345364,0.275409,0.396686,0.776420,0.408112,0.247859,0.259574,0.163900,0.000027,0.372554,0.337743,0.712172,0.677858,0.471565,0.511196,0.799715,0.574063,0.362351,0.329074,0.567625,0.438177,0.395072,0.705823,0.740190,0.505967,0.378767,0.518717,0.778693,0.521369,0.326433,0.330552,0.218300,0.011958,0.478604,0.446082,0.779163,0.786954,0.631239,21.395553,491.187788,24.393659,570.962788,1.134891,278.293413,221.727642,388.482519,464.973377,96.057922,14.671737,95.028700,286.340493,50.093670,25.699049,9.857282,195.595915,9238.100000,140.585205,759.419482,204.029860,437.735487,8.691323,2768.613815
105,fashion_mnist.npz,image,0.417333,0.584667,0.468333,0.515667,0.235667,0.436600,0.486333,0.509000,0.541600,0.507533,0.570800,0.501333,0.564000,0.590733,0.506333,0.449133,0.492333,0.330667,0.146333,0.557000,0.511778,0.613333,0.552000,0.523667,0.331520,0.466079,0.303006,0.300156,0.035048,0.295869,0.302520,0.320080,0.356703,0.393382,0.367211,0.334758,0.366996,0.417999,0.378924,0.283930,0.331650,0.183014,0.010536,0.362437,0.316635,0.478495,0.396810,0.398473,0.531218,0.627288,0.518362,0.439140,0.270221,0.431091,0.457855,0.471375,0.520867,0.553720,0.514167,0.477086,0.502069,0.535067,0.549343,0.408540,0.458407,0.270754,0.200401,0.507708,0.461202,0.608641,0.581780,0.556912,2.542645,67.110741,3.671933,119.075498,0.111630,132.795847,69.576427,117.212258,92.989075,23.859166,6.385961,30.504473,41.993127,22.845189,1.122169,2.495721,156.576772,62.488051,41.887326,1460.203343,62.101849,17.267160,0.805689,169.391007
106,FashionMNIST_CLIP.npz,image,0.498600,0.648300,0.622200,0.627400,0.384600,0.635300,0.683200,0.552020,0.598100,0.672900,0.634820,0.549033,0.670900,0.676980,0.675900,0.485400,0.600600,0.428100,0.101200,0.636067,0.652733,0.655000,0.687260,0.553300,0.429313,0.549882,0.496998,0.470126,0.172451,0.528398,0.547529,0.418789,0.432199,0.562854,0.519171,0.401073,0.555580,0.559746,0.556134,0.341395,0.401516,0.202300,0.000003,0.482807,0.517113,0.539917,0.553938,0.450964,0.618483,0.681183,0.658721,0.589638,0.468599,0.661157,0.643808,0.541394,0.598830,0.672758,0.665815,0.562845,0.667628,0.652839,0.666568,0.455701,0.479156,0.281400,0.005197,0.583398,0.623863,0.671249,0.717375,0.597864,20.226193,490.073425,23.673435,573.655800,1.154066,384.618201,223.065486,375.266889,426.696247,17.409202,63.514012,79.121747,130.933800,40.005153,6.443303,8.871868,165.411710,9950.900000,254.321426,730.572284,203.569736,404.795171,3.549488,2788.326184
107,cifar10.npz,image,0.194154,0.237846,0.203692,0.217538,0.148615,0.171487,0.204615,0.210154,0.244369,0.208677,0.225354,0.168821,0.209538,0.202215,0.227692,0.135631,0.196615,0.142769,0.110462,0.209026,0.195692,0.197231,0.203631,0.215692,0.030472,0.053909,0.031965,0.034809,0.021222,0.017296,0.032375,0.033349,0.050737,0.037818,0.049209,0.018199,0.034691,0.038594,0.043236,0.003400,0.027874,0.006527,0.000970,0.036737,0.030594,0.042290,0.033458,0.039295,0.061337,0.103033,0.068068,0.066295,0.063346,0.043980,0.064871,0.066531,0.094723,0.070929,0.093664,0.042446,0.073208,0.078039,0.076293,0.011766,0.056836,0.018051,0.113949,0.070118,0.060917,0.070283,0.068154,0.080768,3.448591,90.251938,4.132079,450.711485,0.143126,93.914714,75.923584,142.143243,106.885523,8.362641,9.814849,34.701963,64.341399,23.981591,15.436658,2.386090,228.707174,74.022920,44.929595,139.056064,69.194236,155.180251,0.161227,171.150208
108,CIFAR10_CLIP.npz,image,0.588600,0.834700,0.688500,0.623500,0.146400,0.748980,0.708100,0.509000,0.731200,0.805980,0.730140,0.554000,0.731200,0.791740,0.728100,0.590380,0.546400,0.352900,0.100100,0.726533,0.711900,0.864740,0.767100,0.714800,0.499354,0.658590,0.490643,0.461157,0.001194,0.614974,0.556900,0.321271,0.550314,0.696482,0.540726,0.382134,0.569428,0.623865,0.573570,0.417908,0.288803,0.134400,0.000000,0.556500,0.556473,0.724119,0.486800,0.535004,0.612986,0.724286,0.646900,0.560471,0.108732,0.709883,0.627980,0.460459,0.637152,0.755664,0.676985,0.525745,0.676343,0.669363,0.669395,0.509185,0.354219,0.194500,0.000200,0.634170,0.635719,0.753276,0.707087,0.624894,21.329419,428.845086,21.788543,581.242739,1.045110,276.363809,221.360678,382.976948,550.955222,87.851413,12.803132,93.984351,134.483699,28.683877,28.813765,8.329316,399.949150,9201.100000,92.121361,391.328286,204.418007,410.232499,18.242495,2724.845908
109,coil20.npz,image,0.477778,0.747222,0.663889,0.404167,0.822917,0.607639,0.646806,0.574028,0.527639,0.627500,0.657639,0.596991,0.631944,0.692500,0.690972,0.266111,0.617361,0.754167,0.085417,0.624769,0.676806,0.699722,0.746667,0.633333,0.388773,0.719418,0.618837,0.301397,0.787788,0.536065,0.551282,0.477043,0.374486,0.560679,0.591767,0.517698,0.536775,0.648923,0.606330,0.157482,0.501548,0.689442,0.002378,0.576463,0.592287,0.601554,0.710246,0.536893,0.688043,0.864307,0.804799,0.565093,0.917202,0.744018,0.726110,0.687308,0.684312,0.756465,0.783531,0.730707,0.749603,0.811882,0.779230,0.357506,0.677147,0.829590,0.097789,0.766666,0.754352,0.799726,0.869150,0.794785,0.262584,21.365778,0.566020,195.045963,0.022891,39.370113,33.639443,70.052447,48.339475,8.146468,4.865151,12.396316,11.134115,13.497653,2.954690,19.503093,93.491996,22.377627,3.188839,687.717416,36.805452,7.121133,0.715178,14.277559
