rank_by_acc,algorithm,acc_mean,acc_std,acc_min,acc_max,acc_median,nmi_mean,nmi_std,nmi_min,nmi_max,nmi_median,ari_mean,ari_std,ari_min,ari_max,ari_median,time_mean,time_std,time_min,time_max,time_median
1,spectral_clustering,0.688503,0.207383,0.0715,1.0,0.725275,0.422551,0.32214,0.000254,1.0,0.429075,0.379979,0.311357,-0.023856,1.0,0.348379,7.821949,27.507908,0.003617,222.239982,0.337361
2,kernel_kmeans,0.641819,0.223632,0.0671,1.0,0.663636,0.373488,0.291698,3.6e-05,1.0,0.326155,0.342039,0.293908,-0.009594,1.0,0.288567,33.021835,97.753485,0.021367,809.174065,2.790987
3,kmeans,0.636392,0.217226,0.0675,1.0,0.64,0.379101,0.297737,2.9e-05,1.0,0.350011,0.344123,0.29163,-0.037596,1.0,0.282975,6.504766,25.285292,0.00314,181.858587,0.188266
4,agglo,0.631205,0.221866,0.0745,1.0,0.6075,0.366294,0.29588,7.1e-05,1.0,0.335012,0.323699,0.288515,-0.002822,1.0,0.321339,23.559183,120.14187,0.00078,1190.02787,0.192043
5,gmm,0.626119,0.214681,0.07026,1.0,0.632,0.360069,0.297642,0.000148,1.0,0.28953,0.318665,0.285799,-0.011469,1.0,0.263961,262.644962,1746.017536,0.023209,18787.872,1.325404
6,edesc,0.622788,0.196486,0.07412,1.0,0.61209,0.367197,0.289261,0.000398,1.0,0.310102,0.333935,0.274172,-0.020169,1.0,0.303558,16.698286,23.361831,2.389671,124.92973,6.349456
7,birch,0.619527,0.223068,0.073,0.993083,0.611234,0.363843,0.310801,2.2e-05,0.971125,0.309427,0.316418,0.299075,-0.009046,0.972446,0.259467,21.646281,102.960323,0.005609,965.166128,0.344657
8,idec,0.603428,0.215091,0.069667,1.0,0.59242,0.309164,0.275608,0.000504,1.0,0.259654,0.278684,0.259618,-0.015561,1.0,0.211333,47.077988,58.264138,5.030041,436.283165,28.974035
9,autosc,0.601347,0.217689,0.0685,1.0,0.577259,0.321411,0.324265,7e-06,1.0,0.226877,0.274633,0.312354,-0.048627,1.0,0.164477,157.862882,263.27626,0.686149,1446.631819,24.944212
10,dscn,0.600748,0.196741,0.0709,0.975138,0.599913,0.30098,0.260724,0.000108,0.842456,0.235159,0.248877,0.24105,-0.021084,0.90349,0.175824,174.596168,270.732433,1.331367,1223.510453,29.92717
11,pica,0.5996,0.215358,0.06936,0.992754,0.623487,0.337407,0.285272,0.0,0.985917,0.2779,0.296005,0.281736,-0.002305,0.975321,0.211796,82.340743,86.394227,2.407168,323.19076,43.068298
12,divc,0.596715,0.214207,0.06894,1.0,0.606536,0.339496,0.289681,0.0,1.0,0.276718,0.296894,0.283765,0.0,1.0,0.194448,83.757805,91.136808,2.320253,413.759845,43.841015
13,dmicc,0.593043,0.211085,0.0736,1.0,0.59684,0.317858,0.262951,4.4e-05,1.0,0.26387,0.287317,0.254207,-0.000671,1.0,0.213109,137.888116,145.705511,4.610665,560.99284,70.985481
14,dec,0.589517,0.221655,0.06846,1.0,0.607639,0.316557,0.280271,0.000315,1.0,0.252628,0.284613,0.270067,-0.074041,1.0,0.202097,134.397185,177.924882,6.340388,1247.323945,61.824335
15,p2ot,0.588973,0.202378,0.069733,0.975342,0.58805,0.331486,0.276169,0.000116,0.958108,0.250727,0.289526,0.262772,-0.004911,0.943662,0.235781,1525.601975,2364.581659,18.69892,12437.759221,544.136437
16,cc,0.586961,0.213709,0.0747,0.992095,0.592572,0.321217,0.257996,7.1e-05,0.93155,0.271443,0.283881,0.25773,-0.024658,0.968543,0.209163,249.20282,258.470509,2.192618,1230.546875,123.335296
17,lfss,0.579772,0.2215,0.072,1.0,0.605,0.305034,0.273613,6e-06,1.0,0.219728,0.275336,0.26816,-0.021402,1.0,0.18629,114.338345,130.01376,19.034348,874.116776,77.499663
18,kfsc,0.579169,0.184503,0.07264,1.0,0.588859,0.249751,0.265585,3e-05,1.0,0.152435,0.218771,0.245726,-0.046498,1.0,0.151869,9.210948,15.881807,0.028571,97.994577,2.583691
19,dbscan,0.57081,0.231887,0.0486,1.0,0.568571,0.320536,0.264519,0.0,1.0,0.25674,0.25604,0.259547,-0.000455,1.0,0.142241,0.471307,1.348297,0.002001,14.068804,0.037823
20,ssc,0.570521,0.192047,0.0644,1.0,0.572271,0.214922,0.259393,2.9e-05,1.0,0.080768,0.173878,0.222273,-0.007428,1.0,0.072013,1123.351227,2151.050695,0.060866,9547.904647,35.073568
21,s3comp,0.549132,0.189037,0.07128,1.0,0.542306,0.210755,0.275821,0.0001,1.0,0.0634,0.172768,0.25095,-0.083225,1.0,0.037985,103.340012,186.480928,0.0,920.421688,12.953002
22,lrr,0.529606,0.198339,0.07,1.0,0.536361,0.199995,0.230543,2.9e-05,1.0,0.094234,0.165475,0.209661,-0.039875,1.0,0.076816,1397.188201,3441.562612,0.326,29142.286688,46.865424
23,meanshift,0.485653,0.263904,0.040633,0.974197,0.5,0.220984,0.24969,0.0,0.965716,0.109432,0.172223,0.253991,-0.048298,0.957283,0.016901,77.698747,292.701545,0.087507,2173.426138,4.323265
24,kpc,0.466557,0.170439,0.07378,0.928993,0.484853,0.136236,0.173315,3.1e-05,0.700456,0.052805,0.101411,0.14022,-0.038886,0.658347,0.042295,1.675138,3.271868,0.014957,19.503093,0.20415
