dataset_type,algorithm,acc,nmi,ari,time
bioinfo,agglo,0.47797,0.236675,0.171823,658.983974
bioinfo,autosc,0.503569,0.370831,0.242606,853.300523
bioinfo,birch,0.494683,0.264665,0.185941,579.538764
bioinfo,cc,0.376556,0.263687,0.139962,448.382377
bioinfo,dbscan,0.461117,0.066034,0.049446,5.753869
bioinfo,dec,0.345642,0.056951,0.056691,957.548818
bioinfo,divc,0.357697,0.21159,0.103137,290.375886
bioinfo,dmicc,0.400476,0.226959,0.171895,417.743028
bioinfo,dscn,0.599738,0.371292,0.335128,421.744604
bioinfo,edesc,0.529364,0.33386,0.255798,81.727764
bioinfo,gmm,0.380757,0.079077,0.04322,9069.979181
bioinfo,idec,0.471184,0.047961,0.038285,254.417964
bioinfo,kernel_kmeans,0.479226,0.178417,0.148451,377.764651
bioinfo,kfsc,0.520782,0.315155,0.244467,40.820207
bioinfo,kmeans,0.508838,0.276986,0.232276,117.153346
bioinfo,kpc,0.527543,0.311707,0.261883,5.421422
bioinfo,lfss,0.321157,0.038709,0.044063,588.194118
bioinfo,lrr,0.341815,0.126202,0.068106,3626.214274
bioinfo,meanshift,0.380983,0.203193,0.071587,76.706129
bioinfo,p2ot,0.426692,0.260478,0.169256,2266.755841
bioinfo,pica,0.351128,0.21471,0.098108,233.299404
bioinfo,s3comp,0.534995,0.277544,0.226418,133.056707
bioinfo,spectral_clustering,0.54852,0.317469,0.214163,25.959167
bioinfo,ssc,0.560476,0.379489,0.322841,2796.102704
image,agglo,0.503334,0.495083,0.345576,7.325388
image,autosc,0.60081,0.548066,0.450079,137.061032
image,birch,0.529284,0.497666,0.370136,7.970979
image,cc,0.46164,0.388225,0.264811,257.983494
image,dbscan,0.422419,0.411044,0.237216,0.352259
image,dec,0.480506,0.432362,0.315797,123.066629
image,divc,0.532491,0.456056,0.348718,87.565353
image,dmicc,0.491469,0.420402,0.301505,156.644693
image,dscn,0.531925,0.4793,0.335961,150.808045
image,edesc,0.584215,0.536739,0.431328,22.500167
image,gmm,0.541646,0.490554,0.357238,81.145133
image,idec,0.449855,0.387511,0.26876,36.073308
image,kernel_kmeans,0.546879,0.495644,0.368104,48.113967
image,kfsc,0.569322,0.480449,0.39014,16.65751
image,kmeans,0.578878,0.52489,0.397036,8.28367
image,kpc,0.378609,0.280993,0.182456,4.234662
image,lfss,0.496995,0.387608,0.293366,145.339857
image,lrr,0.409401,0.296049,0.205547,2343.349914
image,meanshift,0.213485,0.18311,0.075091,54.916992
image,p2ot,0.52832,0.457804,0.343053,552.159185
image,pica,0.527347,0.451083,0.341733,82.087381
image,s3comp,0.610795,0.532754,0.442869,128.273217
image,spectral_clustering,0.642779,0.609836,0.483419,3.92717
image,ssc,0.529129,0.463256,0.338688,852.508653
tabular,agglo,0.652251,0.354322,0.321064,2.103589
tabular,autosc,0.604344,0.296263,0.25839,116.221999
tabular,birch,0.635084,0.352986,0.316557,1.917212
tabular,cc,0.610018,0.31941,0.29338,220.905846
tabular,dbscan,0.599022,0.328614,0.272359,0.285029
tabular,dec,0.613468,0.311015,0.288429,104.852143
tabular,divc,0.615943,0.333344,0.302175,71.697715
tabular,dmicc,0.61563,0.313374,0.294878,117.531246
tabular,dscn,0.611004,0.281185,0.239223,160.590332
tabular,edesc,0.627559,0.343159,0.319012,12.755071
tabular,gmm,0.644285,0.355499,0.323981,18.004365
tabular,idec,0.632969,0.308267,0.288146,38.348673
tabular,kernel_kmeans,0.655404,0.360661,0.338582,16.696665
tabular,kfsc,0.588754,0.22348,0.202027,6.286246
tabular,kmeans,0.645835,0.367294,0.34304,1.397976
tabular,kpc,0.474119,0.113448,0.085824,0.818389
tabular,lfss,0.610428,0.317728,0.296654,86.267078
tabular,lrr,0.55617,0.201793,0.174196,945.284669
tabular,meanshift,0.528303,0.2392,0.194065,34.863188
tabular,p2ot,0.605524,0.32414,0.292855,1604.347409
tabular,pica,0.619671,0.330584,0.301607,73.295851
tabular,s3comp,0.535575,0.16395,0.131569,82.034738
tabular,spectral_clustering,0.699918,0.40887,0.379273,5.590482
tabular,ssc,0.575521,0.183053,0.153779,1056.362752
text,agglo,0.668753,0.317558,0.365587,86.158349
text,autosc,0.600603,0.189798,0.159304,439.588173
text,birch,0.643544,0.283252,0.262823,85.782012
text,cc,0.616013,0.24195,0.257051,491.042686
text,dbscan,0.548311,0.152014,0.171606,1.053943
text,dec,0.590496,0.260641,0.261478,218.283109
text,divc,0.570501,0.245329,0.208907,146.137173
text,dmicc,0.579321,0.217176,0.214037,244.231178
text,dscn,0.606065,0.187075,0.175798,294.792364
text,edesc,0.667906,0.352007,0.357619,29.835238
text,gmm,0.650179,0.274069,0.281061,449.308972
text,idec,0.582447,0.267203,0.268179,97.43069
text,kernel_kmeans,0.709325,0.368148,0.399786,78.109603
text,kfsc,0.506439,0.118479,0.097174,18.907783
text,kmeans,0.673079,0.289093,0.299732,24.903795
text,kpc,0.516033,0.081191,0.082227,5.681125
text,lfss,0.462299,0.101739,0.076399,222.532682
text,lrr,0.501895,0.033258,0.026877,4143.899103
text,meanshift,0.516286,0.085772,0.128475,608.759694
text,p2ot,0.561483,0.214665,0.19636,2107.917892
text,pica,0.581172,0.254296,0.216569,135.985374
text,s3comp,0.599367,0.151702,0.146206,292.935782
text,spectral_clustering,0.685809,0.281187,0.259443,34.238161
text,ssc,0.590228,0.083308,0.061245,1813.911185
