batch,version,variant,control_variant,dataset,protocol,source_catalog,n_runs,seeds,n_samples,n_features,n_clusters,ari_mean,ari_std,nmi_mean,nmi_std,acc_mean,acc_std,head_ari_mean,head_ari_std,kmeans_ari_mean,kmeans_ari_std,ari_vs_control,head_ari_vs_control,kmeans_ari_vs_control,ari_vs_ahdpc,ari_vs_hdpc,gate_mean_active,target_gate_mean_active,risk_help_mean_active,reconstruction_help_mean_active,cluster_help_mean_active,edge_consistency_mean_active,temporal_recurrence_mean_active,graph_mean_active,topology_trust_mean,effective_neighbor_count,source_sha256_count,k_source,labels_used_during_fit,provenance_status,evidence_tier,notes
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,2d_20c_no0,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,1517,2,20,0.7631170528133611,0.006163661846924065,0.8975754923235254,0.004174762559944571,0.7969676994067237,0.01026879494225262,0.7631170528133611,,,,,,,-0.18262306360484748,-0.22499421763144956,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,2d_4c_no4,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,863,2,4,0.6825374068177448,0.019369274301745676,0.7567142632265867,0.01119998856878815,0.8964851293935882,0.007348898258184805,0.6825374068177448,,,,,,,-0.022944326413013694,-0.3133368493002736,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,2d_4c_no9,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,876,2,4,0.8075788088540458,0.004603579393617662,0.8449871858503694,0.0059654300001449265,0.8420852359208523,0.002847532257818844,0.8075788088540458,,,,,,,-0.15403432785402715,-0.15403432785402715,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,aggregation,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,788,2,7,0.5796844844981669,0.0064809071567973105,0.756171132032113,0.003772324356296077,0.7233502538071065,0.007471878905522711,0.5796844844981669,,,,,,,-0.4203155155018331,-0.1892375468293115,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,asymmetric,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,1000,2,5,0.5323813073087422,0.056145981474437875,0.655029079025189,0.03579518882299356,0.64,0.09188035698668132,0.5323813073087422,,,,,,,-0.43995482369049965,-0.4375896765958285,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,balance_scale,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,625,4,3,0.1908439302387874,0.073938381484029,0.17723852512500884,0.07931933772432317,0.5461333333333332,0.0513054469709493,0.1908439302387874,,,,,,,0.1756694506409014,-0.14808757527092534,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,banknote,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,1372,4,2,0.01160914633237149,0.0056018482897161985,0.010127784122719818,0.004708889041357552,0.5541788143828961,0.012402574361613442,0.01160914633237149,,,,,,,-0.9508183682096208,-0.6123154205313597,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,dim064,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,1024,64,16,0.9965480363630581,0.0025779139652711935,0.9975213941172724,0.0018138286320309185,0.9983723958333334,0.0012179874305904756,0.9965480363630581,,,,,,,-0.0034519636369418905,-0.0034519636369418905,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,dim512,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,1024,512,16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,flame,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,240,2,2,0.13242592070039383,0.0028510238488306215,0.13855807410536208,0.007500409065922764,0.6847222222222222,0.0019641855032959585,0.13242592070039383,,,,,,,-0.8341855724399194,-0.6295456162742903,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,glass,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,214,10,6,0.3904035144222399,0.008018432902762086,0.6378303241890863,0.014317912448345162,0.4517133956386292,0.002202824863509494,0.3904035144222399,,,,,,,-0.01907361422931836,-0.04914434162205522,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,image_segment,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,210,19,7,0.2711652211731086,0.03487320369502169,0.38190777728507647,0.012590803323386598,0.4952380952380952,0.026937401188058936,0.2711652211731086,,,,,,,-0.14841970271697486,-0.14855341368552405,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,landsat,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,4435,36,6,0.5379929329249283,0.004904229713079485,0.6310832185826737,0.003828847645654849,0.7089064261555805,0.003145952579700349,0.5379929329249283,,,,,,,0.02479245845124356,0.06817447107416208,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,libras_movement,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,360,90,15,0.21509272837865587,0.00815070832266815,0.5056567260429795,0.005609586170813408,0.35833333333333334,0.006000685831859135,0.21509272837865587,,,,,,,-0.0636692709480142,-0.056574649301341345,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,olivetti_faces,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,400,4096,40,0.1103018401104718,0.005131114740299315,0.5365344308875735,0.0031007267395379815,0.285,0.0040824829046386115,0.1103018401104718,,,,,,,-0.38958376824774416,-0.45948360845074393,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,rice,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,3810,7,2,0.2664010662585181,0.047407619624816724,0.24016950034021153,0.01394127089310574,0.7573053368328959,0.023501523322337126,0.2664010662585181,,,,,,,-0.26938223207610557,-0.1792151265470775,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,smile,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,266,2,3,0.37068904281385695,0.015532303475950552,0.5093793546283886,0.01250303710265071,0.7105263157894736,0.012278144074101143,0.37068904281385695,,,,,,,-0.1858771597787494,-0.1858771597787494,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,spect_heart,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,267,22,2,0.24593617568101855,0.02353556467606475,0.14819202237414256,0.008799306468317475,0.7652933832709113,0.015391795263343252,0.24593617568101855,,,,,,,0.26130298473858987,0.2733763318326888,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,student_evaluation,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,5820,33,3,0.004175445816031016,0.009204648196805408,0.007392589393344282,0.004696884318908871,0.42016036655211914,0.031637938542336055,0.004175445816031016,,,,,,,-0.014000610362232841,-0.02527376287807545,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,twodiamonds,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,800,2,2,0.985050040838027,0.007035678085533804,0.968841198605448,0.013117245023444673,0.99625,0.0017677669529663834,0.985050040838027,,,,,,,-0.014949959161972948,-0.014949959161972948,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,unbalance,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,6500,2,8,0.5749934467063595,0.00010460046514834587,0.7674517238022592,0.0013412295671096839,0.5037435897435897,0.00029009508971759043,0.5749934467063595,,,,,,,-0.4249834404549424,-0.4249834404549424,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,vehicle,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,846,18,4,0.0748653631604413,0.008108252003588699,0.11259096684181706,0.006563015038306009,0.3951930654058313,0.021174198333403293,0.0748653631604413,,,,,,,-0.01198374149034781,0.006337607231310216,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,vertebral_column,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,310,6,2,0.23399849286975907,0.005852463646778544,0.21822568477702106,0.00899123699758721,0.7430107526881721,0.0030413194889743534,0.23399849286975907,,,,,,,-0.02302761187391164,0.015845513008548195,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_paper_preprocess,V9,v9_adaptive,AHDPC_reference,website_phishing,paper_preprocess,comparison_by_dataset.csv + per-run summary.json,3,123|42|7,1353,9,3,0.2928897261827423,0.04874370795165838,0.2558460482076175,0.035730868181160294,0.620349839862035,0.044743773677246586,0.2928897261827423,,,,,,,-0.0034138397126223796,0.22171888613941337,,,,,,,,,,,1,labels_unique,False,complete_per_run_summary,3-seed paired V9; persisted single-run baselines,"AHDPC/HDPC are persisted references, not symmetric multi-seed reruns."
v9_advantage_ablation,V9,v9_full,v9_nomix,balance_scale,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,625,4,3,0.1900421686316707,0.08920445547737885,0.1767377685515685,0.09628692695596018,0.5456,0.06198838600899364,,,,,0.0809405428520673,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_nomix,v9_nomix,balance_scale,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,625,4,3,0.1091016257796034,0.10334801977873861,0.09525404258057113,0.0877805278992265,0.4832,0.09361025584838446,,,,,0.0,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_random,v9_nomix,balance_scale,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,625,4,3,0.19798070497127176,0.08155249931255694,0.18480996737959995,0.08600445573829471,0.5493333333333333,0.061643274842705556,,,,,0.08887907919166836,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_static,v9_nomix,balance_scale,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,625,4,3,0.20307906861549554,0.15031886791603946,0.18462969610695742,0.14702169853899325,0.5568,0.09011281817810385,,,,,0.09397744283589214,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_full,v9_nomix,glass,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,214,10,6,0.3904035144222399,0.009820534574255439,0.6378303241890863,0.017535789840144526,0.4517133956386293,0.00269789845415713,,,,,0.040739276370795385,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_nomix,v9_nomix,glass,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,214,10,6,0.34966423805144453,0.06889943253730171,0.6138760452489297,0.04401780033488142,0.43769470404984423,0.01888528917909991,,,,,0.0,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_random,v9_nomix,glass,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,214,10,6,0.3885850907263187,0.005732288797534241,0.6360936618691732,0.010449586334612375,0.45482866043613707,0.00269789845415713,,,,,0.03892085267487416,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_static,v9_nomix,glass,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,214,10,6,0.37781710220348524,0.024326003876262315,0.6283199949572533,0.012870282651021905,0.4454828660436137,0.00539579690831426,,,,,0.028152864152040713,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_full,v9_nomix,image_segment,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,210,19,7,0.2728147343853067,0.039912556883647865,0.3810087176372659,0.016975542752750688,0.49682539682539684,0.030242156957551784,,,,,0.021354645028687447,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_nomix,v9_nomix,image_segment,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,210,19,7,0.25146008935661923,0.013977084500672464,0.3808858958701949,0.010052122837859053,0.4936507936507937,0.015307382160306287,,,,,0.0,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_random,v9_nomix,image_segment,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,210,19,7,0.2523134932017097,0.029321012774178874,0.3660293650070296,0.022593007316167202,0.48095238095238096,0.028965535858562912,,,,,0.0008534038450904724,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
v9_advantage_ablation,V9,v9_static,v9_nomix,image_segment,raw_related_advantage,ablation_runs.csv + run_record.json,3,123|42|7,210,19,7,0.26524674327109743,0.021771335842712642,0.37929594437526143,0.009699808664596453,0.5047619047619047,0.008247860988423197,,,,,0.013786653914478197,,,,,,,,,,,,,,,1,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation,The underlying run_record/CSV has the real dataset; generated summary.json says dataset=adhoc and omits source metadata.
