analysis,outcome,feature,n,spearman_rho,scope_note
Full_minus_NoMix,V9_delta_ari,n,7,-0.14285714285714288,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,d,7,-0.28571428571428575,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,metadata_k,7,0.5637295497763137,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,log_nd,7,-0.07142857142857144,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,mean_mutual_ratio,7,0.21428571428571433,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,mean_snn,7,-0.14285714285714288,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,effective_neighbor_proxy,7,-0.07142857142857144,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,sparse_graph_cycle_rank,7,-0.1785714285714286,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,tda_h0_q90_death_norm,7,0.10714285714285716,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,tda_h0_tail10_share,7,0.21428571428571433,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V9_delta_ari,tda_h0_total_persistence_norm,7,0.14285714285714288,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,n,5,-0.09999999999999999,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,d,5,0.0,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,log_nd,5,0.0,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,mean_mutual_ratio,5,-0.3,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,mean_snn,5,-0.19999999999999998,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,effective_neighbor_proxy,5,0.19999999999999998,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,sparse_graph_components,5,0.7071067811865475,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,sparse_graph_largest_component_fraction,5,-0.7071067811865475,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,sparse_graph_cycle_rank,5,0.19999999999999998,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,tda_h0_q90_death_norm,5,-0.19999999999999998,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,tda_h0_tail10_share,5,0.39999999999999997,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V11_delta_ari,tda_h0_total_persistence_norm,5,0.3,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,n,12,0.042031588100300776,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,d,12,0.21403640527586368,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,metadata_k,12,0.09115471086555865,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,log_nd,12,0.0979020979020979,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,mean_mutual_ratio,12,0.18181818181818185,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,mean_snn,12,0.06993006993006995,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,effective_neighbor_proxy,12,0.18181818181818185,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,sparse_graph_cycle_rank,12,0.04895104895104895,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,tda_h0_q90_death_norm,12,0.08391608391608392,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,tda_h0_tail10_share,12,0.04895104895104895,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V12_delta_ari,tda_h0_total_persistence_norm,12,-0.027972027972027972,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V13_delta_ari,n,12,0.16225976681647264,exploratory post-hoc descriptor; no feature was used for selection
