dataset,variant,n_runs,seeds,head_delta_vs_v11_full,kmeans_delta_vs_v11_full,head_seed_pattern,kmeans_seed_pattern,effect_label,source_sha256,source_path,n_samples,n_features,n_clusters,tda_prior_mode,tda_prior_weight,k_protocol,labels_used_during_fit
balance_scale,V11_nomix,3,123|42|7,0.0024698103282245663,0.012896251545467946,mixed_seed,mixed_seed,both_positive,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,external-result-storage/datasets/AHDPC/processed/balance_scale.npz,625.0,4.0,3.0,none,0.0,benchmark_oracle_from_y,False
banknote,V11_nomix,3,123|42|7,-0.0004722134832932257,0.0017690910371249901,mixed_seed,mixed_seed,readout_split,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,external-result-storage/datasets/AHDPC/processed/banknote.npz,1372.0,4.0,2.0,none,0.0,benchmark_oracle_from_y,False
flame,V11_nomix,3,123|42|7,0.0,-0.007398145168596548,near_neutral,mixed_seed,readout_split,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,external-result-storage/datasets/AHDPC/processed/flame.npz,240.0,2.0,2.0,none,0.0,benchmark_oracle_from_y,False
spect_heart,V11_nomix,3,123|42|7,0.010583307266333325,-0.00020532684464877327,mixed_seed,mixed_seed,readout_split,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,external-result-storage/datasets/AHDPC/processed/spect_heart.npz,267.0,22.0,2.0,none,0.0,benchmark_oracle_from_y,False
vehicle,V11_nomix,3,123|42|7,0.00019509689624481094,-7.579017710746909e-05,near_neutral,mixed_seed,both_near_neutral,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,external-result-storage/datasets/AHDPC/processed/vehicle.npz,846.0,18.0,4.0,none,0.0,benchmark_oracle_from_y,False
balance_scale,V11_tda_h0_mst,3,123|42|7,0.0,-0.0021553916400082057,near_neutral,mixed_seed,readout_split,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,external-result-storage/datasets/AHDPC/processed/balance_scale.npz,625.0,4.0,3.0,h0_mst,1.0,benchmark_oracle_from_y,False
banknote,V11_tda_h0_mst,3,123|42|7,6.963007911658908e-05,-0.0014253233920178705,near_neutral,mixed_seed,readout_split,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,external-result-storage/datasets/AHDPC/processed/banknote.npz,1372.0,4.0,2.0,h0_mst,1.0,benchmark_oracle_from_y,False
flame,V11_tda_h0_mst,3,123|42|7,0.0,0.0,near_neutral,near_neutral,both_near_neutral,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,external-result-storage/datasets/AHDPC/processed/flame.npz,240.0,2.0,2.0,h0_mst,1.0,benchmark_oracle_from_y,False
spect_heart,V11_tda_h0_mst,3,123|42|7,0.0,0.0,near_neutral,near_neutral,both_near_neutral,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,external-result-storage/datasets/AHDPC/processed/spect_heart.npz,267.0,22.0,2.0,h0_mst,1.0,benchmark_oracle_from_y,False
vehicle,V11_tda_h0_mst,3,123|42|7,-2.063520701469738e-05,-4.9503245723882726e-05,near_neutral,near_neutral,both_near_neutral,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,external-result-storage/datasets/AHDPC/processed/vehicle.npz,846.0,18.0,4.0,h0_mst,1.0,benchmark_oracle_from_y,False
