analysis_d,analysis_feature_sampled,analysis_n,analysis_pca_dim,analysis_sampled,category,components_at_1nn_scale,components_at_median_knn_scale,components_at_p90_knn_scale,cv_knn_cosine_distance,cycle_rank_at_1nn_scale,cycle_rank_at_median_knn_scale,cycle_rank_at_p90_knn_scale,d,dataset,dataset_key,effective_neighbor_proxy,feature_error,log_nd,manifest,mean_knn_cosine_distance,mean_mutual_ratio,mean_snn,median_1nn_cosine_distance,metadata_k,n,p95_knn_cosine_distance,source_path,sparse_graph_components,sparse_graph_cycle_rank,sparse_graph_edge_count,sparse_graph_largest_component_fraction,staticgate_full_nomix_ari,tda_h0_merge_count,tda_h0_mst_edge_count,tda_h0_q50_death_norm,tda_h0_q90_death_norm,tda_h0_sparse_components,tda_h0_tail10_share,tda_h0_total_persistence_norm,v11_full_nomix_ari,v12_full_nomix_ari,v13_full_nomix_ari,v14_full_nomix_ari,v9_ari_vs_ahdpc,v9_ari_vs_hdpc,v9_full_ari,v9_full_nomix_ari,v9_full_random_ari,v9_full_static_ari,v9_nomix_ari,v9_paper_protocol,v9_random_ari,v9_static_ari
2,False,1517,2,False,synthetic,1047,161,25,6.113139129476132,355.0,4651.0,10056.0,2,2d_20c_no0,2d20cno0,0.42863239967519984,,3.4820155764507117,datasets/AHDPC/MANIFEST.json,6.855915625313825e-05,0.7899802241265655,0.4581023532243045,2.384185791015625e-07,20,1517,0.00024443864822387695,datasets/AHDPC/processed/2d_20c_no0.npz,2,11868.0,13383,0.8516809492419248,,1515,1294,5.0,140.10000000000014,2,0.9343928443705616,318071.25,,,,,-0.18262306360484748,-0.22499421763144956,,,,,,True,,
2,False,863,2,False,synthetic,594,58,5,6.416118617617991,150.0,2525.0,5567.0,2,2d_4c_no4,2d4cno4,0.43292335578276225,,3.237040791379191,datasets/AHDPC/MANIFEST.json,0.0001565234133431975,0.8041714947856315,0.4591320421563758,1.5497207641601562e-06,4,863,0.00046008825302124023,datasets/AHDPC/processed/2d_4c_no4.npz,1,6506.0,7368,1.0,,862,797,4.230769230769231,76.89230769230764,1,0.8392332516461872,48935.92307692308,,,,,-0.022944326413013694,-0.3133368493002736,,,,,,True,,
2,False,876,2,False,synthetic,577,105,15,8.815463070768143,333.0,2761.0,5747.0,2,2d_4c_no9,2d4cno9,0.4344833217218775,,3.243534101832062,datasets/AHDPC/MANIFEST.json,0.00038588809096105567,0.7837899543378996,0.44396336160034794,8.642673492431641e-07,4,876,0.0005157560110092166,datasets/AHDPC/processed/2d_4c_no9.npz,1,6785.0,7660,1.0,,875,761,3.586206896551724,112.64827586206903,1,0.951275546798567,187016.48275862072,,,,,-0.15403432785402715,-0.15403432785402715,,,,,,True,,
2,False,788,2,False,synthetic,551,34,4,3.3707325112783906,86.0,2248.0,4906.0,2,aggregation,aggregation,0.42248302988138,,3.1975562131535367,datasets/AHDPC/MANIFEST.json,0.00013557493989237675,0.8269035532994924,0.43528623801466443,2.6226043701171875e-06,7,788,0.00046275556087493745,datasets/AHDPC/processed/aggregation.npz,1,5782.0,6569,1.0,,787,741,4.045454545454546,52.777272727272724,1,0.7553953842300037,24043.068181818184,,,,,-0.4203155155018331,-0.1892375468293115,,,,,,True,,
2,False,1000,2,False,synthetic,693,68,9,5.31956746097055,169.0,2952.0,6431.0,2,asymmetric,asymmetric,0.4310698849323877,,3.3010299956639813,datasets/AHDPC/MANIFEST.json,6.034864187240601e-05,0.8032,0.4414809523809523,6.556510925292969e-07,5,1000,0.0001900792121887207,datasets/AHDPC/processed/asymmetric.npz,3,7551.0,8548,0.611,,997,892,4.7272727272727275,68.5090909090909,3,0.7883347804572911,38948.72727272727,,,,,-0.43995482369049965,-0.4375896765958285,,,,,,True,,
4,False,625,4,False,uci,385,10,2,0.8984335804379852,240.0,1945.0,3975.0,4,balance_scale,balancescale,0.38383836900865936,,3.3979400086720375,datasets/AHDPC/MANIFEST.json,0.047270164184570314,0.67392,0.16433904761904763,0.03523612022399902,3,625,0.08712899684906006,datasets/AHDPC/processed/balance_scale.npz,1,4787.0,5411,1.0,,624,576,1.071330459906219,1.4563640546447347,1,0.2001870100024611,674.3390784959843,,,,0.0028467831402617105,0.1756694506409014,-0.14808757527092534,0.1900421686316707,0.08094054285206732,-0.007938536339601066,-0.013036899983824846,0.10910162577960338,True,0.19798070497127176,0.20307906861549554
4,False,1372,4,False,uci,877,146,7,1.6802988072171516,309.0,4295.0,9542.0,4,banknote,banknote,0.3974496778286735,,3.7394141026986953,datasets/AHDPC/MANIFEST.json,0.005559374674416144,0.7170553935860058,0.36472013975658296,0.0009749531745910645,2,1372,0.01909426450729369,datasets/AHDPC/processed/banknote.npz,1,11259.0,12630,1.0,,1371,1343,1.5723543437060585,8.655560310570397,1,0.4966184074782089,4999.348352387357,,,,,-0.9508183682096208,-0.6123154205313597,,,,,,True,,
4,False,1372,4,False,related_manifest,877,146,7,1.6802986629894587,307.0,4293.0,9540.0,4,banknote_authentication,banknoteauthentication,0.39745934091543694,,3.7394141026986953,datasets/AHDPC_related_advantage/MANIFEST.json,0.005559374813435724,0.717201166180758,0.3644285945670785,0.0009748935699462891,2,1372,0.01909426450729369,datasets/AHDPC_related_advantage/banknote_authentication.npz,1,11257.0,12628,1.0,,1371,1343,1.572328197603326,8.65608950843727,1,0.4966185297659566,4999.654010760578,,0.01923856243607206,0.0013971419638783705,,,,,,,,,,,
9,False,683,9,False,result_dataset_pool,370,247,12,1.2775709791910907,2240.0,3170.0,6032.0,9,breast_cancer_wisconsin_original,breastcancerwisconsinoriginal,0.46979734433147285,,3.7886632131208575,dataset_root_scan,0.059934705085670614,0.4322108345534407,0.44573194822096723,0.01769345998764038,,683,0.21836286783218384,datasets/breast_cancer_wisconsin_original.npz,1,6957.0,7639,1.0,0.011095399788038751,682,493,1.187200813887289,7.171977820223885,1,0.4003395026589103,1752.6413371197957,-4.546022877471856e-06,,,,,,,,,,,,,
,,,,,result_dataset_pool,,,,,,,,26774,Campbell,campbell,,skipped_shape_cap: 9993x26774 > 80000000 elements,8.427409146463111,dataset_root_scan,,,,,,9993,,datasets/Campbell.npz,,,,,0.03046555553076151,,,,,,,,,,,,,,,,,,,,,
