feature,n,outcome,p_value_exploratory,spearman_rho
cycle_rank_at_1nn_scale,13,staticgate_full_nomix_ari,0.21585718064938147,0.3681318681318681
mean_mutual_ratio,13,staticgate_full_nomix_ari,0.2547064607541251,-0.34065934065934067
tda_h0_q90_death_norm,13,staticgate_full_nomix_ari,0.3249215884859749,0.2967032967032967
effective_neighbor_proxy,13,staticgate_full_nomix_ari,0.33438585619752936,0.2912087912087912
sparse_graph_components,13,staticgate_full_nomix_ari,0.33554184848904306,0.29054360157398823
tda_h0_sparse_components,13,staticgate_full_nomix_ari,0.33554184848904306,0.29054360157398823
mean_snn,13,staticgate_full_nomix_ari,0.35376363563367896,0.2802197802197803
sparse_graph_largest_component_fraction,13,staticgate_full_nomix_ari,0.4193616333038992,-0.24522610802164208
tda_h0_tail10_share,13,staticgate_full_nomix_ari,0.4261755195945088,0.24175824175824176
cv_knn_cosine_distance,13,staticgate_full_nomix_ari,0.45930514272500556,0.22527472527472525
median_1nn_cosine_distance,13,staticgate_full_nomix_ari,0.493621819356885,-0.2087912087912088
components_at_p90_knn_scale,13,staticgate_full_nomix_ari,0.5053147342962485,0.20329670329670327
p95_knn_cosine_distance,13,staticgate_full_nomix_ari,0.5290679872349874,-0.19230769230769232
components_at_median_knn_scale,13,staticgate_full_nomix_ari,0.5290679872349874,0.19230769230769232
mean_knn_cosine_distance,13,staticgate_full_nomix_ari,0.5411235235098939,-0.1868131868131868
cycle_rank_at_median_knn_scale,13,staticgate_full_nomix_ari,0.6030877531318971,0.15934065934065936
tda_h0_merge_count,13,staticgate_full_nomix_ari,0.6631910520475932,-0.13371770511075068
tda_h0_total_persistence_norm,13,staticgate_full_nomix_ari,0.7208097995138618,0.10989010989010989
cycle_rank_at_p90_knn_scale,13,staticgate_full_nomix_ari,0.8445023706449681,0.06043956043956044
tda_h0_q50_death_norm,13,staticgate_full_nomix_ari,0.8725444288811492,0.049450549450549455
components_at_1nn_scale,13,staticgate_full_nomix_ari,0.9007243023389339,-0.03846153846153846
tda_h0_mst_edge_count,13,staticgate_full_nomix_ari,0.9360090189501213,0.024759308154632828
sparse_graph_edge_count,13,staticgate_full_nomix_ari,0.9431862416608071,0.021978021978021976
sparse_graph_cycle_rank,13,staticgate_full_nomix_ari,0.9431862416608071,0.021978021978021976
sparse_graph_components,5,v11_full_nomix_ari,0.18169011381620942,0.7071067811865475
sparse_graph_largest_component_fraction,5,v11_full_nomix_ari,0.18169011381620942,-0.7071067811865475
tda_h0_sparse_components,5,v11_full_nomix_ari,0.18169011381620942,0.7071067811865475
tda_h0_mst_edge_count,5,v11_full_nomix_ari,0.28475697986529386,0.6
cycle_rank_at_1nn_scale,5,v11_full_nomix_ari,0.28475697986529386,0.6
components_at_median_knn_scale,5,v11_full_nomix_ari,0.3910022189557703,0.49999999999999994
components_at_p90_knn_scale,5,v11_full_nomix_ari,0.3910022189557703,0.49999999999999994
tda_h0_tail10_share,5,v11_full_nomix_ari,0.5046315754686912,0.39999999999999997
mean_knn_cosine_distance,5,v11_full_nomix_ari,0.623837664781073,-0.3
mean_mutual_ratio,5,v11_full_nomix_ari,0.623837664781073,-0.3
tda_h0_total_persistence_norm,5,v11_full_nomix_ari,0.623837664781073,0.3
cv_knn_cosine_distance,5,v11_full_nomix_ari,0.7470600781046621,0.19999999999999998
mean_snn,5,v11_full_nomix_ari,0.7470600781046621,-0.19999999999999998
