version,source_batch,dataset,dataset_id,variant_family,variant,ari_mean,ari_std,n_runs,seeds,paired_control,paired_delta_ari,paired_delta_scope,gate_usage,gate_usage_semantics,input_protocol,readout,status,evidence_level,failure_diagnosis,source_artifact,notes
V09,V09/advantage_ablation,balance_scale,balance_scale,self,v9_nomix,0.1091016257796034,0.10334801977873861,3,123|42|7,,,,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_delta_not_available,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,balance_scale,balance_scale,static,v9_static,0.20307906861549554,0.15031886791603946,3,123|42|7,v9_nomix,0.09397744283589214,seed_matched_exact_from_ablation_runs,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_positive_scope_limited,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,balance_scale,balance_scale,random,v9_random,0.19798070497127176,0.08155249931255694,3,123|42|7,v9_nomix,0.08887907919166836,seed_matched_exact_from_ablation_runs,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_positive_scope_limited,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,balance_scale,balance_scale,learned,v9_full,0.1900421686316707,0.08920445547737885,3,123|42|7,v9_nomix,0.0809405428520673,seed_matched_exact_from_ablation_runs,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_positive_scope_limited,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,glass,glass,self,v9_nomix,0.34966423805144453,0.06889943253730171,3,123|42|7,,,,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_delta_not_available,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,glass,glass,static,v9_static,0.37781710220348524,0.024326003876262315,3,123|42|7,v9_nomix,0.028152864152040713,seed_matched_exact_from_ablation_runs,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_neutral_or_small,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,glass,glass,random,v9_random,0.3885850907263187,0.005732288797534241,3,123|42|7,v9_nomix,0.03892085267487416,seed_matched_exact_from_ablation_runs,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_positive_scope_limited,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,glass,glass,learned,v9_full,0.3904035144222399,0.009820534574255439,3,123|42|7,v9_nomix,0.040739276370795385,seed_matched_exact_from_ablation_runs,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_positive_scope_limited,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,image_segment,image_segment,self,v9_nomix,0.25146008935661923,0.013977084500672464,3,123|42|7,,,,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_delta_not_available,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
V09,V09/advantage_ablation,image_segment,image_segment,static,v9_static,0.26524674327109743,0.021771335842712642,3,123|42|7,v9_nomix,0.013786653914478197,seed_matched_exact_from_ablation_runs,NA,Gate usage not recorded in final_results/ablation_runs.csv,raw_related_advantage (protocol detail absent from final_results CSV),KMeans/legacy V9 readout (exact mode not recorded in snapshot),completed,3-seed paired ablation,paired_neutral_or_small,V09/advantage_ablation/ablation_runs.csv,Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.
