artifact_class,artifact_note,completed_rows,incomplete_rows,replay_eligible_rows,reported_rows,source_batch,source_file_present_rows,source_hash,version
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,28,0,0,0,V09/advantage_ablation,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V09
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,131,0,0,0,V09/clubench_131_single_seed,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V09
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,60,0,0,0,V09/legacy_multiseed,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V09
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,72,0,0,0,V09/paper_preprocess,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V09
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,21,0,0,0,V10/comparison,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V10
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,75,0,0,0,V11/tda_h0_pilot,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V11
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,48,0,0,0,V12/stage3_topology_search,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V12
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,30,0,0,0,V13/hard_gate,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V13
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,30,0,0,0,V14/advantage_5ds,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V14
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,0,0,0,28,V16_1/20260806,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V16.1
metadata_or_registry_only,A0 does not promote replay eligibility from a summary table; exact arrays/checkpoints require a separate artifact gate.,0,0,0,4,V16_1/20260807,0,39dfb6d9f25be389bf4b377a88c0c4a4bc2d8dbfe1a6d25486ab40ee7f84dfaf,V16.1
