completed_row_count,dataset_id,incomplete_row_count,input_protocol,paired_row_count,readout,reported_row_count,row_count,seeds,source_batch,unit_statistical_role,variant_count,variants,version
4,balance_scale,0,raw_related_advantage (protocol detail absent from final_results CSV),3,KMeans/legacy V9 readout (exact mode not recorded in snapshot),0,4,123|42|7,V09/advantage_ablation,dataset_protocol_unit; seeds and variants are repeated conditions,4,v9_full|v9_nomix|v9_random|v9_static,V09
4,glass,0,raw_related_advantage (protocol detail absent from final_results CSV),3,KMeans/legacy V9 readout (exact mode not recorded in snapshot),0,4,123|42|7,V09/advantage_ablation,dataset_protocol_unit; seeds and variants are repeated conditions,4,v9_full|v9_nomix|v9_random|v9_static,V09
4,image_segment,0,raw_related_advantage (protocol detail absent from final_results CSV),3,KMeans/legacy V9 readout (exact mode not recorded in snapshot),0,4,123|42|7,V09/advantage_ablation,dataset_protocol_unit; seeds and variants are repeated conditions,4,v9_full|v9_nomix|v9_random|v9_static,V09
4,landsat,0,raw_related_advantage (protocol detail absent from final_results CSV),3,KMeans/legacy V9 readout (exact mode not recorded in snapshot),0,4,123|42|7,V09/advantage_ablation,dataset_protocol_unit; seeds and variants are repeated conditions,4,v9_full|v9_nomix|v9_random|v9_static,V09
4,spect_heart,0,raw_related_advantage (protocol detail absent from final_results CSV),3,KMeans/legacy V9 readout (exact mode not recorded in snapshot),0,4,123|42|7,V09/advantage_ablation,dataset_protocol_unit; seeds and variants are repeated conditions,4,v9_full|v9_nomix|v9_random|v9_static,V09
4,vehicle,0,raw_related_advantage (protocol detail absent from final_results CSV),3,KMeans/legacy V9 readout (exact mode not recorded in snapshot),0,4,123|42|7,V09/advantage_ablation,dataset_protocol_unit; seeds and variants are repeated conditions,4,v9_full|v9_nomix|v9_random|v9_static,V09
4,vertebral_column,0,raw_related_advantage (protocol detail absent from final_results CSV),3,KMeans/legacy V9 readout (exact mode not recorded in snapshot),0,4,123|42|7,V09/advantage_ablation,dataset_protocol_unit; seeds and variants are repeated conditions,4,v9_full|v9_nomix|v9_random|v9_static,V09
1,20newsgroups,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,Baron Human,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,CIFAR10_CLIP,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,COIL20_CLIP,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,Campbell,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,Drug Consumption,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,FashionMNIST_CLIP,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,ISOLET,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,Indian_pines,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,JapaneseVowels,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,MNIST_CLIP,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,Mouse_retina,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,PCam,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,Waveform,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,banknote_authentication,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
1,birds_bones_and_living_habits,0,clubench_bridge: CLUBench.load_data z-score,0,V9 benchmark readout,0,1,42,V09/clubench_131_single_seed,dataset_protocol_unit; seeds and variants are repeated conditions,1,V9,V09
