alternative_explanation,artifact_status,baseline_bin,causal_status,condition,confidence,control_ari,control_variant,current_ari,dataset_id,delta_ari,effect_state,evidence_level,evidence_source,failure_pattern,gate_usage_raw,global_delta,global_metric,global_nonpositive,input_protocol,interpretation,intervention_location,label_free_local_metric_available,local_delta,local_global_disconnect,local_metric,local_metric_label_use,local_positive,magnitude_proxy_json,magnitude_proxy_keys,measurement_timing,negative_headroom,paired_delta_scope,positive_headroom,post_treatment_descriptor,readout,replay_eligible,seed_count,seeds,selection_policy,source_batch,status,structural_source,variant,variant_family,version
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,<0.2,observational,,low_observational_summary,0.1091016257796034,v9_nomix,0.20307906861549554,balance_scale,0.09397744283589214,positive,3-seed paired ablation,A0_audited_long_table,observed_positive_intervention_gain,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1091016257796034,seed_matched_exact_from_ablation_runs,0.8908983742203966,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,fixed/analytic policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_static,static,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,<0.2,observational,,low_observational_summary,0.1091016257796034,v9_nomix,0.19798070497127176,balance_scale,0.08887907919166836,positive,3-seed paired ablation,A0_audited_long_table,observed_positive_intervention_gain,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1091016257796034,seed_matched_exact_from_ablation_runs,0.8908983742203966,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,random control,V09/advantage_ablation,completed,neighbor/topology graph,v9_random,random,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,<0.2,observational,,low_observational_summary,0.1091016257796034,v9_nomix,0.1900421686316707,balance_scale,0.0809405428520673,positive,3-seed paired ablation,A0_audited_long_table,observed_positive_intervention_gain,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.1091016257796034,seed_matched_exact_from_ablation_runs,0.8908983742203966,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,learned policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_full,learned,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.34966423805144453,v9_nomix,0.37781710220348524,glass,0.028152864152040713,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.34966423805144453,seed_matched_exact_from_ablation_runs,0.6503357619485555,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,fixed/analytic policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_static,static,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.34966423805144453,v9_nomix,0.3885850907263187,glass,0.03892085267487416,positive,3-seed paired ablation,A0_audited_long_table,observed_positive_intervention_gain,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.34966423805144453,seed_matched_exact_from_ablation_runs,0.6503357619485555,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,random control,V09/advantage_ablation,completed,neighbor/topology graph,v9_random,random,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.34966423805144453,v9_nomix,0.3904035144222399,glass,0.040739276370795385,positive,3-seed paired ablation,A0_audited_long_table,observed_positive_intervention_gain,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.34966423805144453,seed_matched_exact_from_ablation_runs,0.6503357619485555,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,learned policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_full,learned,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.25146008935661923,v9_nomix,0.26524674327109743,image_segment,0.013786653914478197,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.25146008935661923,seed_matched_exact_from_ablation_runs,0.7485399106433808,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,fixed/analytic policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_static,static,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.25146008935661923,v9_nomix,0.2523134932017097,image_segment,0.0008534038450904724,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.25146008935661923,seed_matched_exact_from_ablation_runs,0.7485399106433808,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,random control,V09/advantage_ablation,completed,neighbor/topology graph,v9_random,random,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.2-0.4,observational,,low_observational_summary,0.25146008935661923,v9_nomix,0.2728147343853067,image_segment,0.021354645028687447,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.25146008935661923,seed_matched_exact_from_ablation_runs,0.7485399106433808,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,learned policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_full,learned,V09
Self control is v9_nomix; deltas are recomputed from the same dataset-seed rows.,registry_only,0.4-0.6,observational,,low_observational_summary,0.532422308704628,v9_nomix,0.5355872224183192,landsat,0.0031649137136912087,observed-small,3-seed paired ablation,A0_audited_long_table,observed_small_effect,,,,,raw_related_advantage (protocol detail absent from final_results CSV),,sample/neighbor relation,,,,,,,{},,post_intervention,0.532422308704628,seed_matched_exact_from_ablation_runs,0.46757769129537197,paired/final ARI is downstream of the intervention; no causal direction inferred,KMeans/legacy V9 readout (exact mode not recorded in snapshot),False,3,123|42|7,fixed/analytic policy,V09/advantage_ablation,completed,neighbor/topology graph,v9_static,static,V09
