dataset,seed,arm,ari,nmi,loss
Baron Human,123,N,0.2744040009290948,0.4805492392486254,0.7694592475891113
Baron Human,123,R,0.27586057882628545,0.4813580834148175,0.7700586915016174
Baron Human,123,T,0.2751019709944351,0.48073678605596043,0.7700490355491638
Baron Human,42,N,0.15896759080644626,0.36568445634978486,0.6402148604393005
Baron Human,42,R,0.15883576703647526,0.36527458561469145,0.6409686803817749
Baron Human,42,T,0.1587550362631732,0.36516954361730225,0.6410189867019653
Baron Human,7,N,0.18020455711510824,0.366422448928013,1.3179197311401367
Baron Human,7,R,0.17964917610718442,0.36558165251228664,1.3193085193634033
Baron Human,7,T,0.18014627957757853,0.3655350011100306,1.3192824125289917
Campbell,123,N,0.2283757265742286,0.31940385152161493,0.47870945930480957
Campbell,123,R,0.22292474107115948,0.316496358840288,0.4796006679534912
Campbell,123,T,0.22210377432201928,0.33131298464774767,0.4796489477157593
Campbell,42,N,0.15933071185543568,0.31011294813936924,0.7455195188522339
Campbell,42,R,0.1994596852130829,0.3017147856778292,0.7471208572387695
Campbell,42,T,0.1690044511401342,0.31304320369023336,0.7471331357955933
Campbell,7,N,0.18711314060142062,0.3230983069900562,0.49861031770706177
Campbell,7,R,0.187780105542396,0.3229246144517179,0.5011451840400696
Campbell,7,T,0.18700598385571732,0.32322850021674804,0.5010437965393066
hate_speech,123,N,-0.003847394574348736,0.024336230746828422,0.18161678314208984
hate_speech,123,R,-0.0050249183357937285,0.024400396490827585,0.18200349807739258
hate_speech,123,T,0.0009057517284979375,0.027233125702466755,0.18201234936714172
hate_speech,42,N,0.011785893044921223,0.04127191783966055,0.1836865395307541
hate_speech,42,R,0.01018921657589163,0.041440028679010955,0.18430903553962708
hate_speech,42,T,0.009778624702835408,0.04163719710563553,0.18451301753520966
hate_speech,7,N,0.016255423809227315,0.03373288175516627,0.17257162928581238
hate_speech,7,R,0.010185783738109336,0.030392106891396067,0.17326116561889648
hate_speech,7,T,0.010354720171042426,0.030388150120424465,0.17344121634960175
