dataset,seed,timepoint,cos_base_assignment,cos_base_infomax,cos_base_assignment_plus_infomax,norm_base,norm_assignment,norm_infomax,norm_assignment_plus_infomax
Mouse_retina,123,T0,-0.01556563749909401,0.011698129586875439,0.010012934915721416,0.3144688308238983,0.04281621053814888,0.38061434030532837,0.3781123459339142
Mouse_retina,123,T1,-0.09420764446258545,0.12286360561847687,0.11293519288301468,0.7775986790657043,0.046864353120326996,0.4115554094314575,0.4086432158946991
Mouse_retina,123,T2,-0.001319546950981021,-0.13083899021148682,-0.13079212605953217,0.5353667140007019,0.04067417234182358,0.7513554096221924,0.7520350217819214
Mouse_retina,42,T0,0.0005074359942227602,0.009848623536527157,0.01020522229373455,0.3251689076423645,0.0468587763607502,0.40733975172042847,0.3954361379146576
Mouse_retina,42,T1,-0.01922433078289032,0.0913044735789299,0.08941175043582916,0.7724456787109375,0.05478258430957794,0.33197256922721863,0.3272212743759155
Mouse_retina,42,T2,0.006645517889410257,-0.0819195806980133,-0.08279770612716675,0.5132180452346802,0.04196396470069885,0.750669538974762,0.73934006690979
Mouse_retina,7,T0,0.016135884448885918,-0.015439172275364399,-0.014239436015486717,0.30896303057670593,0.040705811232328415,0.3809025287628174,0.36686810851097107
Mouse_retina,7,T1,-0.07246722280979156,0.0949496477842331,0.08838291466236115,0.6987098455429077,0.057427749037742615,0.448606014251709,0.4348504841327667
Mouse_retina,7,T2,-0.029893554747104645,-0.06315623968839645,-0.06419604271650314,0.3868713080883026,0.0560997873544693,0.8494694828987122,0.8618338108062744
cnae9,123,T0,0.005194921046495438,0.004106907639652491,0.004901951178908348,0.29249340295791626,0.06593368947505951,0.44162192940711975,0.4398699402809143
cnae9,123,T1,0.0031256878282874823,0.006181471981108189,0.006725662387907505,0.2941795289516449,0.053245726972818375,0.4338543713092804,0.4234955310821533
cnae9,123,T2,-0.004332973156124353,0.006234393920749426,0.0057609532959759235,0.3667594790458679,0.055549636483192444,0.3790576756000519,0.3684285581111908
cnae9,42,T0,-0.0031679400708526373,0.004048019181936979,0.003825908526778221,0.29793888330459595,0.04038500785827637,0.559600830078125,0.5586483478546143
cnae9,42,T1,-0.00258855102583766,0.005432073026895523,0.005289900582283735,0.31278958916664124,0.041702400892972946,0.4492485523223877,0.4409160614013672
cnae9,42,T2,-0.000977974385023117,0.009960442781448364,0.0098906010389328,0.36791059374809265,0.034262847155332565,0.3462105691432953,0.34526747465133667
cnae9,7,T0,-0.0008573158411309123,-0.0012900320580229163,-0.0013355397386476398,0.3022404611110687,0.039894286543130875,0.522078812122345,0.5298983454704285
cnae9,7,T1,-0.004089010413736105,0.00913989171385765,0.008770527318120003,0.3069014847278595,0.03474421426653862,0.44514769315719604,0.4476962387561798
cnae9,7,T2,-0.005808777175843716,0.011576512828469276,0.01132200937718153,0.37051448225975037,0.03611231595277786,0.4718215763568878,0.4638999402523041
sms_spam_collection,123,T0,0.00041752331890165806,-0.0003571607230696827,-0.00030426611192524433,0.26332032680511475,0.03779696673154831,0.193162202835083,0.17487579584121704
sms_spam_collection,123,T1,0.004280902910977602,-0.006070225965231657,-0.005901800934225321,0.20807422697544098,0.03507128357887268,0.2115505486726761,0.1921485960483551
sms_spam_collection,123,T2,-0.0096585126593709,0.009605727158486843,0.008439207449555397,0.27697670459747314,0.03683709725737572,0.19032426178455353,0.17447270452976227
sms_spam_collection,42,T0,-0.004062755033373833,0.004973537288606167,0.00466085784137249,0.2641291618347168,0.04046956077218056,0.18776267766952515,0.1650826334953308
sms_spam_collection,42,T1,0.00013084709644317627,-0.0010288528865203261,-0.0011521228589117527,0.22667501866817474,0.044992126524448395,0.1631399691104889,0.14057525992393494
sms_spam_collection,42,T2,-0.005713107995688915,0.007668300066143274,0.007347863167524338,0.29711127281188965,0.04261509329080582,0.1880841702222824,0.16315235197544098
sms_spam_collection,7,T0,-0.0013021790655329823,0.003743125591427088,0.0037645380944013596,0.24750791490077972,0.029505545273423195,0.17449718713760376,0.16329850256443024
sms_spam_collection,7,T1,0.003375178435817361,-0.004327671602368355,-0.004075772128999233,0.21393050253391266,0.025545896962285042,0.18314528465270996,0.17330962419509888
sms_spam_collection,7,T2,-0.0025679036043584347,0.007792200427502394,0.008018906228244305,0.2873537242412567,0.03582989051938057,0.1651000678539276,0.14895860850811005
