dataset,seed,timepoint,cos_base_assignment,cos_base_infomax,cos_base_assignment_plus_infomax,norm_base,norm_assignment,norm_infomax,norm_assignment_plus_infomax,causal_status,statistical_unit
Baron Human,123,T0,0.12662847340106964,-0.006546054966747761,0.0019749568309634924,0.6259177327156067,0.022433606907725334,0.33484578132629395,0.3285212516784668,diagnostic,dataset x seed x timepoint
Baron Human,123,T1,0.1924973726272583,-0.09635559469461441,-0.08607934415340424,1.487012267112732,0.02512415312230587,0.34216228127479553,0.32682543992996216,diagnostic,dataset x seed x timepoint
Baron Human,123,T2,0.1194421723484993,-0.18690156936645508,-0.18633343279361725,0.49512535333633423,0.018659807741642,0.3815338909626007,0.3707360327243805,diagnostic,dataset x seed x timepoint
Baron Human,42,T0,0.08812493830919266,-0.04218846559524536,-0.03841147571802139,0.39447981119155884,0.016483066603541374,0.2535129189491272,0.24062477052211761,diagnostic,dataset x seed x timepoint
Baron Human,42,T1,0.1359703093767166,-0.1182616651058197,-0.11507604271173477,0.8339012265205383,0.019185611978173256,0.264779269695282,0.24943996965885162,diagnostic,dataset x seed x timepoint
Baron Human,42,T2,0.20009490847587585,-0.20788130164146423,-0.2063247114419937,0.3467918038368225,0.016833173111081123,0.26812034845352173,0.25381824374198914,diagnostic,dataset x seed x timepoint
Baron Human,7,T0,-0.1573534905910492,-0.10575840622186661,-0.1239839494228363,1.460400104522705,0.029472576454281807,0.3606822192668915,0.34506720304489136,diagnostic,dataset x seed x timepoint
Baron Human,7,T1,0.03345761448144913,-0.41499826312065125,-0.42787966132164,5.596490859985352,0.02541515603661537,0.4556339681148529,0.43992966413497925,diagnostic,dataset x seed x timepoint
Baron Human,7,T2,0.4505806863307953,-0.4877185523509979,-0.48463311791419983,2.3377559185028076,0.012965974397957325,0.20022274553775787,0.18944256007671356,diagnostic,dataset x seed x timepoint
Campbell,123,T0,-0.003679981455206871,-0.003771815448999405,-0.004275480750948191,0.07089535892009735,0.019508497789502144,0.28339365124702454,0.26680031418800354,diagnostic,dataset x seed x timepoint
Campbell,123,T1,0.0011857901699841022,0.0033689611591398716,0.0037014065310359,0.135933980345726,0.02211889997124672,0.2943251430988312,0.2749761641025543,diagnostic,dataset x seed x timepoint
Campbell,123,T2,-0.038057319819927216,0.017415082082152367,0.0157243013381958,0.16533972322940826,0.01941693387925625,0.2786843776702881,0.2616558372974396,diagnostic,dataset x seed x timepoint
Campbell,42,T0,0.17954707145690918,-0.011730962432920933,0.0047906930558383465,0.46081873774528503,0.03499719500541687,0.38543468713760376,0.3678222894668579,diagnostic,dataset x seed x timepoint
Campbell,42,T1,0.27910441160202026,-0.09256171435117722,-0.0719442293047905,0.9156606793403625,0.03166372328996658,0.3655256927013397,0.3474385440349579,diagnostic,dataset x seed x timepoint
Campbell,42,T2,0.28111034631729126,-0.19037556648254395,-0.17617402970790863,0.2935618758201599,0.029926003888249397,0.4028797745704651,0.3876051604747772,diagnostic,dataset x seed x timepoint
Campbell,7,T0,0.08762490004301071,-0.10711099952459335,-0.10700611770153046,0.11315520852804184,0.02737095206975937,0.3507274389266968,0.32865771651268005,diagnostic,dataset x seed x timepoint
Campbell,7,T1,0.026133034378290176,-0.11383508145809174,-0.12199798971414566,0.2413512021303177,0.03837931901216507,0.37298890948295593,0.33981096744537354,diagnostic,dataset x seed x timepoint
Campbell,7,T2,0.10305597633123398,-0.20230688154697418,-0.20855750143527985,0.17727258801460266,0.027018703520298004,0.3359958827495575,0.3125748932361603,diagnostic,dataset x seed x timepoint
hate_speech,123,T0,-5.916434747632593e-05,0.0021621654741466045,0.0022276658564805984,0.12695106863975525,0.009711437858641148,0.05489422008395195,0.05302223563194275,diagnostic,dataset x seed x timepoint
hate_speech,123,T1,-0.003201080020517111,-0.00025199775700457394,-0.0010846024379134178,0.11615080386400223,0.014782075770199299,0.0691528171300888,0.05969463661313057,diagnostic,dataset x seed x timepoint
hate_speech,123,T2,-0.015470912680029869,0.0010389003437012434,-0.002368422457948327,0.1254475712776184,0.016747983172535896,0.08330778777599335,0.0728577971458435,diagnostic,dataset x seed x timepoint
hate_speech,42,T0,-0.00035459210630506277,-0.0013194790808483958,-0.002123922109603882,0.1420348733663559,0.03550733998417854,0.09189902245998383,0.06301996111869812,diagnostic,dataset x seed x timepoint
hate_speech,42,T1,-0.003301444696262479,0.00823382381349802,0.010042770765721798,0.11740689724683762,0.034477729350328445,0.0993037149310112,0.07008254528045654,diagnostic,dataset x seed x timepoint
hate_speech,42,T2,-0.0032466817647218704,0.002732279244810343,0.0018285217229276896,0.1410873830318451,0.045869894325733185,0.09256264567375183,0.05686674639582634,diagnostic,dataset x seed x timepoint
hate_speech,7,T0,0.0035682693123817444,-0.002835921011865139,-0.00200138078071177,0.15250448882579803,0.04176921769976616,0.10586311668157578,0.07553566992282867,diagnostic,dataset x seed x timepoint
hate_speech,7,T1,0.008710869587957859,-0.008068231865763664,-0.005157492123544216,0.12181393057107925,0.0480932742357254,0.10304722934961319,0.07997583597898483,diagnostic,dataset x seed x timepoint
hate_speech,7,T2,-0.015200214460492134,0.010205344296991825,0.005571654066443443,0.14481298625469208,0.04220564663410187,0.10589934140443802,0.0788283497095108,diagnostic,dataset x seed x timepoint
