dataset,parameterization,n_completed,expected_seeds,complete_seed_set,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,ami_mean,ami_std,f1_macro_mean,f1_macro_std,fmi_mean,fmi_std
Blood_BoneMarrow,fixed,3,3,True,0.507727409703388,0.02867464497483487,0.7204267946343367,0.00599311193378136,0.41869929832921904,0.012852340031907357,0.7176469903615191,0.006044915108361056,0.45477339561962665,0.016079935907860263,0.513076180898351,0.010418128479105223
Blood_BoneMarrow,topology,3,3,True,0.5204485772095225,0.007469825210467571,0.7319377990032351,0.007351084483087117,0.43693304459135324,0.011184668612101526,0.7292639840747382,0.007423318587406308,0.4757641246501834,0.0050224194016873485,0.5283850066389812,0.009106338145831989
Human_Pancreas_1,fixed,3,3,True,0.8708735027753433,0.0002530018708105086,0.8552460128034568,0.0008592019419010223,0.8785273847184981,0.0009545194433701605,0.8546932137287575,0.0008624966888520237,0.7572520151742451,0.0008645204511936217,0.9121943250664765,0.0006606704619354243
Human_Pancreas_1,topology,3,3,True,0.8716038562664329,0.0004382120946538337,0.8578341475315732,0.002682456602008789,0.8809781885793982,0.0013829421876249116,0.857290762913559,0.002692925064277122,0.7580645899027539,0.00048786229326174273,0.9140392923101439,0.0009621922109209879
Human_Pancreas_3,fixed,3,3,True,0.7474499727478005,0.005319417156100665,0.8235934968305195,0.0016118815577806096,0.7754113978698524,0.0011733601774285751,0.822838124659168,0.0016187647270440111,0.6830800577229844,0.0033950539622333866,0.8203932563240978,0.0009931222852123443
Human_Pancreas_3,topology,3,3,True,0.8237950634586935,0.06366420911388525,0.8488554052210545,0.024646325019846756,0.8599354578434798,0.07399486764014394,0.8481938283638623,0.02474016158151546,0.6848889972189632,0.001792341111977551,0.8875987500817187,0.0590345664959509
Mouse_Pancreas_1,fixed,3,3,True,0.8859696157283289,0.004024425468882114,0.8618847094634203,0.003335289740763506,0.8849234208550952,0.007398855018863494,0.8600288620286709,0.0033777843833911,0.8379180207115962,0.002993371628530842,0.9168625221708352,0.005394403556073773
Mouse_Pancreas_1,topology,3,3,True,0.8505808757819482,0.05784012736499871,0.8461216776259208,0.0267332557765194,0.862243885855355,0.04197410136975175,0.8440237546001693,0.02713912215693966,0.7967307851653539,0.06937270342463973,0.9014773102633126,0.028684644245342304
PRJNA895163,fixed,3,3,True,0.45925631864496497,0.024349048667379185,0.3716918517109091,0.01861798646576145,0.17738474652218553,0.013273640075526042,0.37129277658078913,0.018629499135902096,0.43328603618167366,0.01669727308061833,0.3419480477555265,0.012567302417138156
PRJNA895163,topology,3,3,True,0.45242821225353974,0.012656945390918665,0.35703546162544814,0.02256415472304028,0.16851654650789508,0.020169835812857317,0.3566212513519802,0.02259365990675041,0.42944268261651025,0.024853982360302933,0.33982101063211395,0.008627306107880392
TabulaSapiens_Pancreas,fixed,3,3,True,0.6241144800226693,0.02289532065673578,0.721739990277107,0.003969540309303723,0.4872047149328649,0.00650890864644019,0.7206437928048152,0.00399739477339405,0.4738211010915749,0.02398911625328468,0.6004083406513089,0.008358441467129963
TabulaSapiens_Pancreas,topology,3,3,True,0.6387786908472655,0.036431320726334884,0.7344506175031437,0.00456284985337021,0.5128199803750121,0.015274100039838614,0.7334012153890601,0.004577102224634284,0.49774604554598895,0.056924333942723636,0.6213971949109659,0.00936760268829052
