contrast,treatment,reference,metric,n_datasets,mean_delta,sd_delta,ci95_low,ci95_high,wins,ties,losses
fixed_minus_nomix,fixed,nomix,acc,6,0.0020050035338498675,0.013097487873129364,-0.006607596983687791,0.012707682108307028,2,0,4
fixed_minus_nomix,fixed,nomix,nmi,6,0.0024687119668443946,0.0072703874937859935,-0.0017641375568700306,0.0084983856241716,3,0,3
fixed_minus_nomix,fixed,nomix,ari,6,-0.002162415174992443,0.004163811157161184,-0.005126949913680433,0.0009791298279625456,1,0,5
fixed_minus_nomix,fixed,nomix,f1_macro,6,0.0035686775325418454,0.01207402146889724,-0.004415754554783546,0.013299682067323959,3,0,3
clean_pair_minus_nomix,clean_pair,nomix,acc,6,6.209726904567632e-05,0.017660660945316462,-0.013222297924998605,0.011695006888423759,3,0,3
clean_pair_minus_nomix,clean_pair,nomix,nmi,6,0.002853184723245583,0.014544184118993875,-0.005535248671435067,0.015034984817062927,2,0,4
clean_pair_minus_nomix,clean_pair,nomix,ari,6,-0.008531178254442056,0.020840799767409386,-0.026054778336826814,0.0028531428654226068,3,0,3
clean_pair_minus_nomix,clean_pair,nomix,f1_macro,6,-6.169187992923393e-05,0.017633159680689223,-0.011893001088895683,0.014467870838465124,2,0,4
fixed_minus_clean_pair,fixed,clean_pair,acc,6,0.0019429062648041913,0.028201780764663082,-0.01422738032163808,0.025337887205142823,3,0,3
fixed_minus_clean_pair,fixed,clean_pair,nmi,6,-0.0003844727564011885,0.008542650583627142,-0.0070170535858140965,0.00548812911702216,3,0,3
fixed_minus_clean_pair,fixed,clean_pair,ari,6,0.006368763079449613,0.019286324927116797,-0.003841085940564759,0.02236225222056909,3,0,3
fixed_minus_clean_pair,fixed,clean_pair,f1_macro,6,0.0036303694124710795,0.018070267268387098,-0.008966370718971772,0.017077167023671274,4,0,2
topology_full_minus_clean_pair,topology_full,clean_pair,acc,6,0.004984355376995635,0.06207212788508829,-0.04219257619007761,0.04586999077081555,4,0,2
topology_full_minus_clean_pair,topology_full,clean_pair,nmi,6,-0.003022571782400544,0.027847213300679314,-0.023020551503839453,0.016266605456916567,4,0,2
topology_full_minus_clean_pair,topology_full,clean_pair,ari,6,0.013975642258899551,0.05137261541396292,-0.025885934404167105,0.04982703863530132,4,0,2
topology_full_minus_clean_pair,topology_full,clean_pair,f1_macro,6,-0.012221245059403973,0.057582575230990106,-0.058511430322612704,0.022616816697497037,4,0,2
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,acc,6,0.011295451176725655,0.057107654995929916,-0.029339519971091983,0.05195518404094855,4,0,2
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,nmi,6,0.002370997372191458,0.018790630063783398,-0.012670808715378096,0.01624343407131834,5,0,1
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,ari,6,0.0143864721978491,0.050686177502438666,-0.020948916760264436,0.05221169474816054,3,0,3
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,f1_macro,6,-0.007139368227082804,0.037477175275786374,-0.037745967235135125,0.013748927846462885,4,0,2
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,acc,6,-0.009325633684378285,0.019185030038907782,-0.025013016457302344,0.0019545479634437333,2,1,3
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,nmi,6,-0.0002208944736407555,0.003654781133457766,-0.0029167908066297485,0.0024178983641673646,3,0,3
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,ari,6,-0.004762792837190791,0.01326454698450247,-0.015787187706071307,0.0019178420318076567,2,0,4
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,f1_macro,6,-0.005674770151907732,0.010892833413642193,-0.014292269599506966,0.0014254689463101082,3,0,3
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,acc,6,0.015135412720171576,0.07742057337550026,-0.0416230030263845,0.07189382846672765,4,0,2
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,nmi,6,-0.0015909231160732746,0.02707991595238997,-0.021700160824439364,0.01664290910284157,4,0,2
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,ari,6,0.016640843790613393,0.06347881363001162,-0.026410830489132984,0.06620137071372244,4,0,2
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,f1_macro,6,-0.004964626176975249,0.061358683522629985,-0.05506761126363608,0.03388411887254269,4,0,2
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,acc,6,-0.005485672140932364,0.026049425913533254,-0.022216974706241954,0.015114971717623419,1,1,4
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,nmi,6,-0.004182814961905488,0.013312209282877715,-0.01487828143473501,0.004614673274246324,4,0,2
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,ari,6,-0.002508421244426499,0.02186224597453731,-0.0156786629450895,0.01565875208583789,2,0,4
adaptive_weight_at_adaptive_mix,gate_coupled,adaptive_mix_only,f1_macro,6,-0.003500028101800177,0.027228565036757697,-0.02353762006505768,0.016537563861457327,2,0,4
topology_affinity_increment,topology_full,gate_coupled,acc,6,-0.0027683299236018477,0.01957364480046913,-0.018422360105676477,0.008374811805752372,2,0,4
topology_affinity_increment,topology_full,gate_coupled,nmi,6,-0.0008262814362853255,0.007586360663481547,-0.006889418373895469,0.003872828615071896,3,0,3
topology_affinity_increment,topology_full,gate_coupled,ari,6,-0.0042711717739726636,0.019335409171785924,-0.02016559501460108,0.006546142670742476,3,0,3
topology_affinity_increment,topology_full,gate_coupled,f1_macro,6,-0.0052122181429920715,0.017797987475050393,-0.017872262591901472,0.00731872007249675,3,0,3
