dataset,variant,acc,nmi,ari,f1_macro
Blood_BoneMarrow,adaptive_mix_only,0.5243445692883896,0.7318440853467879,0.44048617268577545,0.476975620229598
Blood_BoneMarrow,adaptive_weight_only,0.5008825175427268,0.725546426997596,0.42576592475164304,0.46324570335655096
Blood_BoneMarrow,clean_pair,0.4898618106676998,0.7198858792646957,0.4123704639652182,0.45752713701594344
Blood_BoneMarrow,fixed,0.5466227560377115,0.730607477361068,0.45720899532264364,0.4874934062630431
Blood_BoneMarrow,gate_coupled,0.5227517327478582,0.7325245299508777,0.4396048518606554,0.47229551522888397
Blood_BoneMarrow,nomix,0.5208360239355977,0.7300877501968043,0.4618869194676736,0.4634121745080832
Blood_BoneMarrow,topology_full,0.5349347798011107,0.738788630442134,0.44726814486537275,0.4897889719857673
Human_Pancreas_1,adaptive_mix_only,0.8711656441717791,0.8559108236446439,0.8787138131772733,0.7577607214764317
Human_Pancreas_1,adaptive_weight_only,0.8699970785860356,0.8522632850979965,0.875858488283777,0.7569578048366742
Human_Pancreas_1,clean_pair,0.8683903009056383,0.8483356549159051,0.8715788720959504,0.7558861847018168
Human_Pancreas_1,fixed,0.8699970785860356,0.8530349370810639,0.8764756709075039,0.7568690947871356
Human_Pancreas_1,gate_coupled,0.8711656441717791,0.85617909458725,0.8789435703350822,0.7577234074553928
Human_Pancreas_1,nomix,0.8707274320771253,0.8534680865713823,0.8773482610369533,0.7575902333037433
Human_Pancreas_1,topology_full,0.8710195734735612,0.8553614141594498,0.8783923273934563,0.7576502700004372
Human_Pancreas_3,adaptive_mix_only,0.8279607568325158,0.846761597281438,0.8580067636738077,0.68931006745946
Human_Pancreas_3,adaptive_weight_only,0.7425445768122713,0.8205811154839324,0.7743027519638216,0.6803020708893395
Human_Pancreas_3,clean_pair,0.7572607646188585,0.8203646987703107,0.7752740013206276,0.6590333829271121
Human_Pancreas_3,fixed,0.741298761971502,0.8166041895097612,0.7704253412688128,0.6770828034597539
Human_Pancreas_3,gate_coupled,0.8690337148641284,0.8580847836179079,0.8964511813014898,0.7191051151421836
Human_Pancreas_3,nomix,0.7439071867943626,0.8211908432628406,0.7741834877304615,0.6810727382434677
Human_Pancreas_3,topology_full,0.8285058008253524,0.8432360047200774,0.8542097971221588,0.6911588152941858
Mouse_Pancreas_1,adaptive_mix_only,0.8135835567470956,0.8264434006237154,0.8356397550288833,0.7537177883790885
Mouse_Pancreas_1,adaptive_weight_only,0.8786416443252905,0.8512724224230142,0.8760719229440742,0.8314179736889883
Mouse_Pancreas_1,clean_pair,0.880071492403932,0.8552269642103889,0.8787274816032244,0.8334554842353947
Mouse_Pancreas_1,fixed,0.8802502234137624,0.8550521717187957,0.878337262094624,0.8338038518540766
Mouse_Pancreas_1,gate_coupled,0.7810545129579983,0.8131127172044043,0.8149105783281754,0.7146047269248014
Mouse_Pancreas_1,nomix,0.876496872207328,0.8518742672946665,0.8737093057039927,0.8331329357814785
Mouse_Pancreas_1,topology_full,0.7810545129579981,0.8137212685845344,0.8151181038926844,0.7147094302297966
PRJNA895163,adaptive_mix_only,0.4730713245997089,0.3820607781496954,0.17502894190652576,0.4666231454895506
PRJNA895163,adaptive_weight_only,0.47764324467381236,0.3825919559348283,0.18349336116235626,0.4570166304203596
PRJNA895163,clean_pair,0.492186052666402,0.39592116818779627,0.1908185924824127,0.47556967375743503
PRJNA895163,fixed,0.4721450310969962,0.38129682850194707,0.18411992533266394,0.45447305896575135
PRJNA895163,gate_coupled,0.4491928013762075,0.3559761942014867,0.1576719439082215,0.4374820562595412
PRJNA895163,nomix,0.4723369061797009,0.3648897756186635,0.1849379021099582,0.4435996431155716
PRJNA895163,topology_full,0.4622072250893212,0.36133945005858775,0.16910695793495592,0.44192897679512827
TabulaSapiens_Pancreas,adaptive_mix_only,0.6796542930008501,0.7349501545009781,0.553128136933826,0.5063375066453835
TabulaSapiens_Pancreas,adaptive_weight_only,0.596344573533579,0.730164282534898,0.49061554409018004,0.4705722549386502
TabulaSapiens_Pancreas,clean_pair,0.6225795787286295,0.7263173265034203,0.4877027602748658,0.4903069799294805
TabulaSapiens_Pancreas,fixed,0.6116935864739775,0.727149251141474,0.4881175552927486,0.48383884371224856
TabulaSapiens_Pancreas,gate_coupled,0.6636677056767734,0.7369966302138993,0.5383709302059082,0.5285138600579083
TabulaSapiens_Pancreas,nomix,0.6256729951827714,0.7274218605686863,0.4955933652199122,0.4933412688944137
TabulaSapiens_Pancreas,topology_full,0.6625342401057902,0.7354694931933303,0.5362306940870684,0.5032149079054437
