dataset,variant,seed,gpu,status,attempt,started_utc,finished_utc,returncode
Blood_BoneMarrow,nomix,2024,3,success,1,2026-07-11T11:31:07.943573+00:00,2026-07-11T11:32:15.305968+00:00,0
Blood_BoneMarrow,nomix,42,2,success,1,2026-07-11T11:31:07.948649+00:00,2026-07-11T11:32:15.639328+00:00,0
Blood_BoneMarrow,nomix,3407,4,success,1,2026-07-11T11:31:07.946445+00:00,2026-07-11T11:32:16.224201+00:00,0
Blood_BoneMarrow,clean_pair,42,6,success,1,2026-07-11T11:31:07.951227+00:00,2026-07-11T11:32:39.069408+00:00,0
Blood_BoneMarrow,clean_pair,2024,3,success,1,2026-07-11T11:32:15.306665+00:00,2026-07-11T11:33:41.837443+00:00,0
Blood_BoneMarrow,clean_pair,3407,2,success,1,2026-07-11T11:32:15.640071+00:00,2026-07-11T11:33:42.489129+00:00,0
Blood_BoneMarrow,fixed,42,4,success,1,2026-07-11T11:32:16.225089+00:00,2026-07-11T11:34:35.141952+00:00,0
Blood_BoneMarrow,fixed,2024,6,success,1,2026-07-11T11:32:39.070455+00:00,2026-07-11T11:34:48.532235+00:00,0
Blood_BoneMarrow,adaptive_mix_only,42,2,success,1,2026-07-11T11:33:42.490117+00:00,2026-07-11T11:35:47.656792+00:00,0
Blood_BoneMarrow,fixed,3407,3,success,1,2026-07-11T11:33:41.838591+00:00,2026-07-11T11:35:50.450942+00:00,0
Blood_BoneMarrow,adaptive_mix_only,2024,4,success,1,2026-07-11T11:34:35.142996+00:00,2026-07-11T11:36:41.136921+00:00,0
Blood_BoneMarrow,adaptive_mix_only,3407,6,success,1,2026-07-11T11:34:48.533361+00:00,2026-07-11T11:36:44.369369+00:00,0
Blood_BoneMarrow,adaptive_weight_only,42,2,success,1,2026-07-11T11:35:47.657559+00:00,2026-07-11T11:37:47.091408+00:00,0
Blood_BoneMarrow,adaptive_weight_only,2024,3,success,1,2026-07-11T11:35:50.455988+00:00,2026-07-11T11:37:53.016880+00:00,0
Blood_BoneMarrow,gate_coupled,42,6,success,1,2026-07-11T11:36:44.370579+00:00,2026-07-11T11:38:38.439061+00:00,0
Blood_BoneMarrow,adaptive_weight_only,3407,4,success,1,2026-07-11T11:36:41.137958+00:00,2026-07-11T11:38:47.553849+00:00,0
Blood_BoneMarrow,gate_coupled,2024,2,success,1,2026-07-11T11:37:47.092512+00:00,2026-07-11T11:39:52.358973+00:00,0
Blood_BoneMarrow,gate_coupled,3407,3,success,1,2026-07-11T11:37:53.018010+00:00,2026-07-11T11:39:56.026101+00:00,0
Human_Pancreas_1,nomix,42,3,success,1,2026-07-11T11:39:56.027514+00:00,2026-07-11T11:40:07.853543+00:00,0
Human_Pancreas_1,nomix,2024,3,success,1,2026-07-11T11:40:07.854720+00:00,2026-07-11T11:40:21.726895+00:00,0
Human_Pancreas_1,nomix,3407,3,success,1,2026-07-11T11:40:21.728106+00:00,2026-07-11T11:40:36.587433+00:00,0
Blood_BoneMarrow,topology_full,42,6,success,1,2026-07-11T11:38:38.440286+00:00,2026-07-11T11:40:51.557364+00:00,0
Human_Pancreas_1,clean_pair,42,3,success,1,2026-07-11T11:40:36.588769+00:00,2026-07-11T11:40:54.162708+00:00,0
Blood_BoneMarrow,topology_full,2024,4,success,1,2026-07-11T11:38:47.554746+00:00,2026-07-11T11:41:04.276119+00:00,0
Human_Pancreas_1,clean_pair,2024,6,success,1,2026-07-11T11:40:51.558592+00:00,2026-07-11T11:41:08.865751+00:00,0
Human_Pancreas_1,clean_pair,3407,3,success,1,2026-07-11T11:40:54.163965+00:00,2026-07-11T11:41:10.818821+00:00,0
Human_Pancreas_1,fixed,42,4,success,1,2026-07-11T11:41:04.277045+00:00,2026-07-11T11:41:31.866481+00:00,0
Human_Pancreas_1,fixed,2024,6,success,1,2026-07-11T11:41:08.867054+00:00,2026-07-11T11:41:36.377953+00:00,0
Human_Pancreas_1,fixed,3407,3,success,1,2026-07-11T11:41:10.820450+00:00,2026-07-11T11:41:37.635117+00:00,0
Human_Pancreas_1,adaptive_mix_only,42,4,success,1,2026-07-11T11:41:31.867941+00:00,2026-07-11T11:41:57.946040+00:00,0
Human_Pancreas_1,adaptive_mix_only,2024,6,success,1,2026-07-11T11:41:36.379402+00:00,2026-07-11T11:42:02.171413+00:00,0
Blood_BoneMarrow,topology_full,3407,2,success,1,2026-07-11T11:39:52.360108+00:00,2026-07-11T11:42:02.709589+00:00,0
Human_Pancreas_1,adaptive_mix_only,3407,3,success,1,2026-07-11T11:41:37.635852+00:00,2026-07-11T11:42:03.258527+00:00,0
Human_Pancreas_1,adaptive_weight_only,42,4,success,1,2026-07-11T11:41:57.946896+00:00,2026-07-11T11:42:26.982094+00:00,0
Human_Pancreas_1,gate_coupled,42,3,success,1,2026-07-11T11:42:03.259987+00:00,2026-07-11T11:42:30.157507+00:00,0
Human_Pancreas_1,adaptive_weight_only,3407,2,success,1,2026-07-11T11:42:02.710985+00:00,2026-07-11T11:42:30.438412+00:00,0
Human_Pancreas_1,adaptive_weight_only,2024,6,success,1,2026-07-11T11:42:02.172973+00:00,2026-07-11T11:42:30.695974+00:00,0
Human_Pancreas_1,gate_coupled,2024,4,success,1,2026-07-11T11:42:26.983398+00:00,2026-07-11T11:42:54.387632+00:00,0
Human_Pancreas_1,topology_full,42,2,success,1,2026-07-11T11:42:30.439894+00:00,2026-07-11T11:42:55.547921+00:00,0
Human_Pancreas_1,gate_coupled,3407,3,success,1,2026-07-11T11:42:30.158912+00:00,2026-07-11T11:42:55.640764+00:00,0
Human_Pancreas_1,topology_full,2024,6,success,1,2026-07-11T11:42:30.697418+00:00,2026-07-11T11:42:56.679142+00:00,0
Human_Pancreas_1,topology_full,3407,4,success,1,2026-07-11T11:42:54.389019+00:00,2026-07-11T11:43:22.851247+00:00,0
Human_Pancreas_3,nomix,3407,6,success,1,2026-07-11T11:42:56.686296+00:00,2026-07-11T11:43:32.698080+00:00,0
Human_Pancreas_3,nomix,2024,3,success,1,2026-07-11T11:42:55.642202+00:00,2026-07-11T11:43:32.877732+00:00,0
Human_Pancreas_3,nomix,42,2,success,1,2026-07-11T11:42:55.549599+00:00,2026-07-11T11:43:33.030593+00:00,0
Human_Pancreas_3,clean_pair,42,4,success,1,2026-07-11T11:43:22.852777+00:00,2026-07-11T11:44:14.848073+00:00,0
Human_Pancreas_3,clean_pair,3407,3,success,1,2026-07-11T11:43:32.879277+00:00,2026-07-11T11:44:25.691913+00:00,0
Human_Pancreas_3,clean_pair,2024,6,success,1,2026-07-11T11:43:32.699404+00:00,2026-07-11T11:44:26.023320+00:00,0
Human_Pancreas_3,fixed,42,2,success,1,2026-07-11T11:43:33.032271+00:00,2026-07-11T11:44:48.028987+00:00,0
