dataset,variant,seed,status,n_clusters,acc,nmi,ari,f1_macro,fmi,v_measure,elapsed,source_sha256,error
balance_scale,v9_adaptive_advantage,42,completed,3,0.6112,0.28684544711314874,0.2902228376893381,0.5384728487886382,0.5620778462067598,0.2868454471131488,3.3327503204345703,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,
balance_scale,v9_adaptive_advantage,123,completed,3,0.5376,0.13504044992389763,0.1606957497742878,0.47542049736076236,0.4796940041184127,0.1350404499238976,2.2236297130584717,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,
balance_scale,v9_adaptive_advantage,7,completed,3,0.488,0.10832740861765909,0.11920791843138627,0.4249352705962111,0.4545445833218599,0.10832740861765908,2.1846764087677,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,
landsat,v9_adaptive_advantage,42,completed,6,0.7052987598647125,0.6269289296951471,0.5338050759776017,0.6547001629214709,0.6284265293164388,0.6269289296951472,17.932893991470337,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,
landsat,v9_adaptive_advantage,123,completed,6,0.7080045095828635,0.629490505661026,0.5346278170939209,0.6542989305348565,0.6305563944562155,0.6294905056610258,18.351726293563843,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,
landsat,v9_adaptive_advantage,7,completed,6,0.7131905298759865,0.636375409050908,0.5453361242600371,0.6560324082610874,0.6379555474177783,0.6363754090509078,18.20775818824768,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,
spect_heart,v9_adaptive_advantage,42,completed,2,0.7677902621722846,0.1586686220604211,0.25393768728635696,0.7026085081920093,0.7121559658970721,0.1586686220604211,1.1658189296722412,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,
spect_heart,v9_adaptive_advantage,123,completed,2,0.7827715355805244,0.14876941988774078,0.26991516372910807,0.7051408987052552,0.7317545873696861,0.14876941988774078,1.084324598312378,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,
spect_heart,v9_adaptive_advantage,7,completed,2,0.7490636704119851,0.14051770540406255,0.2203483683080997,0.6855455360438749,0.6939235785594281,0.14051770540406253,1.0889794826507568,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,
glass,v9_adaptive_advantage,42,completed,6,0.4532710280373832,0.6357778751289882,0.38860624544741573,0.3078581871345029,0.530147037814056,0.6357778751289883,0.7632536888122559,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,
glass,v9_adaptive_advantage,123,completed,6,0.4485981308411215,0.6563020213398324,0.40099855378456556,0.30521091963874825,0.5401784503913706,0.6563020213398324,0.7576775550842285,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,
glass,v9_adaptive_advantage,7,completed,6,0.4532710280373832,0.6214110760984382,0.38160574403473846,0.30804251647605235,0.5242273915731142,0.621411076098438,0.845757007598877,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,
vehicle,v9_adaptive_advantage,42,completed,4,0.4101654846335697,0.11739849006605431,0.0807735337965306,0.39710197097717237,0.32557582651930855,0.11739849006605432,3.12172532081604,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,
vehicle,v9_adaptive_advantage,123,completed,4,0.4101654846335697,0.11706292627740396,0.08042219821751996,0.3971226867231838,0.32565325270045714,0.11706292627740397,3.250366687774658,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,
vehicle,v9_adaptive_advantage,7,completed,4,0.36524822695035464,0.1033114841819929,0.06340035746727332,0.35653304239672307,0.31093210261787413,0.10331148418199289,3.0200531482696533,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,
vertebral_column,v9_adaptive_advantage,42,completed,2,0.7451612903225806,0.20622883619307358,0.23801090400896574,0.7341828483355222,0.6420630339916245,0.20622883619307353,1.1734578609466553,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,
vertebral_column,v9_adaptive_advantage,123,completed,2,0.7387096774193549,0.22057441974515493,0.2257231235805856,0.7308422034279833,0.6357658136322237,0.22057441974515493,1.266597032546997,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,
vertebral_column,v9_adaptive_advantage,7,completed,2,0.7451612903225806,0.22787379839283456,0.23826145101972585,0.7368788611334944,0.6416602488865725,0.22787379839283456,1.279118537902832,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,
image_segment,v9_adaptive_advantage,42,completed,7,0.46190476190476193,0.3614321581591817,0.2277437353009914,0.4674730074055834,0.34146739674528587,0.3614321581591817,0.7674243450164795,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,
image_segment,v9_adaptive_advantage,123,completed,7,0.5142857142857142,0.39165594498893713,0.3036848591827872,0.5051214840911531,0.4048380014416598,0.39165594498893713,0.7488737106323242,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,
image_segment,v9_adaptive_advantage,7,completed,7,0.5142857142857142,0.3899380497636788,0.2870156086721414,0.49990608933400693,0.3920439280095194,0.3899380497636788,0.7425224781036377,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,
