dataset,n_samples,n_features,n_clusters,AHDPC_ACC,AHDPC_NMI,AHDPC_ARI,AHDPC_AMI,AHDPC_RI,AHDPC_FMI,HDPC_ACC,HDPC_NMI,HDPC_ARI,HDPC_AMI,HDPC_RI,HDPC_FMI,V9_ACC,V9_NMI,V9_ARI,V9_AMI,V9_RI,V9_FMI,delta_ACC_V9_minus_AHDPC,delta_NMI_V9_minus_AHDPC,delta_ARI_V9_minus_AHDPC,delta_AMI_V9_minus_AHDPC,delta_RI_V9_minus_AHDPC,delta_FMI_V9_minus_AHDPC,delta_ACC_V9_minus_HDPC,delta_NMI_V9_minus_HDPC,delta_ARI_V9_minus_HDPC,delta_AMI_V9_minus_HDPC,delta_RI_V9_minus_HDPC,delta_FMI_V9_minus_HDPC
20newsgroups,9991,4096,20,0.055049544590131116,0.004019296757733512,1.128637202549299e-05,0.0001294628485981888,0.054037662925662124,0.22414191654390447,0.05454909418476629,0.003934926394293539,1.4463743997917331e-05,4.4762974054670976e-05,0.054040668633802455,0.22414862217851234,0.19847863076769093,0.18298820025738435,0.06930888340063965,0.1778662128239951,0.9016658536226148,0.12144395384025675,0.1434290861775598,0.17896890349965083,0.06929759702861416,0.1777367499753969,0.8476281906969526,-0.10269796270364773,0.14392953658292462,0.1790532738630908,0.06929441965664174,0.17782144984994042,0.8476251849888123,-0.10270466833825559
Baron Human,8451,20125,9,0.29830789255709383,0.0015396952005227863,-0.00038448708023993826,-0.0004362229856169663,0.2033871836181986,0.4490983786537764,0.29830789255709383,0.0012842484561103869,-0.00041520107350010246,-0.0006007902851432035,0.2032219708602112,0.449124383323509,0.48704295349662763,0.5265436233444265,0.30719951317332694,0.5255969433584793,0.7981854603530691,0.43121373397470164,0.1887350609395338,0.5250039281439037,0.30758400025356686,0.5260331663440962,0.5947982767348705,-0.017884644679074746,0.1887350609395338,0.5252593748883161,0.30761471424682707,0.5261977336436224,0.5949634894928579,-0.017910649348807373
CIFAR10_CLIP,10000,512,10,0.1005,0.0017934908166910078,1.5149745475946848e-07,2.955259725748904e-07,0.10134987498749876,0.31580114170307083,0.1006,0.00219149281971499,8.552371473053933e-07,0.0002516663795529262,0.10167022702270227,0.3157389320518011,0.7327,0.6979041558081323,0.5546015393855166,0.6973636861799263,0.9151073507350735,0.6030995979698666,0.6322,0.6961106649914413,0.5546013878880618,0.6973633906539537,0.8137574757475747,0.28729845626679573,0.6321,0.6957126629884173,0.5546006841483693,0.6971120198003734,0.8134371237123713,0.28736066591806547
COIL20_CLIP,1440,512,20,0.8625,0.9462165637722392,0.8141348779774433,0.9436549266324133,0.9801598332175122,0.8311958633450797,0.8541666666666666,0.9507728647720183,0.8123011993841233,0.9484212561145193,0.9796907574704656,0.8309492516608314,0.8354166666666667,0.9409746538045873,0.7952512703247376,0.9380903142408916,0.9783462666975523,0.8122647867667594,-0.027083333333333348,-0.005241909967651837,-0.018883607652705692,-0.005564612391521728,-0.0018135665199598971,-0.01893107657832027,-0.018749999999999933,-0.009798210967430943,-0.017049929059385627,-0.010330941873627708,-0.0013444907729133204,-0.01868446489407205
Campbell,9993,26774,14,0.4673271289902932,0.008399831410530073,0.00345337137923284,0.004496008884317046,0.2517037747079481,0.49596657033449837,0.46662663864705295,0.00642364019084372,0.0021420408246447704,0.0030955373860005893,0.24929977004719958,0.4956628026067412,0.29170419293505456,0.3245381488227411,0.2169114132343714,0.32175230719456643,0.7584573412758026,0.36621577500081026,-0.17562293605523865,0.31613831741221105,0.21345804185513856,0.3172562983102494,0.5067535665678544,-0.1297507953336881,-0.1749224457119984,0.3181145086318974,0.21476937240972663,0.31865676980856583,0.509157571228603,-0.12944702760593096
Drug Consumption,1749,12,4,0.3642081189251001,0.011680076104165623,0.014225736635086705,0.009558813175654322,0.5694898555958096,0.331280778377208,0.36649514008004574,0.01109395358754124,0.014255835536159958,0.008967494950440769,0.5691791190258442,0.33171598681829,0.2978845054316752,0.010217846397786388,0.009403877273969822,0.008280588787953836,0.5970106487787071,0.28757217503728316,-0.06632361349342486,-0.0014622297063792353,-0.0048218593611168824,-0.001278224387700486,0.027520793182897574,-0.04370860333992482,-0.06861063464837053,-0.0008761071897548517,-0.004851958262190136,-0.0006869061624869329,0.02783152975286296,-0.04414381178100685
FashionMNIST_CLIP,10000,512,10,0.2967,0.5022861929386848,0.22263290518906192,0.5015118795284715,0.6524643464346435,0.4472301681027636,0.3115,0.5189566918483459,0.22464538953628382,0.5180044390932219,0.6544509050905091,0.4487008050638171,0.6311,0.6843055361361069,0.5247522258067256,0.6837356012053761,0.9061574557455746,0.5798023224708819,0.3344,0.18201934319742208,0.3021193206176637,0.1822237216769046,0.25369310931093114,0.1325721543681183,0.3196,0.16534884428776098,0.3001068362704418,0.16573116211215422,0.25170655065506553,0.13110151740706483
ISOLET,7797,617,26,0.08939335641913557,0.24933708766792817,0.03210714714228183,0.24095207913391842,0.3770831725217228,0.22370067954482525,0.13761703219186866,0.3428221843974886,0.048297672675705096,0.33360882179606227,0.4825517017142205,0.2354981222389223,0.6148518661023471,0.7523636089683914,0.5256709607907959,0.7491767065095065,0.9633904924424959,0.54528696838577,0.5254585096832115,0.5030265213004632,0.4935638136485141,0.5082246273755882,0.5863073199207731,0.3215862888409447,0.47723483391047844,0.40954142457090276,0.4773732881150908,0.41556788471344425,0.48083879072827534,0.30978884614684765
Indian_pines,8858,220,5,0.35990065477534433,0.07050832970609988,-0.0638490955907046,0.06980399205977784,0.41391997119990837,0.4106249388279129,0.41058929780988934,0.05376760837034354,-0.045536284145951504,0.052934955435572084,0.38637310266816116,0.4553836398280717,0.5860239331677579,0.47441518868067556,0.31302001345798275,0.47407551669923154,0.7178917892436746,0.5104931285233885,0.22612327839241358,0.4039068589745757,0.37686910904868737,0.4042715246394537,0.3039718180437662,0.09986818969547556,0.17543463535786857,0.420647580310332,0.35855629760393426,0.42114056126365945,0.3315186865755134,0.05510948869531679
JapaneseVowels,9961,14,9,0.27708061439614495,0.21106383897688,0.04861081378032106,0.20912775488251553,0.39220163456758467,0.33744807758780193,0.22306997289428773,0.1479312482493462,0.023326843843258407,0.14552862415097592,0.2439932403038517,0.34545776676730655,0.3725529565304688,0.37897898244450184,0.2074346546448694,0.37804806132165847,0.8304627807485337,0.304016780676752,0.09547234213432387,0.16791514346762185,0.15882384086454834,0.16892030643914294,0.4382611461809491,-0.03343129691104996,0.1494829836361811,0.23104773419515565,0.18410781080161098,0.23251943717068255,0.586469540444682,-0.04144098609055458
