dataset,method,status,seed,n_samples,n_features,n_clusters,ACC,NMI,ARI,AMI,RI,FMI,elapsed_seconds,error_type,error
20newsgroups,AHDPC,completed,42,9991,4096,20,0.055049544590131116,0.004019296757733512,1.128637202549299e-05,0.0001294628485981888,0.054037662925662124,0.22414191654390447,760.1520730941556,,
20newsgroups,HDPC,completed,42,9991,4096,20,0.05454909418476629,0.003934926394293539,1.4463743997917331e-05,4.4762974054670976e-05,0.054040668633802455,0.22414862217851234,479.55261631915346,,
20newsgroups,V9,completed,42,9991,4096,20,0.19847863076769093,0.18298820025738435,0.06930888340063965,0.1778662128239951,0.9016658536226148,0.12144395384025675,98.79709649085999,,
Baron Human,AHDPC,completed,42,8451,20125,9,0.29830789255709383,0.0015396952005227863,-0.00038448708023993826,-0.0004362229856169663,0.2033871836181986,0.4490983786537764,2530.5973663278855,,
Baron Human,HDPC,completed,42,8451,20125,9,0.29830789255709383,0.0012842484561103869,-0.00041520107350010246,-0.0006007902851432035,0.2032219708602112,0.449124383323509,1675.7663614288904,,
Baron Human,V9,completed,42,8451,20125,9,0.48704295349662763,0.5265436233444265,0.30719951317332694,0.5255969433584793,0.7981854603530691,0.43121373397470164,415.3424541950226,,
CIFAR10_CLIP,AHDPC,completed,42,10000,512,10,0.1005,0.0017934908166910078,1.5149745475946848e-07,2.955259725748904e-07,0.10134987498749876,0.31580114170307083,49.49699336476624,,
CIFAR10_CLIP,HDPC,completed,42,10000,512,10,0.1006,0.00219149281971499,8.552371473053933e-07,0.0002516663795529262,0.10167022702270227,0.3157389320518011,33.152478540781885,,
CIFAR10_CLIP,V9,completed,42,10000,512,10,0.7327,0.6979041558081323,0.5546015393855166,0.6973636861799263,0.9151073507350735,0.6030995979698666,79.49316954612732,,
COIL20_CLIP,AHDPC,completed,42,1440,512,20,0.8625,0.9462165637722392,0.8141348779774433,0.9436549266324133,0.9801598332175122,0.8311958633450797,1.5613412442617118,,
COIL20_CLIP,HDPC,completed,42,1440,512,20,0.8541666666666666,0.9507728647720183,0.8123011993841233,0.9484212561145193,0.9796907574704656,0.8309492516608314,0.7475057360716164,,
COIL20_CLIP,V9,completed,42,1440,512,20,0.8354166666666667,0.9409746538045873,0.7952512703247376,0.9380903142408916,0.9783462666975523,0.8122647867667594,10.170638799667358,,
Campbell,AHDPC,completed,42,9993,26774,14,0.4673271289902932,0.008399831410530073,0.00345337137923284,0.004496008884317046,0.2517037747079481,0.49596657033449837,4724.404109742027,,
