dataset,v9_adaptive_ari,v9_static_gate_delta,v9_random_neighbors_delta,v9_static_random_delta,v9_nomix_delta
Campbell,0.2317,-0.0010,-0.0030,-0.0543,-0.0399
ISOLET,0.5153,-0.0186,-0.0066,-0.0004,+0.0081
Mouse_retina,0.9119,+0.0102,+0.0181,+0.0244,+0.0361
Quake_Smart-seq2_Lung,0.1586,+0.0103,+0.0145,-0.0014,+0.0052
breast_cancer_wisconsin_original,0.8854,+0.0056,+0.0092,+0.0074,-0.0091
cnae9,0.3301,-0.0270,-0.0510,-0.0453,+0.0023
enron,0.7849,+0.0083,+0.0000,-0.0023,-0.0031
first-order-theorem-proving,0.0238,+0.0041,-0.0010,-0.0007,+0.0031
har,0.4576,+0.0445,+0.0248,+0.0347,+0.0445
hrvatin_filtered,0.7769,-0.0260,+0.0596,+0.0607,+0.0135
iris,0.6700,+0.0040,+0.0037,-0.0001,+0.0613
mammographic_mass,0.3469,+0.0152,+0.0162,+0.0152,+0.0231
reuters,0.2006,-0.0073,-0.0002,-0.0052,+0.0065
sms_spam_collection,0.8194,-0.0144,-0.0156,-0.0176,-0.0001
spambase,0.6342,-0.0015,-0.2182,-0.1833,-0.0293
