dataset,variant,gate_mode,mix_mode,neighbor_source,ari_mean,ari_std,n_seeds,n_ok,n_err
Campbell,v9_nomix,learned,none,—,0.1918,0.0144,3,3,0
Campbell,v9_random_neighbors,learned,random,random,0.2288,0.0381,3,3,0
Campbell,v9_static_gate,topology,reliability,topo,0.2307,0.0455,3,3,0
Campbell,v9_static_random,topology,random,random,0.1774,0.0273,3,3,0
ISOLET,v9_nomix,learned,none,—,0.5234,0.0330,3,3,0
ISOLET,v9_random_neighbors,learned,random,random,0.5088,0.0169,3,3,0
ISOLET,v9_static_gate,topology,reliability,topo,0.4968,0.0188,3,3,0
ISOLET,v9_static_random,topology,random,random,0.5150,0.0076,3,3,0
Mouse_retina,v9_nomix,learned,none,—,0.9479,0.0089,3,3,0
Mouse_retina,v9_random_neighbors,learned,random,random,0.9300,0.0063,3,3,0
Mouse_retina,v9_static_gate,topology,reliability,topo,0.9221,0.0089,3,3,0
Mouse_retina,v9_static_random,topology,random,random,0.9363,0.0103,3,3,0
Quake_Smart-seq2_Lung,v9_nomix,learned,none,—,0.1637,0.0207,3,3,0
Quake_Smart-seq2_Lung,v9_random_neighbors,learned,random,random,0.1731,0.0287,3,3,0
Quake_Smart-seq2_Lung,v9_static_gate,topology,reliability,topo,0.1689,0.0177,3,3,0
Quake_Smart-seq2_Lung,v9_static_random,topology,random,random,0.1572,0.0232,3,3,0
breast_cancer_wisconsin_original,v9_nomix,learned,none,—,0.8763,0.0026,3,3,0
breast_cancer_wisconsin_original,v9_random_neighbors,learned,random,random,0.8947,0.0070,3,3,0
breast_cancer_wisconsin_original,v9_static_gate,topology,reliability,topo,0.8910,0.0079,3,3,0
breast_cancer_wisconsin_original,v9_static_random,topology,random,random,0.8928,0.0095,3,3,0
cnae9,v9_nomix,learned,none,—,0.3324,0.0399,3,3,0
cnae9,v9_random_neighbors,learned,random,random,0.2791,0.0083,3,3,0
cnae9,v9_static_gate,topology,reliability,topo,0.3031,0.0193,3,3,0
cnae9,v9_static_random,topology,random,random,0.2848,0.0358,3,3,0
enron,v9_nomix,learned,none,—,0.7818,0.0754,3,3,0
enron,v9_random_neighbors,learned,random,random,0.7849,0.0610,3,3,0
enron,v9_static_gate,topology,reliability,topo,0.7933,0.0582,3,3,0
enron,v9_static_random,topology,random,random,0.7827,0.0594,3,3,0
first-order-theorem-proving,v9_nomix,learned,none,—,0.0269,0.0020,3,3,0
first-order-theorem-proving,v9_random_neighbors,learned,random,random,0.0228,0.0040,3,3,0
first-order-theorem-proving,v9_static_gate,topology,reliability,topo,0.0279,0.0036,3,3,0
first-order-theorem-proving,v9_static_random,topology,random,random,0.0231,0.0049,3,3,0
har,v9_nomix,learned,none,—,0.5022,0.0339,3,3,0
har,v9_random_neighbors,learned,random,random,0.4824,0.0413,3,3,0
har,v9_static_gate,topology,reliability,topo,0.5021,0.0383,3,3,0
har,v9_static_random,topology,random,random,0.4923,0.0350,3,3,0
hrvatin_filtered,v9_nomix,learned,none,—,0.7905,0.0620,3,3,0
hrvatin_filtered,v9_random_neighbors,learned,random,random,0.8365,0.0901,3,3,0
hrvatin_filtered,v9_static_gate,topology,reliability,topo,0.7509,0.0110,3,3,0
hrvatin_filtered,v9_static_random,topology,random,random,0.8376,0.0758,3,3,0
iris,v9_nomix,learned,none,—,0.7313,0.0505,3,3,0
iris,v9_random_neighbors,learned,random,random,0.6736,0.0167,3,3,0
iris,v9_static_gate,topology,reliability,topo,0.6740,0.0157,3,3,0
iris,v9_static_random,topology,random,random,0.6698,0.0127,3,3,0
mammographic_mass,v9_nomix,learned,none,—,0.3701,0.0137,3,3,0
mammographic_mass,v9_random_neighbors,learned,random,random,0.3632,0.0090,3,3,0
mammographic_mass,v9_static_gate,topology,reliability,topo,0.3622,0.0047,3,3,0
mammographic_mass,v9_static_random,topology,random,random,0.3622,0.0071,3,3,0
reuters,v9_nomix,learned,none,—,0.2071,0.0008,3,3,0
reuters,v9_random_neighbors,learned,random,random,0.2004,0.0009,3,3,0
reuters,v9_static_gate,topology,reliability,topo,0.1933,0.0098,3,3,0
reuters,v9_static_random,topology,random,random,0.1955,0.0095,3,3,0
sms_spam_collection,v9_nomix,learned,none,—,0.8193,0.0120,3,3,0
sms_spam_collection,v9_random_neighbors,learned,random,random,0.8038,0.0115,3,3,0
sms_spam_collection,v9_static_gate,topology,reliability,topo,0.8050,0.0084,3,3,0
sms_spam_collection,v9_static_random,topology,random,random,0.8018,0.0079,3,3,0
spambase,v9_nomix,learned,none,—,0.6049,0.0080,3,3,0
spambase,v9_random_neighbors,learned,random,random,0.4160,0.0398,3,3,0
spambase,v9_static_gate,topology,reliability,topo,0.6327,0.0024,3,3,0
spambase,v9_static_random,topology,random,random,0.4510,0.0269,3,3,0
