dataset,v9_ari_mean,v9_ari_std,v9_n_seeds,v2_ari_mean,v2_ari_std,v2_n_seeds,delta_ari,v9_acc_mean,v9_nmi_mean
Campbell,0.2317,0.0118,3,0.1214,0.0671,3,+0.1103,0.3080,0.3216
ISOLET,0.5153,0.0187,3,0.5070,0.0074,3,+0.0083,0.5917,0.7413
Mouse_retina,0.9119,0.0312,3,0.9374,0.0028,3,-0.0256,0.9747,0.8602
Quake_Smart-seq2_Lung,0.1586,0.0409,3,0.1906,0.0055,3,-0.0320,0.3457,0.4005
breast_cancer_wisconsin_original,0.8854,0.0137,3,0.8854,0.0079,3,+0.0000,0.9707,0.8060
cnae9,0.3301,0.0333,3,0.3003,0.0161,3,+0.0298,0.5762,0.5687
enron,0.7849,0.0610,3,0.7681,0.0628,3,+0.0169,0.9427,0.7409
first-order-theorem-proving,0.0238,0.0054,3,0.0195,0.0036,3,+0.0043,0.2663,0.0613
har,0.4576,0.0399,3,0.5268,0.0366,3,-0.0692,0.6209,0.5958
hrvatin_filtered,0.7769,0.0651,3,0.3439,0.0947,3,+0.4331,0.8035,0.8650
iris,0.6700,0.0128,3,0.6530,0.0166,3,+0.0170,0.8622,0.7038
mammographic_mass,0.3469,0.0135,3,0.3651,0.0063,3,-0.0181,0.7948,0.3113
reuters,0.2006,0.0007,3,0.2012,0.0132,3,-0.0006,0.5293,0.2974
sms_spam_collection,0.8194,0.0071,3,0.8082,0.0261,3,+0.0112,0.9685,0.6852
spambase,0.6342,0.0106,3,0.6317,0.0273,3,+0.0026,0.8985,0.5141
