method,metric,dataset_or_seed_count,macro_mean,macro_std
V9,acc,72,0.6622216243671135,0.2025777391158751
V9,ari,72,0.4279450471359513,0.30806781613484835
V9,ami,72,0.48793400971168904,0.3263989741666473
V9,nmi,72,0.5064593539952411,0.32146858166006204
V9,fmi,72,0.6195617866790523,0.21846547031119257
V9,ri,72,0.7791833018159706,0.15859031391495204
AHDPC,acc,24,0.7817886721803452,0.2061868054344916
AHDPC,ari,24,0.5994003812431556,0.3647946885715217
AHDPC,ami,24,0.6489379939701819,0.34699311598477184
AHDPC,nmi,24,0.6569454585592532,0.3469496635244201
AHDPC,fmi,24,0.7554516100826948,0.21778276847790268
AHDPC,ri,24,0.8348147791601367,0.17731343309296005
HDPC,acc,24,0.7705097148318636,0.20867573247802498
HDPC,ari,24,0.5809115407408999,0.35157346934739064
HDPC,ami,24,0.6291904100195042,0.33845319403795393
HDPC,nmi,24,0.6369105720637694,0.33889676683959113
HDPC,fmi,24,0.7401258881866354,0.21574280908770377
HDPC,ri,24,0.8258176911374641,0.17284946668164985
