dataset,method,required_seeds,completed_seeds,n_seeds,status,ARI_mean,ARI_std,NMI_mean,NMI_std,ACC_mean,ACC_std,labels_used_during_fit,evaluation_protocol,failure_count,failure_types,source_root
breast_cancer_wisconsin_original,ZEUS,5,"42,123,7,2025,3407",5,completed,0.8910118611,0.0000000000,0.8178227523,0.0000000000,0.9721815520,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,TableDC,5,"42,123,7,2025,3407",5,completed,0.6817336126,0.1682635496,0.6080056100,0.1258582148,0.9127379209,0.0503860323,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,IDC,5,"42,123,7,2025,3407",5,completed,0.8865465946,0.0082752902,0.8100350948,0.0158784540,0.9710102489,0.0021716540,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,GCEALS,5,"42,123,7,2025,3407",5,completed,0.7309039305,0.3043315080,0.6698646005,0.2505144897,0.9212298682,0.0995252284,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,KMeans,5,"42,123,7,2025,3407",5,completed,0.8464675665,0.0000000000,0.7478287711,0.0000000000,0.9604685212,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,GMM,5,"42,123,7,2025,3407",5,completed,0.5678666431,0.0000000000,0.5621234676,0.0000000000,0.8770131772,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,Spectral clustering,5,"42,123,7,2025,3407",5,completed,0.8908199934,0.0000000000,0.8059759385,0.0000000000,0.9721815520,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,Agglomerative,5,"42,123,7,2025,3407",5,completed,0.8689991724,0.0000000000,0.8030645819,0.0000000000,0.9663250366,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
breast_cancer_wisconsin_original,EDESC,5,"42,123,7,2025,3407",5,completed,0.1902442370,0.1648730192,0.1807861145,0.0884741540,0.7042459736,0.0943994162,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
spambase,ZEUS,5,"42,123,7,2025,3407",5,completed,0.8059868036,0.0000000000,0.7541287222,0.0000000000,0.9489241469,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
spambase,TableDC,5,"42,123,7,2025,3407",5,completed,0.0047375531,0.0033980396,0.0006007935,0.0005616669,0.5680504238,0.0129903762,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
spambase,IDC,5,"42,123,7,2025,3407",5,completed,-0.0049496989,0.0000000000,0.0104172154,0.0000000000,0.5985655292,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
