dataset_id,include_in_deduplicated_panel,duplicate_of,status,n_completed,ari_mean,ari_std,nmi_mean,nmi_std,acc_mean,acc_std
Macosko,True,,completed,5,0.41701659862610596,0.008713828988300575,0.6136185728768174,0.005036581938492373,0.5558203892162115,0.012385169675829177
Melanoma_5K,True,,completed,5,0.6419025906340275,0.014054651107665348,0.717559050503472,0.011842923034433125,0.7229780633724795,0.018030983540130448
Pollen,True,,completed,5,0.9197832466496522,0.02734204395104673,0.9404963278697428,0.009875147214093681,0.9083056478405315,0.03528483201953954
Wang,True,,completed,5,0.9204277775201923,0.02855767440725599,0.8469405467007733,0.037120734585881436,0.9814686416640402,0.006965104481290525
Quake_10x_Spleen,True,,completed,5,0.5383446155643732,0.004754671504595225,0.6805395232705325,0.005779669554021349,0.7696817420435511,0.004570536003547547
Quake_Smart-seq2_Lung,True,,completed,5,0.5698255992112469,0.05679381710791922,0.7473596567933662,0.017827873577603716,0.633054892601432,0.026236027286301516
Bach,True,,completed,5,0.7466936119654181,0.082185233655704,0.806158428315082,0.013551564512242454,0.748671497584541,0.042673091662261124
Baron,True,,completed,5,0.6732393544462852,0.0687047216306241,0.8112318325630017,0.023943764869883064,0.6930330260240402,0.04598070128919651
Guo,True,,completed,5,0.7350102534923568,0.015116147656150502,0.8272741191516086,0.0028422168106758345,0.8029892141756548,0.006446315386575153
Limb_Muscle,True,,completed,5,0.9781309229834971,0.0037665558848283794,0.9639366174632427,0.0035634725690238678,0.9906881555385008,0.0011092086665990587
Shekhar,True,,completed,5,0.6488035526817375,0.06661179118232524,0.8653016417653147,0.016051350422570852,0.7528885575847931,0.04366384496112204
Tosches,True,,completed,5,0.5193055258427939,0.03998873730690777,0.7341332941760184,0.013039917055535186,0.6399914273467638,0.02151990367835317
Young,True,,completed,5,0.7718160498270642,0.04637234049236476,0.8309895294873748,0.02409053358828272,0.8408091468777485,0.0455763116145656
hrvatin,True,,completed,5,0.8583456294983189,0.008072160140841205,0.8888202543032382,0.010606977162773158,0.8663572701280404,0.01301186945178784
worm_neuron_cell,True,,completed,5,0.41949764364819364,0.04167022285307989,0.653314095242468,0.03292157219682726,0.6684185379837553,0.03394025905868338
Blood_BoneMarrow,True,,completed,5,0.3026703327685633,0.03092396133408945,0.6112257098755658,0.005338236134658044,0.36508837569345887,0.020794769221398682
Bone_Marrow,True,,completed,5,0.31748529204489584,0.018175213541367342,0.6324289795186001,0.005961438747987708,0.3865980615053249,0.01565569324442934
Human_Pancreas_1,True,,completed,5,0.5495108921890188,0.013439766200248797,0.6580350745276353,0.01424754195109771,0.6372641509433963,0.00842791496179332
Human_Pancreas_3,False,Baron,completed,5,0.6732393544462852,0.0687047216306241,0.8112318325630017,0.023943764869883064,0.6930330260240402,0.04598070128919651
Mouse_Pancreas_1,True,,completed,5,0.6235020630547561,0.022296851738009785,0.803132194989956,0.008296699347164052,0.7009544008483563,0.02918393101171271
PRJNA895163,True,,completed,5,0.20696707914055645,0.02254635741745496,0.4113755753582832,0.0132108489937321,0.4965065502183406,0.005458822034760195
TabulaSapiens_Pancreas,True,,completed,5,0.44452136835695677,0.03099129337896517,0.7098552232867337,0.01300719515681178,0.5635502121640735,0.034979830241643084
