dataset,model,status,result_origin,seed,n_clusters,n_samples,n_features,ACC,NMI,ARI,time_sec,model_fit_input,labels_passed_to_model_fit,labels_used_to_choose_n_clusters,n_clusters_source,evaluation_protocol,source_path
Mouse_retina,ZEUS,completed,reused_historical_baseline_comparison,42,5,8352,6198,0.9297174329501916,0.7356898645179859,0.7389976225422917,2.6232285499572754,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Mouse_retina,TableDC,completed,reused_historical_baseline_comparison,42,5,8352,6198,0.6884578544061303,0.37460640250769217,0.4237996071640268,6.781657934188843,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Mouse_retina,IDC,completed,reused_historical_baseline_comparison,42,5,8352,6198,0.9075670498084292,0.6426768351879021,0.7170159214724031,100.07782912254333,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Mouse_retina,GCEALS,completed,reused_historical_baseline_comparison,42,5,8352,6198,0.9090038314176245,0.6558613554193059,0.7260684615998291,98.69558811187744,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Quake_Smart-seq2_Lung,ZEUS,completed,reused_historical_baseline_comparison,42,11,1676,23341,0.30250596658711215,0.19256674668306542,0.12108210048376715,3.0354418754577637,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Quake_Smart-seq2_Lung,TableDC,completed,reused_historical_baseline_comparison,42,11,1676,23341,0.3383054892601432,0.10370198563003835,0.04458852783797269,3.6931312084198,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Quake_Smart-seq2_Lung,IDC,completed,reused_historical_baseline_comparison,42,11,1676,23341,0.4743436754176611,0.16365578303449974,0.12816122554376586,24.703665256500244,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Quake_Smart-seq2_Lung,GCEALS,completed,reused_historical_baseline_comparison,42,11,1676,23341,0.4713603818615752,0.303088472982815,0.14369750717586635,19.1336190700531,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/baseline_comparison/summary.csv
Pollen,ZEUS,completed,new_completion,42,11,301,21721,0.7574750830564784,0.8606734815977732,0.7350431900021032,1.8160808086395264,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Pollen__ZEUS.status.json
Pollen,TableDC,completed,new_completion,42,11,301,21721,0.3654485049833887,0.3443437193873889,0.17840965229828698,49.3721809387207,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Pollen__TableDC.status.json
Pollen,IDC,completed,new_completion,42,11,301,21721,0.38205980066445183,0.5260913610214003,0.18854619946468223,58.78614401817322,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Pollen__IDC.status.json
Pollen,GCEALS,completed,new_completion,42,11,301,21721,0.7574750830564784,0.8232647914991025,0.7044012992493172,28.860885858535767,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Pollen__GCEALS.status.json
Wang,ZEUS,completed,new_completion,42,2,9519,14561,0.8226704485765312,0.4033654703398264,0.40781181563475605,50.73582649230957,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Wang__ZEUS.status.json
Wang,TableDC,completed,new_completion,42,2,9519,14561,0.5842000210106103,0.1742751110390577,0.007434132565650614,73.95176529884338,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Wang__TableDC.status.json
Wang,IDC,completed,new_completion,42,2,9519,14561,0.9350772139930665,0.6626086738027627,0.7420994365911467,133.46477246284485,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Wang__IDC.status.json
Wang,GCEALS,completed,new_completion,42,2,9519,14561,0.7350562033827083,0.016154706884175668,-0.04441041318574183,161.18552041053772,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Wang__GCEALS.status.json
Young,ZEUS,completed,new_completion,42,11,5685,33658,0.5291116974494283,0.44924087382771943,0.34962624727872404,41.47102904319763,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Young__ZEUS.status.json
Young,TableDC,completed,new_completion,42,11,5685,33658,0.31152154793315745,0.11529026652551329,0.08257971956556173,51.75293231010437,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Young__TableDC.status.json
Young,IDC,completed,new_completion,42,11,5685,33658,0.27616534740545295,0.1546827169073793,0.054932289567998296,194.58816385269165,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Young__IDC.status.json
Young,GCEALS,completed,new_completion,42,11,5685,33658,0.33192612137203165,0.230103216715396,0.09261204887226296,141.58497262001038,X_only,False,True,benchmark_oracle_from_y_before_fit,oracle-K clustering comparison,result-volume/result/bio_baseline_completion/Young__GCEALS.status.json
