dataset_id,seed,K_registry,K_offset,K_readout,labels_read_after_fit,ARI,NMI,ACC
Pollen,42,11,-1,10,True,0.9705360515860092,0.9639291977122291,0.9667774086378738
Pollen,42,11,0,11,True,0.9644785893252276,0.9658937464448722,0.9401993355481728
Pollen,42,11,1,12,True,0.9317302843411849,0.947582264914749,0.9069767441860465
Pollen,123,11,-1,10,True,0.9845438808369157,0.9798231630416389,0.9767441860465116
Pollen,123,11,0,11,True,0.9610907089714147,0.9605331621136255,0.9401993355481728
Pollen,123,11,1,12,True,0.9276476084240772,0.9387586568419518,0.9069767441860465
Pollen,7,11,-1,10,True,0.9289900613153024,0.9358046508924942,0.9235880398671097
Pollen,7,11,0,11,True,0.9545453272396567,0.9515527423970349,0.9401993355481728
Pollen,7,11,1,12,True,0.926602566346904,0.9383683278783533,0.9136212624584718
Pollen,2025,11,-1,10,True,0.9734458564579034,0.9720906114902288,0.9700996677740864
Pollen,2025,11,0,11,True,0.9589700373737674,0.9567838111245063,0.9401993355481728
Pollen,2025,11,1,12,True,0.9186584614804006,0.9397713204397062,0.8870431893687708
Pollen,3407,11,-1,10,True,0.9823408855041506,0.981799249742707,0.9767441860465116
Pollen,3407,11,0,11,True,0.9579405496149892,0.9526870564041163,0.9335548172757475
Pollen,3407,11,1,12,True,0.9299434445016971,0.9459657299323377,0.9036544850498339
Wang,42,2,0,2,True,0.9443831940901615,0.8904315797477715,0.9871835276814791
Wang,42,2,1,3,True,0.42170330316293775,0.5974069080219717,0.640403403718878
Wang,123,2,0,2,True,0.9623114340541358,0.9161868859215737,0.9913856497531254
Wang,123,2,1,3,True,0.42998325359576595,0.6121971917211705,0.6468116398781385
Wang,7,2,0,2,True,0.9403606274568113,0.8828913531443505,0.9862380502153587
Wang,7,2,1,3,True,0.42060221396367786,0.5949116391155763,0.6443954196869419
Wang,2025,2,0,2,True,0.9248988044450543,0.8598329119604791,0.9825611934026683
Wang,2025,2,1,3,True,0.42834030603930673,0.6120149795832822,0.6392478201491754
Wang,3407,2,0,2,True,0.9497505951969418,0.8995517741322039,0.988444164302973
Wang,3407,2,1,3,True,0.42159926339981624,0.6017643841791028,0.6331547431452884
Mouse_retina,42,5,-1,4,True,0.9438198238340836,0.8778917749030016,0.9400143678160919
Mouse_retina,42,5,0,5,True,0.9715916111610209,0.9442338259244447,0.9920977011494253
Mouse_retina,42,5,1,6,True,0.6354016681121134,0.771203818118302,0.8619492337164751
