dataset,variant,seed,n_clusters,acc,nmi,ari,elapsed,beta_mutual,beta_snn,beta_perturb,beta_uncertainty,effective_gate_max,error
ISOLET,v10_nomix_init,42,26,0.5931768628959856,0.7327339385767266,0.4956067171331842,68.41762518882751,-2.9531571865081787,-5.438020706176758,8.039929389953613,-1.5,0.15000000596046448,
ISOLET,v10_nomix_init,123,26,0.5042965243042196,0.7094388573930296,0.41539292362899877,55.5464231967926,-3.08624267578125,-5.231704235076904,7.8069281578063965,-1.5,0.15000000596046448,
ISOLET,v10_nomix_init,7,26,0.5739386943696293,0.7424136341898437,0.5029997949741054,60.44365859031677,-3.9215729236602783,-6.580303192138672,8.109138488769531,-1.5,0.15000000596046448,
ISOLET,v10_nomix,42,26,0.6308836732076439,0.7485699830586396,0.5316468003505489,24.76479721069336,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
ISOLET,v10_nomix,123,26,0.6151083750160318,0.7668212105999244,0.5590721908513381,24.57793164253235,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
ISOLET,v10_nomix,7,26,0.5568808516095934,0.7269456774178339,0.4795212957418094,24.45608949661255,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
sms_spam_collection,v10_nomix_init,42,2,0.9700598802395209,0.7034814951223608,0.827203103380751,8.356964349746704,1.698534369468689,1.6853052377700806,-4.720829963684082,-1.5,0.15000000596046448,
sms_spam_collection,v10_nomix_init,123,2,0.9652694610778443,0.6635398239778327,0.799345706176432,7.504245042800903,1.6750341653823853,1.57213294506073,-4.668656349182129,-1.5,0.15000000596046448,
sms_spam_collection,v10_nomix_init,7,2,0.9676646706586827,0.6697142982103156,0.8181236001594026,7.43482232093811,1.668548822402954,1.625320553779602,-4.598371982574463,-1.5,0.15000000596046448,
sms_spam_collection,v10_nomix,42,2,0.9676646706586827,0.6736934517665273,0.8160200779410619,2.2591097354888916,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
sms_spam_collection,v10_nomix,123,2,0.9664670658682635,0.6721247194656386,0.8066069824270153,2.3850629329681396,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
sms_spam_collection,v10_nomix,7,2,0.9712574850299401,0.7073293194674672,0.8353753856596403,2.388852596282959,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
first-order-theorem-proving,v10_nomix_init,42,6,0.2680614579928081,0.06005794027220908,0.027400699645633193,55.6931836605072,0.6833692789077759,3.7290990352630615,-2.8666326999664307,-1.5,0.15000000596046448,
first-order-theorem-proving,v10_nomix_init,123,6,0.2674076495586793,0.05860688817586416,0.023574052941648736,49.53310012817383,0.6090959310531616,2.697463035583496,-2.794849395751953,-1.5,0.15000000596046448,
first-order-theorem-proving,v10_nomix_init,7,6,0.26773455377574373,0.05494905112296747,0.02102871653872564,48.45380258560181,1.4793118238449097,5.2669677734375,-3.7205426692962646,-1.5,0.15000000596046448,
first-order-theorem-proving,v10_nomix,42,6,0.2567832625040863,0.057309345510997506,0.02666582804913446,17.060849905014038,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
first-order-theorem-proving,v10_nomix,123,6,0.2564563582870219,0.05552603657390322,0.029577234719068018,17.386119842529297,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
first-order-theorem-proving,v10_nomix,7,6,0.2544949329846355,0.06735406343718998,0.024595964415760757,20.829899549484253,-1.5,-1.5,-1.5,-1.5,0.15000000596046448,
