dataset,variant,seed,n_clusters,acc,nmi,ari,f1_macro,silhouette,elapsed,error
balance_scale,V11_full,42,3,0.5456,0.15853843251408453,0.1820272556812506,0.4838632020886609,0.24562528729438782,19.25629234313965,
balance_scale,V11_full,123,3,0.488,0.06672411315020856,0.08738215057838083,0.4221593561307615,0.24450859427452087,19.12485694885254,
balance_scale,V11_full,7,3,0.4496,0.056806315097120585,0.06690576174677411,0.3866300262679329,0.2579973042011261,18.937987327575684,
balance_scale,V11_nomix,42,3,0.5456,0.1614138576083789,0.1836676329727068,0.4871430354451179,0.2527786195278168,4.045621156692505,
balance_scale,V11_nomix,123,3,0.4928,0.06869403925880783,0.08793476746193457,0.4289331300630736,0.24352353811264038,4.009064674377441,
balance_scale,V11_nomix,7,3,0.456,0.059752910192043006,0.07212219855643788,0.3930001281488619,0.248221293091774,3.938330888748169,
balance_scale,V11_tda_h0_mst,42,3,0.5456,0.15853843251408453,0.1820272556812506,0.4838632020886609,0.24582095444202423,19.001612901687622,
balance_scale,V11_tda_h0_mst,123,3,0.488,0.06672411315020856,0.08738215057838083,0.4221593561307615,0.24452580511569977,19.115970134735107,
balance_scale,V11_tda_h0_mst,7,3,0.4496,0.056806315097120585,0.06690576174677411,0.3866300262679329,0.25748977065086365,19.107398509979248,
balance_scale,V11_tda_fixed_filtration,42,3,0.5456,0.15853843251408453,0.1820272556812506,0.4838632020886609,0.2456541508436203,18.99191379547119,
balance_scale,V11_tda_fixed_filtration,123,3,0.488,0.06672411315020856,0.08738215057838083,0.4221593561307615,0.24432995915412903,19.033356189727783,
balance_scale,V11_tda_fixed_filtration,7,3,0.4496,0.056806315097120585,0.06690576174677411,0.3866300262679329,0.25753670930862427,19.09287452697754,
balance_scale,V11_tda_random,42,3,0.5456,0.15853843251408453,0.1820272556812506,0.4838632020886609,0.2457505315542221,19.08448886871338,
balance_scale,V11_tda_random,123,3,0.488,0.06672411315020856,0.08738215057838083,0.4221593561307615,0.244476318359375,18.9318904876709,
balance_scale,V11_tda_random,7,3,0.4496,0.056806315097120585,0.06690576174677411,0.3866300262679329,0.2577221691608429,18.95505166053772,
spect_heart,V11_full,42,2,0.7228464419475655,0.14742789443294196,0.1856229680842075,0.672142572680207,0.33482465147972107,9.085400342941284,
spect_heart,V11_full,123,2,0.6704119850187266,0.12502606771359992,0.11274392257664309,0.6312617702448211,0.3544023931026459,9.07957148551941,
spect_heart,V11_full,7,2,0.6704119850187266,0.12502606771359995,0.11274392257664309,0.6312617702448211,0.3459461033344269,8.983992099761963,
spect_heart,V11_nomix,42,2,0.7453183520599251,0.1590560213056888,0.22094670589996054,0.6897470950102529,0.3484784960746765,2.0020477771759033,
spect_heart,V11_nomix,123,2,0.6554307116104869,0.123838060235206,0.09429817372972778,0.6205042639970337,0.32333362102508545,2.0045838356018066,
spect_heart,V11_nomix,7,2,0.6816479400749064,0.13272805051318118,0.12761585540680534,0.6408393866020985,0.3460952341556549,2.0130178928375244,
spect_heart,V11_tda_h0_mst,42,2,0.7228464419475655,0.14742789443294196,0.1856229680842075,0.672142572680207,0.3352054953575134,8.998539209365845,
spect_heart,V11_tda_h0_mst,123,2,0.6704119850187266,0.12502606771359992,0.11274392257664309,0.6312617702448211,0.35431599617004395,8.953355312347412,
spect_heart,V11_tda_h0_mst,7,2,0.6704119850187266,0.12502606771359995,0.11274392257664309,0.6312617702448211,0.34684547781944275,8.991100549697876,
spect_heart,V11_tda_fixed_filtration,42,2,0.7228464419475655,0.14742789443294196,0.1856229680842075,0.672142572680207,0.33486348390579224,9.028585195541382,
