scope,left,right,metric,n,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_p,paired_t_p
ALL,V11_full,V11_nomix,head_ari,15,-0.002555200201501895,-0.00015796484708727188,0.0111629561948207,4,3,8,0.272095182736126,0.39030905677584493
ALL,V11_full,V11_nomix,kmeans_ari,15,-0.0013972160784480288,2.802990329391075e-06,0.01501267114532394,8,1,6,0.9249783071207602,0.7238871358646031
ALL,V11_full,V11_nomix,nmi,15,-0.0015178171835877714,-0.00013384798887748368,0.0037308074056849054,4,3,8,0.20942675696103719,0.13742620024807398
ALL,V11_full,V11_nomix,silhouette,15,-0.0005696803331375122,-0.0030443966388702393,0.010903053713927705,6,0,9,0.359130859375,0.8425450586828448
ALL,V11_full,V11_nomix,final_gate,15,0.016048525072013337,0.010442544240504503,0.015281974802888067,15,0,0,6.103515625e-05,0.001153647827343951
ALL,V11_full,V11_nomix,mean_gate,15,0.042638676979113374,0.017880511984306697,0.04172528020497339,15,0,0,6.103515625e-05,0.0014297810682409335
ALL,V11_full,V11_nomix,mean_graph_loss,15,0.04437687970655842,0.01797165045136353,0.043146486718710436,15,0,0,6.103515625e-05,0.0013595341737231055
balance_scale,V11_full,V11_nomix,head_ari,3,-0.0024698103282245663,-0.001640377291456191,0.002440035542293874,0,0,3,0.25,0.22166367891677086
balance_scale,V11_full,V11_nomix,kmeans_ari,3,-0.012896251545467946,-0.013182781231962065,0.013352644711995737,1,0,2,0.5,0.23632692695795682
balance_scale,V11_full,V11_nomix,nmi,3,-0.002597315432605355,-0.002875425094294365,0.000544499141555751,0,0,3,0.25,0.014335282331722437
balance_scale,V11_full,V11_nomix,silhouette,3,0.00120257834593455,0.0009850561618804932,0.008466767590400609,2,0,1,0.75,0.8286169970890608
balance_scale,V11_full,V11_nomix,final_gate,3,0.0034448269547687634,0.003372935267786185,0.0002369477948911435,3,0,0,0.25,0.0015733428964313121
balance_scale,V11_full,V11_nomix,mean_gate,3,0.016094725578699984,0.01687751886299035,0.00228028507381551,3,0,0,0.25,0.006624568657348865
balance_scale,V11_full,V11_nomix,mean_graph_loss,3,0.015217035143480946,0.016135496577286784,0.0023491123075199596,3,0,0,0.25,0.007850342890297055
spect_heart,V11_full,V11_nomix,head_ari,3,-0.010583307266333325,-0.014871932830162249,0.027140074721926664,1,0,2,0.75,0.5690366240526459
spect_heart,V11_full,V11_nomix,kmeans_ari,3,0.00020532684464877327,0.014982150164484676,0.0319041568600421,2,0,1,1.0,0.9921181058117943
spect_heart,V11_full,V11_nomix,nmi,3,-0.006047367397978047,-0.007701982799581231,0.006566326143441202,1,0,2,0.5,0.25172777016655823
spect_heart,V11_full,V11_nomix,silhouette,3,0.005755265553792317,-0.00014913082122802734,0.022938494565341763,1,0,2,1.0,0.7062669202636814
spect_heart,V11_full,V11_nomix,final_gate,3,0.011074387313177189,0.010442544240504503,0.001979923142045841,3,0,0,0.25,0.010487260202381955
spect_heart,V11_full,V11_nomix,mean_gate,3,0.05314355520628548,0.0487513700092677,0.011584869747123604,3,0,0,0.25,0.015473472193780627
spect_heart,V11_full,V11_nomix,mean_graph_loss,3,0.054365783834752324,0.050309410272166136,0.012557062103620894,3,0,0,0.25,0.017322223880413077
banknote,V11_full,V11_nomix,head_ari,3,0.0004722134832932257,0.00041162651402449485,0.0007780845923152421,2,0,1,0.5,0.4034531237372436
banknote,V11_full,V11_nomix,kmeans_ari,3,-0.0017690910371249901,2.802990329391075e-06,0.0037068270031764042,2,0,1,1.0,0.4953698810007624
banknote,V11_full,V11_nomix,nmi,3,0.0003903945752111581,0.00028701327353291683,0.0005828506139737214,2,0,1,0.5,0.3657647667125994
banknote,V11_full,V11_nomix,silhouette,3,-0.0016588568687438965,-0.004325211048126221,0.00495116413776488,1,0,2,0.5,0.6203749342772314
banknote,V11_full,V11_nomix,final_gate,3,0.014234670644832983,0.014447472834338745,0.0010378772712094392,3,0,0,0.25,0.001767353342260014
banknote,V11_full,V11_nomix,mean_gate,3,0.013599327758937659,0.01441792186621266,0.0015653004108317884,3,0,0,0.25,0.004387064387339643
banknote,V11_full,V11_nomix,mean_graph_loss,3,0.016139878052571374,0.01654986701711702,0.0011575856359818742,3,0,0,0.25,0.0017102879651131118
flame,V11_full,V11_nomix,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_full,V11_nomix,kmeans_ari,3,0.007398145168596548,0.010429744068151836,0.00644165623667902,2,1,0,0.5,0.18497636913751214
flame,V11_full,V11_nomix,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_full,V11_nomix,silhouette,3,-0.005744834740956624,-0.00849178433418274,0.0089150195778978,1,0,2,0.5,0.3804759466471271
flame,V11_full,V11_nomix,final_gate,3,0.042985718697309494,0.04997362941503525,0.013244551785893224,3,0,0,0.25,0.030217949785447056
flame,V11_full,V11_nomix,mean_gate,3,0.11474910395530363,0.12492710915394127,0.024976316800258306,3,0,0,0.25,0.015427493140397503
flame,V11_full,V11_nomix,mean_graph_loss,3,0.11838590578020862,0.13095523416996002,0.030641095015011548,3,0,0,0.25,0.021608778598620714
vehicle,V11_full,V11_nomix,head_ari,3,-0.00019509689624481094,-0.00015796484708727188,0.0007450143607421239,1,0,2,0.75,0.6945990393412428
vehicle,V11_full,V11_nomix,kmeans_ari,3,7.579017710746909e-05,-0.0002172740354033087,0.0021365040621472357,1,0,2,1.0,0.9565944435549525
vehicle,V11_full,V11_nomix,nmi,3,0.0006652023374333857,-0.00017314114231489763,0.002256213347349606,1,0,2,1.0,0.6603704932886983
vehicle,V11_full,V11_nomix,silhouette,3,-0.0024025539557139077,-0.0030443966388702393,0.004309649840375631,1,0,2,0.5,0.4361245893065832
vehicle,V11_full,V11_nomix,final_gate,3,0.008503021749978265,0.00870758923701942,0.000388823825075638,3,0,0,0.25,0.0006962803383067308
vehicle,V11_full,V11_nomix,mean_gate,3,0.015606672396340096,0.015818361862329766,0.006166580882384014,3,0,0,0.25,0.0483017479458021
vehicle,V11_full,V11_nomix,mean_graph_loss,3,0.0177757957217788,0.01797165045136353,0.005420834695139807,3,0,0,0.25,0.029628581568687258
ALL,V11_tda_h0_mst,V11_full,head_ari,15,9.798974420378338e-06,0.0,0.00010269415051231648,2,12,1,1.0,0.7172430756505305
ALL,V11_tda_h0_mst,V11_full,kmeans_ari,15,-0.0007260436555499918,0.0,0.001595507059528946,1,10,4,0.13801073756865956,0.09980613107945355
ALL,V11_tda_h0_mst,V11_full,nmi,15,8.674961320387538e-06,0.0,0.00010788505501610848,2,12,1,1.0,0.7600675275625418
ALL,V11_tda_h0_mst,V11_full,silhouette,15,-2.204577128092448e-05,9.59634780883789e-05,0.0005601599955956365,10,0,5,0.67877197265625,0.8810259504506531
ALL,V11_tda_h0_mst,V11_full,final_gate,15,0.0017388812162809904,0.001665262971073389,0.001879521203588378,12,0,3,0.0008544921875,0.0029968788672872495
ALL,V11_tda_h0_mst,V11_full,mean_gate,15,0.002321302349446342,0.00255756706756074,0.004044427582980308,12,0,3,0.0946044921875,0.043202636208723014
ALL,V11_tda_h0_mst,V11_full,mean_graph_loss,15,0.006411541385621402,0.007208419172093278,0.004907228652059552,13,0,2,0.0006103515625,0.0001739932870686583
balance_scale,V11_tda_h0_mst,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_h0_mst,V11_full,kmeans_ari,3,-0.0021553916400082057,-0.0026276855895556034,0.001962344583939178,0,1,2,0.5,0.19745218186248792
balance_scale,V11_tda_h0_mst,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
balance_scale,V11_tda_h0_mst,V11_full,silhouette,3,-9.821852048238118e-05,1.7210841178894043e-05,0.0003655348937263168,2,0,1,1.0,0.6874050872511441
balance_scale,V11_tda_h0_mst,V11_full,final_gate,3,0.0003209241872860328,0.0002887203978995485,7.392510139367927e-05,3,0,0,0.25,0.017231309004746537
balance_scale,V11_tda_h0_mst,V11_full,mean_gate,3,0.003991315934884673,0.003762775434491536,0.0014282170358094204,3,0,0,0.25,0.04012942279255328
balance_scale,V11_tda_h0_mst,V11_full,mean_graph_loss,3,0.005530777310357532,0.005091605318981845,0.001554105460161182,3,0,0,0.25,0.025323425420133727
spect_heart,V11_tda_h0_mst,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_h0_mst,V11_full,kmeans_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_h0_mst,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_h0_mst,V11_full,silhouette,3,0.0003979404767354329,0.0003808438777923584,0.0004931080431503992,2,0,1,0.5,0.29703939632275883
spect_heart,V11_tda_h0_mst,V11_full,final_gate,3,0.0020202648205061755,0.002142445184290409,0.00031237813509810955,3,0,0,0.25,0.00787534105193793
spect_heart,V11_tda_h0_mst,V11_full,mean_gate,3,0.006864981166048285,0.007019710156600925,0.0029276264719912694,3,0,0,0.25,0.0556132750911732
spect_heart,V11_tda_h0_mst,V11_full,mean_graph_loss,3,0.011622885604932284,0.011588494660099966,0.0026709124529491514,3,0,0,0.25,0.017150793386055758
banknote,V11_tda_h0_mst,V11_full,head_ari,3,6.963007911658908e-05,0.0,0.0001206028347649729,1,2,0,1.0,0.42264973081037416
banknote,V11_tda_h0_mst,V11_full,kmeans_ari,3,-0.0014253233920178705,0.0,0.002809863196789334,1,1,1,1.0,0.47228703846194997
banknote,V11_tda_h0_mst,V11_full,nmi,3,6.212416523109956e-05,0.0,0.00010760221055806834,1,2,0,1.0,0.4226497308103742
banknote,V11_tda_h0_mst,V11_full,silhouette,3,-0.0008726318677266439,-0.0008153915405273438,0.0002525405282819156,0,0,3,0.25,0.026800419019494523
banknote,V11_tda_h0_mst,V11_full,final_gate,3,0.002449963448776139,0.0025576509845753517,0.0003209532559792567,3,0,0,0.25,0.00567199523280866
banknote,V11_tda_h0_mst,V11_full,mean_gate,3,0.0021089188269494724,0.0021603879751637585,0.00035555403120992,3,0,0,0.25,0.009342237823925648
banknote,V11_tda_h0_mst,V11_full,mean_graph_loss,3,0.009625664538341678,0.009686621808214113,0.0005019723899854661,3,0,0,0.25,0.0009052882996739446
flame,V11_tda_h0_mst,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_h0_mst,V11_full,kmeans_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_h0_mst,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_h0_mst,V11_full,silhouette,3,0.00015081961949666342,0.00010561943054199219,8.67857205346727e-05,3,0,0,0.25,0.09491860481016919
flame,V11_tda_h0_mst,V11_full,final_gate,3,0.003968403985102971,0.003843843936920166,0.0028790800256313113,3,0,0,0.25,0.13962405932407793
