dataset,seed,variant,ari_topk2,ari_nomix,ari_delta,nmi_topk2,nmi_nomix,nmi_delta,acc_topk2,acc_nomix,acc_delta,fmi_topk2,fmi_nomix,fmi_delta,selected_neighbor_count_topk2,selected_neighbor_count_nomix,selected_neighbor_count_delta,effective_neighbor_count_topk2,effective_neighbor_count_nomix,effective_neighbor_count_delta,topology_loss_topk2,topology_loss_nomix,topology_loss_delta,reconstruction_loss_topk2,reconstruction_loss_nomix,reconstruction_loss_delta,mask_loss_topk2,mask_loss_nomix,mask_loss_delta
balance_scale,7,topk2,0.14467270689083478,0.14080759054899747,0.0038651163418373102,0.13819009119432388,0.12076731944522756,0.017422771749096316,0.5136,0.5072,0.006399999999999961,0.4720653226406388,0.46773256421196996,0.004332758428668815,2.0,0.0,2.0,2.0,0.0,2.0,0.020957513828761876,0.0,0.020957513828761876,0.32913661251465476,0.33019663020968437,-0.0010600176950296136,0.6139381848275661,0.6141835262378057,-0.00024534141023957456
balance_scale,42,topk2,0.12175619523986253,0.1369204191150661,-0.01516422387520358,0.09477763714416539,0.13333838197133302,-0.038560744827167634,0.5216,0.5184,0.0031999999999999806,0.4561645087123305,0.4693729602404427,-0.01320845152811223,2.0,0.0,2.0,2.0,0.0,2.0,0.021093949147810535,0.0,0.021093949147810535,0.3299969930201769,0.32841645305355394,0.0015805399666229403,0.6138331361114978,0.6144012821217377,-0.0005681460102399116
balance_scale,123,topk2,0.15175666990300904,0.0711068103112801,0.08064985959172893,0.12853657821891318,0.05555077086852099,0.07298580735039219,0.5344,0.4896,0.044800000000000006,0.4766609804598797,0.4244291401963043,0.05223184026357541,2.0,0.0,2.0,2.0,0.0,2.0,0.02117124351983269,0.0,0.02117124351983269,0.3282412414749463,0.3273967857162158,0.0008444557587305446,0.6126057895521322,0.613655197372039,-0.0010494078199068113
enron,7,topk2,0.076621766734656,0.8324410988366234,-0.7558193321019674,0.10794262161402207,0.7824593406196472,-0.6745167190056252,0.6384638463846385,0.9561956195619562,-0.3177317731773177,0.6176114566649333,0.9165027319411162,-0.29889127527618287,2.0,0.0,2.0,2.0,0.0,2.0,0.08265037397737615,0.0,0.08265037397737615,0.21357685389462855,0.21106043953914194,0.002516414355486607,0.6892823356389999,0.6901331104710697,-0.000850774832069856
enron,42,topk2,0.06481273768469487,0.6868503540005109,-0.622037616315816,0.07824395892297059,0.649344507594415,-0.5711005486714444,0.6273627362736274,0.9143914391439144,-0.28702870287028703,0.5998128600838829,0.8455348811304487,-0.24572202104656582,2.0,0.0,2.0,2.0,0.0,2.0,0.07319293732522056,0.0,0.07319293732522056,0.21291893883142618,0.2102968744188547,0.0026220644125714843,0.6894325753673911,0.6901573494635522,-0.0007247740961611182
enron,123,topk2,0.07322468222845666,0.8884728058221004,-0.8152481235936437,0.09899951759175432,0.8401161997625854,-0.7411166821708312,0.6353635363536354,0.9712971297129713,-0.3359335933593359,0.6130893820512383,0.9443086010192211,-0.3312192189679828,2.0,0.0,2.0,2.0,0.0,2.0,0.0731411163287703,0.0,0.0731411163287703,0.21314900053199376,0.2102038093796,0.00294519115239375,0.6895679983869195,0.6902132831700146,-0.0006452847830951125
flame,7,topk2,0.3474937358784878,0.2813749721924322,0.06611876368605563,0.3309767406113264,0.2811779606371664,0.049798779974160046,0.7958333333333333,0.7666666666666667,0.029166666666666563,0.6849585815612557,0.653789952975942,0.031168628585313662,2.0,0.0,2.0,2.0,0.0,2.0,0.018147786427289248,0.0,0.018147786427289248,0.3308061683550477,0.3278429497033358,0.002963218651711952,0.6149727925658226,0.616341020166874,-0.001368227601051375
flame,42,topk2,0.22255611163383027,0.4997914953192624,-0.27723538368543216,0.1836851105585236,0.4762295097749414,-0.2925443992164178,0.7375,0.8541666666666666,-0.11666666666666659,0.624511138531719,0.7585425462553981,-0.13403140772367905,2.0,0.0,2.0,2.0,0.0,2.0,0.02250032126903534,0.0,0.02250032126903534,0.3367207232862711,0.3259306335821748,0.01079008970409634,0.6203949593007565,0.6147616915404797,0.005633267760276839
flame,123,topk2,0.3473370060394059,0.38806306528430246,-0.04072605924489653,0.2865870109418734,0.4051389356253564,-0.11855192468348302,0.7958333333333333,0.8125,-0.01666666666666672,0.6854279832513267,0.7050943850504214,-0.019666401799094735,2.0,0.0,2.0,2.0,0.0,2.0,0.018248146353289484,0.0,0.018248146353289484,0.33159637078642845,0.3266510829329491,0.004945287853479363,0.6154977172613144,0.6124393172562123,0.0030584000051021576
spect_heart,7,topk2,-0.010374320976625212,0.00771676870195905,-0.018091089678584263,0.13646945910022446,0.11773952357504712,0.018729935525177335,0.5617977528089888,0.5767790262172284,-0.014981273408239626,0.5933117383068819,0.5930149299372721,0.000296808369609769,2.0,0.0,2.0,2.0,0.0,2.0,0.08766206849832088,0.0,0.08766206849832088,0.26346341976895926,0.2666310019791126,-0.0031675822101533413,0.6385493583977222,0.640166100859642,-0.0016167424619197845
spect_heart,42,topk2,-0.02593675105845617,-0.04979805046363079,0.02386129940517462,0.1263548079758204,0.10918455182972553,0.01717025614609488,0.5430711610486891,0.5093632958801498,0.0337078651685393,0.5929489262212598,0.5963455549941571,-0.003396628772897259,2.0,0.0,2.0,2.0,0.0,2.0,0.09578906334936618,0.0,0.09578906334936618,0.2708589770831168,0.26393889873288573,0.0069200783502310625,0.6448157351464033,0.6416919462382793,0.0031237889081240366
spect_heart,123,topk2,0.004383476535316674,-0.03720037959369704,0.04158385612901372,0.11570917232360096,0.11857021251868402,-0.002861040195083056,0.5730337078651685,0.5280898876404494,0.0449438202247191,0.5924799695039309,0.5938236148064887,-0.0013436453025578166,2.0,0.0,2.0,2.0,0.0,2.0,0.09136152490973473,0.0,0.09136152490973473,0.2674675998277962,0.2700580910779536,-0.0025904912501573674,0.6435162384063006,0.643185042962432,0.0003311954438686149
vehicle,7,topk2,0.07500907917721075,0.07665189108725838,-0.0016428119100476285,0.11445759976860957,0.1157506193123391,-0.001293019543729526,0.3628841607565012,0.34988179669030733,0.013002364066193872,0.34117399978387114,0.3412123603889083,-3.8360605037146556e-05,2.0,0.0,2.0,2.0,0.0,2.0,0.07079073222121224,0.0,0.07079073222121224,0.16088534542359412,0.1599485143786296,0.0009368310449645034,0.6176830381155014,0.6183201789855957,-0.0006371408700942549
vehicle,42,topk2,0.07423764776331047,0.07988672256864499,-0.005649074805334511,0.11438507148244054,0.11784811087490654,-0.0034630393924660052,0.35697399527186763,0.34515366430260047,0.011820330969267157,0.34049933568798735,0.3433093092839857,-0.0028099735959983274,2.0,0.0,2.0,2.0,0.0,2.0,0.07225771266967058,0.0,0.07225771266967058,0.16359081191476435,0.16017509130761026,0.003415720607154088,0.6180260933935642,0.6185594324022532,-0.0005333390086890155
