dataset,variant,topology_enabled,top_k_neighbors,seed,gpu,status,returncode,save_dir,summary_path,log_path,ari,nmi,acc,fmi,selected_neighbor_count,effective_neighbor_count,topology_loss,reconstruction_loss,mask_loss,source_sha256,runner_source_sha256,model_source_sha256,gate_source_sha256,n_clusters,k_source,labels_used_during_fit
balance_scale,nomix,False,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_7/run.log,0.14080759054899747,0.12076731944522756,0.5072,0.46773256421196996,0.0,0.0,0.0,0.33019663020968437,0.6141835262378057,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,3,benchmark_oracle_from_y,False
balance_scale,nomix,False,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_42/run.log,0.1369204191150661,0.13333838197133302,0.5184,0.4693729602404427,0.0,0.0,0.0,0.32841645305355394,0.6144012821217377,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,3,benchmark_oracle_from_y,False
balance_scale,nomix,False,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/nomix/seed_123/run.log,0.0711068103112801,0.05555077086852099,0.4896,0.4244291401963043,0.0,0.0,0.0,0.3273967857162158,0.613655197372039,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,3,benchmark_oracle_from_y,False
balance_scale,topk2,True,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_7/run.log,0.14467270689083478,0.13819009119432388,0.5136,0.4720653226406388,2.0,2.0,0.020957513828761876,0.32913661251465476,0.6139381848275661,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,3,benchmark_oracle_from_y,False
balance_scale,topk2,True,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_42/run.log,0.12175619523986253,0.09477763714416539,0.5216,0.4561645087123305,2.0,2.0,0.021093949147810535,0.3299969930201769,0.6138331361114978,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,3,benchmark_oracle_from_y,False
balance_scale,topk2,True,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/balance_scale/topk2/seed_123/run.log,0.15175666990300904,0.12853657821891318,0.5344,0.4766609804598797,2.0,2.0,0.02117124351983269,0.3282412414749463,0.6126057895521322,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,3,benchmark_oracle_from_y,False
enron,nomix,False,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_7/run.log,0.8324410988366234,0.7824593406196472,0.9561956195619562,0.9165027319411162,0.0,0.0,0.0,0.21106043953914194,0.6901331104710697,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
enron,nomix,False,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_42/run.log,0.6868503540005109,0.649344507594415,0.9143914391439144,0.8455348811304487,0.0,0.0,0.0,0.2102968744188547,0.6901573494635522,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
enron,nomix,False,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/nomix/seed_123/run.log,0.8884728058221004,0.8401161997625854,0.9712971297129713,0.9443086010192211,0.0,0.0,0.0,0.2102038093796,0.6902132831700146,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
enron,topk2,True,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_7/run.log,0.076621766734656,0.10794262161402207,0.6384638463846385,0.6176114566649333,2.0,2.0,0.08265037397737615,0.21357685389462855,0.6892823356389999,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
