dataset,variant,n_completed,ari_mean,ari_std,nmi_mean,nmi_std,acc_mean,acc_std,fmi_mean,fmi_std,selected_neighbor_count_mean,selected_neighbor_count_std,effective_neighbor_count_mean,effective_neighbor_count_std,topology_loss_mean,topology_loss_std,reconstruction_loss_mean,reconstruction_loss_std,mask_loss_mean,mask_loss_std
balance_scale,nomix,3,0.11627827332511456,0.03916788644472476,0.1032188240950272,0.041757518808743704,0.5050666666666667,0.014518034761403942,0.453844888216239,0.025487985374716783,0.0,0.0,0.0,0.0,0.0,0.0,0.3286699563264847,0.0014170321905099964,0.6140800019105275,0.00038366466893246793
balance_scale,topk2,3,0.13939519067790213,0.015681079460191802,0.12050143551913414,0.022794361809856396,0.5232,0.010491901638883222,0.4682969372709497,0.010755318904866834,2.0,0.0,2.0,0.0,0.0210742354988017,0.00010821998973959988,0.32912494900325934,0.0008779338814901861,0.6134590368303987,0.0007407982158380387
enron,nomix,3,0.8025880862197449,0.1040735559177495,0.7573066826588826,0.0978414625046315,0.9472947294729473,0.02947853096861809,0.9021154046969286,0.05093435308404262,0.0,0.0,0.0,0.0,0.0,0.0,0.21052037444586555,0.00047001915292315294,0.6901679143682122,4.111725090375932e-05
enron,topk2,3,0.07155306221593584,0.006079393627279084,0.09506203270958233,0.015235828884810076,0.6337300396706338,0.005727992229763527,0.6101712329333515,0.009251173210431887,2.0,0.0,2.0,0.0,0.076328142543789,0.005475274338222364,0.21321493108601616,0.00033387600402308047,0.6894276364644368,0.00014289540216201168
flame,nomix,3,0.38974317759866567,0.10921795400365705,0.3875154686791547,0.09871279879359293,0.8111111111111111,0.04376653126830198,0.7058089614272538,0.05237995240778223,0.0,0.0,0.0,0.0,0.0,0.0,0.3268082220728199,0.0009657938541803616,0.614514009654522,0.0019626082487955165
flame,topk2,3,0.3057956178505747,0.07208756957663497,0.26708295403724114,0.07555800584787348,0.7763888888888889,0.03367876570272811,0.6649659011147672,0.03503563823058961,2.0,0.0,2.0,0.0,0.019632084683204692,0.002484472552255264,0.33304108747591576,0.0032110581968063305,0.6169551563759645,0.00299049654824077
spect_heart,nomix,3,-0.026427220451789593,0.030233000584382507,0.11516476264115222,0.005195642601459292,0.5380774032459426,0.034799899787181884,0.5943946999126393,0.001737201619340077,0.0,0.0,0.0,0.0,0.0,0.0,0.2668759972633173,0.003066944041867438,0.6416810300201178,0.001509500655138543
spect_heart,topk2,3,-0.010642531833254903,0.01516189312494507,0.12617781313321527,0.010381275073065141,0.5593008739076155,0.01513652391133849,0.5929135446773576,0.00041701166126058737,2.0,0.0,2.0,0.0,0.0916042189191406,0.004068929418640773,0.2672633322266241,0.003702007689945241,0.6422937773168087,0.0033072160083057953
vehicle,nomix,3,0.07800760891342064,0.0016797294644234093,0.11694431894233794,0.0010783796031696732,0.35027580772261624,0.0053300824501452725,0.3422361962868061,0.0010493425758668065,0.0,0.0,0.0,0.0,0.0,0.0,0.1601300768709431,0.00016376295311263598,0.6184444454188148,0.00011989633224895562
vehicle,topk2,3,0.07611028054401484,0.002604139734970737,0.11536901435534032,0.001641828253169762,0.3561859732072498,0.007124957178890918,0.34145752210976177,0.0011270196853159534,2.0,0.0,2.0,0.0,0.07088059371259685,0.0013344593460533276,0.16186888883045564,0.0014962588829348644,0.618190969278415,0.00060739091497391
