dataset_id,dataset,family,input_protocol,comparison_scope,rg_ari_mean,scmae_ari_mean,delta_ari_mean,delta_ari_std,delta_ari_positive_seed_count,rg_nmi_mean,scmae_nmi_mean,delta_nmi_mean,rg_acc_mean,scmae_acc_mean,delta_acc_mean,promotion_rg_win_by_mean_ari,promotion_rg_confirmed_all_seeds
internet_advertisements__uci_sparse,internet_advertisements,web_sparse,clubench_bridge,external_highdim_bridge_only,-0.06029193137990785,-0.07254934978133472,0.012257418401426865,0.01204732530988404,2,0.019479151793271424,0.020853487187087186,-0.0013743353938157614,0.793026329165396,0.7102775236352546,0.08274880553014134,True,False
gina_prior2__local_sparse_highdim,gina_prior2,sparse_highdim_control,clubench_bridge,external_highdim_bridge_only,0.36199169453271185,0.3546915848045192,0.007300109728192672,0.029853924726773833,1,0.5003848068167343,0.48979659712739587,0.01058820968933836,0.5289311803152633,0.5125913110342176,0.01633986928104575,True,False
tr45_wc__local_sparse_text,tr45.wc,sparse_text,shared_text,external_highdim_bridge_only,0.009203193636781981,0.004462222773125916,0.0047409708636560665,0.002369796360485625,3,0.1671859057630846,0.13557661408722899,0.03160929167585559,0.2608481262327416,0.240138067061144,0.020710059171597617,True,True
dexter__uci_sparse_highdim,dexter,uci_sparse_highdim,clubench_bridge,external_highdim_bridge_only,0.004956568897387984,0.000876137927816824,0.00408043096957116,0.006876532311422424,2,0.005472860996514903,0.0023475220119430406,0.003125338984571863,0.5388888888888889,0.5177777777777778,0.02111111111111112,True,False
madelon__uci_highdim_control,madelon,uci_highdim_control,clubench_bridge,external_highdim_bridge_only,0.028290763714252435,0.02575331298659162,0.0025374507276608137,0.0004653222263174362,3,0.02080478788585707,0.01895527533782032,0.0018495125480367514,0.5846153846153846,0.5807692307692308,0.0038461538461538694,True,True
dorothea__uci_sparse_highdim,dorothea,uci_sparse_highdim,clubench_bridge,external_highdim_bridge_only,-0.0835445254558831,-0.08440674880666615,0.000862223350783046,0.0018425877783374094,2,0.03067120841217393,0.03155359207127097,-0.0008823836590970356,0.7753623188405797,0.7715942028985507,0.003768115942028971,True,False
arcene__uci_highdim,arcene,uci_highdim_control,clubench_bridge,external_highdim_bridge_only,0.09771296799487136,0.09771296799487136,0.0,0.0,0,0.09082143219288039,0.09082143219288039,0.0,0.66,0.66,0.0,False,False
micro_mass__local_sparse_highdim,micro-mass,sparse_highdim,clubench_bridge,external_highdim_bridge_only,0.4943704908534361,0.5017114805339078,-0.007340989680471699,0.0063554071103552835,0,0.7400348699748828,0.7467975887795612,-0.006762718804678454,0.6166666666666667,0.6148148148148148,0.0018518518518518452,False,False
quake_smartseq2_lung__local_sparse_expression,Quake_Smart-seq2_Lung,scRNA_sparse_highdim,clubench_bridge,external_highdim_bridge_only,0.1696441295367239,0.17911976171149196,-0.009475632174768054,0.020260563020196697,1,0.40589942447367033,0.400292439618686,0.005606984854984361,0.38862370723945905,0.3826571201272872,0.005966587112171832,False,False
sms_spam_full__uci_sparse_text,sms_spam_collection_full_tfidf500,sparse_text,shared_text,external_highdim_bridge_only,0.8614375634977197,0.8756753305737017,-0.01423776707598201,0.00032560831055633175,0,0.7371279099151555,0.7495623695859336,-0.012434459670778017,0.9755412032053582,0.9775744528166488,-0.0020332496112905143,False,False
fbis_wc__local_sparse_text,fbis.wc,sparse_text,shared_text,external_highdim_bridge_only,0.2906449314280173,0.3093465907423514,-0.018701659314334058,0.007184904752758673,0,0.45743484419403646,0.47096355584565064,-0.013528711651614159,0.4760170006071645,0.4770795385549484,-0.001062537947783863,False,False
gisette__uci_highdim_dense,gisette,uci_highdim_control,clubench_bridge,external_highdim_bridge_only,0.07230673380697485,0.0967919177141497,-0.024485183907174846,0.042716828952175136,1,0.05655829087468982,0.0739323171335329,-0.017374026258843087,0.6027619047619048,0.6156190476190476,-0.012857142857142826,False,False
fabert__local_sparse_text,fabert,sparse_text,shared_text,external_highdim_bridge_only,0.03276555758239731,0.07876240284610632,-0.045996845263709014,0.04312778697094969,0,0.043701823631231804,0.10895668492346056,-0.06525486129222875,0.2260127068916677,0.27449314070656794,-0.04848043381490025,False,False
