dataset_id,dataset,family,input_protocol,comparison_scope,variant,seed,ari,nmi,acc,labels_used_during_fit,K_source
fbis_wc__local_sparse_text,fbis.wc,sparse_text,shared_text,external_highdim_bridge_only,rg_full,42,0.29721736897113604,0.4667761833635959,0.4977231329690346,False,benchmark_oracle_from_y
fbis_wc__local_sparse_text,fbis.wc,sparse_text,shared_text,external_highdim_bridge_only,rg_full,123,0.2838780821432895,0.4552035793647822,0.46357012750455373,False,benchmark_oracle_from_y
fbis_wc__local_sparse_text,fbis.wc,sparse_text,shared_text,external_highdim_bridge_only,rg_full,7,0.29083934316962634,0.4503247698537314,0.46675774134790526,False,benchmark_oracle_from_y
fbis_wc__local_sparse_text,fbis.wc,sparse_text,shared_text,external_highdim_bridge_only,scmae_only,42,0.31959285683917704,0.48884673326420625,0.48861566484517305,False,benchmark_oracle_from_y
fbis_wc__local_sparse_text,fbis.wc,sparse_text,shared_text,external_highdim_bridge_only,scmae_only,123,0.3071848838496213,0.4696019429887727,0.4704007285974499,False,benchmark_oracle_from_y
fbis_wc__local_sparse_text,fbis.wc,sparse_text,shared_text,external_highdim_bridge_only,scmae_only,7,0.30126203153825576,0.45444199128397295,0.4722222222222222,False,benchmark_oracle_from_y
tr45_wc__local_sparse_text,tr45.wc,sparse_text,shared_text,external_highdim_bridge_only,rg_full,42,0.017510591779597375,0.20605778581400513,0.28402366863905326,False,benchmark_oracle_from_y
tr45_wc__local_sparse_text,tr45.wc,sparse_text,shared_text,external_highdim_bridge_only,rg_full,123,0.007579543492979978,0.12367126873278357,0.24260355029585798,False,benchmark_oracle_from_y
tr45_wc__local_sparse_text,tr45.wc,sparse_text,shared_text,external_highdim_bridge_only,rg_full,7,0.0025194456377685918,0.17182866274246505,0.2559171597633136,False,benchmark_oracle_from_y
tr45_wc__local_sparse_text,tr45.wc,sparse_text,shared_text,external_highdim_bridge_only,scmae_only,42,0.011110533249551751,0.13862855578958494,0.23964497041420119,False,benchmark_oracle_from_y
tr45_wc__local_sparse_text,tr45.wc,sparse_text,shared_text,external_highdim_bridge_only,scmae_only,123,0.001783572518590491,0.13023837270158203,0.2455621301775148,False,benchmark_oracle_from_y
tr45_wc__local_sparse_text,tr45.wc,sparse_text,shared_text,external_highdim_bridge_only,scmae_only,7,0.0004925625512355037,0.13786291377052,0.23520710059171598,False,benchmark_oracle_from_y
fabert__local_sparse_text,fabert,sparse_text,shared_text,external_highdim_bridge_only,rg_full,42,0.01181543492453794,0.028147378638112893,0.21342721864756586,False,benchmark_oracle_from_y
fabert__local_sparse_text,fabert,sparse_text,shared_text,external_highdim_bridge_only,rg_full,123,0.007799204442319869,0.014925953754833,0.1856258346485371,False,benchmark_oracle_from_y
fabert__local_sparse_text,fabert,sparse_text,shared_text,external_highdim_bridge_only,rg_full,7,0.07868203338033412,0.08803213850074952,0.2789850673789001,False,benchmark_oracle_from_y
fabert__local_sparse_text,fabert,sparse_text,shared_text,external_highdim_bridge_only,scmae_only,42,0.05296443365099248,0.10176420302152707,0.2752215612480272,False,benchmark_oracle_from_y
