dataset_id,variant,metric,mean,std,n
mouse_retina__clubench_bridge,rg_full,ari,0.9211053599316268,0.0042594376024640175,3
mouse_retina__clubench_bridge,rg_full,nmi,0.8654253177870639,0.004805464385370735,3
mouse_retina__clubench_bridge,rg_full,acc,0.9782487228607919,0.0010731425335048547,3
mouse_retina__clubench_bridge,scmae_only,ari,0.9253861960558175,0.010979189482838322,3
mouse_retina__clubench_bridge,scmae_only,nmi,0.8719705695395378,0.014702443020211292,3
mouse_retina__clubench_bridge,scmae_only,acc,0.979565772669221,0.002972469058327784,3
campbell__clubench_bridge,rg_full,ari,0.2917122065785498,0.1173538992891099,3
campbell__clubench_bridge,rg_full,nmi,0.33025162762196175,0.013752140873757694,3
campbell__clubench_bridge,rg_full,acc,0.3402381667167017,0.09663844995605406,3
campbell__clubench_bridge,scmae_only,ari,0.2859600724069202,0.02652872375392627,3
campbell__clubench_bridge,scmae_only,nmi,0.33077158990477085,0.002751053924763779,3
campbell__clubench_bridge,scmae_only,acc,0.3583842022749258,0.007850451232458637,3
baron_human__clubench_bridge,rg_full,ari,0.1790426045797379,0.02124548647194259,3
baron_human__clubench_bridge,rg_full,nmi,0.3593766516912768,0.03148993502735573,3
baron_human__clubench_bridge,rg_full,acc,0.3493472172918392,0.03872987536880823,3
baron_human__clubench_bridge,scmae_only,ari,0.16886490982528066,0.016999088053851034,3
baron_human__clubench_bridge,scmae_only,nmi,0.33743668680161454,0.02125804610136139,3
baron_human__clubench_bridge,scmae_only,acc,0.3247347453950223,0.02531811531268897,3
sms_spam_collection__shared_text,rg_full,ari,0.8464409092357924,0.01960325283132913,3
sms_spam_collection__shared_text,rg_full,nmi,0.7149952980349517,0.033253190943792754,3
sms_spam_collection__shared_text,rg_full,acc,0.9728542914171656,0.003658743069825058,3
sms_spam_collection__shared_text,scmae_only,ari,0.8511198906927528,0.014149840306262722,3
sms_spam_collection__shared_text,scmae_only,nmi,0.7216946027649175,0.012522332937774437,3
sms_spam_collection__shared_text,scmae_only,acc,0.9736526946107785,0.002074312344393856,3
cnae9__shared_text,rg_full,ari,0.30741442563765864,0.008903019084245707,3
cnae9__shared_text,rg_full,nmi,0.5459932661637742,0.012390303609590802,3
cnae9__shared_text,rg_full,acc,0.5682098765432099,0.017478512512059,3
cnae9__shared_text,scmae_only,ari,0.3145638113389063,0.0452375560213694,3
cnae9__shared_text,scmae_only,nmi,0.5588776425193164,0.03283743353358524,3
cnae9__shared_text,scmae_only,acc,0.5768518518518518,0.034284275151062256,3
imdb__shared_text,rg_full,ari,0.029546028967219307,0.020063037253197264,3
imdb__shared_text,rg_full,nmi,0.022385550327010086,0.01479044765776582,3
imdb__shared_text,rg_full,acc,0.5825641025641025,0.03103017555335123,3
imdb__shared_text,scmae_only,ari,0.01248758623557358,0.00855768716507503,3
imdb__shared_text,scmae_only,nmi,0.009797061768174985,0.006756302287692488,3
imdb__shared_text,scmae_only,acc,0.5544615384615385,0.018533194272462312,3
hate_speech__shared_text,rg_full,ari,0.019494455882840787,0.009652249300416818,3
hate_speech__shared_text,rg_full,nmi,0.029847105370877924,0.005585955800592071,3
hate_speech__shared_text,rg_full,acc,0.517127186174066,0.018659636728028485,3
hate_speech__shared_text,scmae_only,ari,0.022616503198123167,0.031014108051349756,3
hate_speech__shared_text,scmae_only,nmi,0.047888936550814366,0.007095995498157302,3
hate_speech__shared_text,scmae_only,acc,0.5225085377212045,0.044295080601084905,3
sentiment_labeld_sentences__shared_text,rg_full,ari,0.005639241784903027,0.0044235921613212945,3
sentiment_labeld_sentences__shared_text,rg_full,nmi,0.004361858866034464,0.0032028945248420725,3
sentiment_labeld_sentences__shared_text,rg_full,acc,0.5365114022319263,0.01578816069647593,3
sentiment_labeld_sentences__shared_text,scmae_only,ari,0.0028008558237698844,0.0034067333305202022,3
sentiment_labeld_sentences__shared_text,scmae_only,nmi,0.002724390172697515,0.003086207455054655,3
sentiment_labeld_sentences__shared_text,scmae_only,acc,0.5226831635128578,0.019762650998948365,3
