dataset_id,underlying_dataset_id,comparison_scope,method,method_type,metric,mean,std,n,source,protocol_note
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_constant_gate,fresh_postfreeze_v19,ari,0.22067956760239577,0.04146359944785368,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_constant_gate,fresh_postfreeze_v19,nmi,0.4155685411921464,0.040779894026890876,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_constant_gate,fresh_postfreeze_v19,acc,0.4196742002918787,0.03990367271432495,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_default,fresh_postfreeze_v19,ari,0.2610945957825444,0.1113368765521736,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_default,fresh_postfreeze_v19,nmi,0.44855506701352227,0.12224374990858548,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_default,fresh_postfreeze_v19,acc,0.4335187157338382,0.10751405822241811,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_full,fresh_postfreeze_v19,ari,0.2572522180716731,0.044914952288756305,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_full,fresh_postfreeze_v19,nmi,0.4563364710403113,0.05221811173650309,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_full,fresh_postfreeze_v19,acc,0.43896185855717273,0.036668750921389055,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_nomix,fresh_postfreeze_v19,ari,0.2387473899136905,0.06331675653327999,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_nomix,fresh_postfreeze_v19,nmi,0.43539992956656565,0.05630040343836948,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_nomix,fresh_postfreeze_v19,acc,0.4396718337080424,0.047377260816809326,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_reliability_off,fresh_postfreeze_v19,ari,0.2170087617600189,0.0319033655010281,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_reliability_off,fresh_postfreeze_v19,nmi,0.40422866732184604,0.0500913072595481,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_rg_reliability_off,fresh_postfreeze_v19,acc,0.41186447363231177,0.03144114473233708,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_scmae_only,fresh_postfreeze_v19,ari,0.2387473899136905,0.06331675653327999,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_scmae_only,fresh_postfreeze_v19,nmi,0.43539992956656565,0.05630040343836948,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__clubench_bridge,baron_human,archived_sota_bridge_eligible,V19_scmae_only,fresh_postfreeze_v19,acc,0.4396718337080424,0.047377260816809326,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_constant_gate,fresh_postfreeze_v19,ari,0.9009160534307117,0.004737456924265808,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_constant_gate,fresh_postfreeze_v19,nmi,0.869084089659492,0.004339084263678118,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_constant_gate,fresh_postfreeze_v19,acc,0.8843529365361101,0.004459508931180814,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_default,fresh_postfreeze_v19,ari,0.9031436594164117,0.004546637419380041,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_default,fresh_postfreeze_v19,nmi,0.869945837251946,0.004318872619024772,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_default,fresh_postfreeze_v19,acc,0.8877450400347099,0.002307672066628818,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_full,fresh_postfreeze_v19,ari,0.9031210312403009,0.005026150294410773,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_full,fresh_postfreeze_v19,nmi,0.8701805522352685,0.005409884533447333,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_full,fresh_postfreeze_v19,acc,0.8870745079477774,0.002742924095880354,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_nomix,fresh_postfreeze_v19,ari,0.9007314729990565,0.006195083648120474,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_nomix,fresh_postfreeze_v19,nmi,0.8687655587174219,0.0054215516638597356,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_nomix,fresh_postfreeze_v19,acc,0.8853784561984775,0.004521868177277304,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_reliability_off,fresh_postfreeze_v19,ari,0.8998296458089705,0.005100031613306405,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_reliability_off,fresh_postfreeze_v19,nmi,0.8668388428141671,0.004558173539098183,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_rg_reliability_off,fresh_postfreeze_v19,acc,0.8839190628328009,0.005561472015146118,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_scmae_only,fresh_postfreeze_v19,ari,0.9007314729990565,0.006195083648120474,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_scmae_only,fresh_postfreeze_v19,nmi,0.8687655587174219,0.0054215516638597356,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
baron_human__rg_native,baron_human,internal_rg_native_only,V19_scmae_only,fresh_postfreeze_v19,acc,0.8853784561984775,0.004521868177277304,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,V19_rg_constant_gate,fresh_postfreeze_v19,ari,0.22514630746123085,0.03654387727701194,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,V19_rg_constant_gate,fresh_postfreeze_v19,nmi,0.3203831310474381,0.00544769038421214,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,V19_rg_constant_gate,fresh_postfreeze_v19,acc,0.30728176390139766,0.01680024829314857,3,result/V19/v19_rg_final_postfreeze_rel_both2_20260810,fresh post-freeze V19 run; labels only for benchmark K and post-fit metrics
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,GCEALS,archived_external_reference,ari,0.31385356316512186,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,GCEALS,archived_external_reference,nmi,0.3590500301011388,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,GCEALS,archived_external_reference,acc,0.3997798458921245,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,IDC,archived_external_reference,ari,0.1479395953068112,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,IDC,archived_external_reference,nmi,0.10757034097014101,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,IDC,archived_external_reference,acc,0.4566196337436205,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,TableDC,archived_external_reference,ari,0.1987689623826138,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
campbell__clubench_bridge,campbell,archived_sota_bridge_eligible,TableDC,archived_external_reference,nmi,0.14088399335464996,,1,result/baseline_comparison/summary.csv,archived baseline CSV; not a fresh matched V19 rerun
