key,dataset,input_protocol,variant,seed,ari,nmi,acc,gate_updates,final_loss,final_assignment_divergence,final_gate_divergence,final_assignment_eligible_rate,final_assignment_effective_rate
cnae9__shared_text__topology_assignment_adversarial__seed42,cnae9,shared_text,topology_assignment_adversarial,42,0.4543122026978009,0.6024271855615632,0.662962962962963,200,0.14989253282546997,0.0006217531277798116,0.0006079835467971862,0.014351426810026168,0.006204757280647755
cnae9__shared_text__topology_assignment_adversarial__seed123,cnae9,shared_text,topology_assignment_adversarial,123,0.5854333618589951,0.6685196709250433,0.7462962962962963,200,0.15241775512695313,0.0005616041366010904,0.0005544455605559051,0.014385978132486344,0.006238656770437956
cnae9__shared_text__topology_assignment_adversarial__seed7,cnae9,shared_text,topology_assignment_adversarial,7,0.48520713051426306,0.614950911560892,0.6277777777777778,200,0.14802217483520508,0.000643766624853015,0.0006966630928218365,0.01416511069983244,0.00611270759254694
cnae9__shared_text__scmae_only__seed42,cnae9,shared_text,scmae_only,42,0.3400358989276127,0.590710205560907,0.6055555555555555,0,0.14977947175502776,0.0,0.0,0.0,0.0
cnae9__shared_text__scmae_only__seed123,cnae9,shared_text,scmae_only,123,0.3599084241854884,0.604469467184911,0.6157407407407407,0,0.15235449969768525,0.0,0.0,0.0,0.0
cnae9__shared_text__scmae_only__seed7,cnae9,shared_text,scmae_only,7,0.38007186889127553,0.5923818905533769,0.6351851851851852,0,0.14793587625026702,0.0,0.0,0.0,0.0
mouse_retina__clubench_bridge__topology_assignment_adversarial__seed42,Mouse_retina,clubench_bridge,topology_assignment_adversarial,42,0.43951384273468835,0.5995703089992763,0.7065373563218391,1320,0.22147755189375443,0.0037897788270404844,0.003765902891190666,0.09145869833953453,0.03664916336084857
mouse_retina__clubench_bridge__topology_assignment_adversarial__seed123,Mouse_retina,clubench_bridge,topology_assignment_adversarial,123,0.6800924799649711,0.7214148580841334,0.8952346743295019,1320,0.22596362278316962,0.009892655233147018,0.010148278367000095,0.09124613779060768,0.036563198110370926
mouse_retina__clubench_bridge__topology_assignment_adversarial__seed7,Mouse_retina,clubench_bridge,topology_assignment_adversarial,7,0.20518695771699233,0.45734075942830615,0.5488505747126436,1320,0.2251880137306271,0.012330163792340141,0.012642405828404608,0.09136350791562688,0.03660979415431167
mouse_retina__clubench_bridge__scmae_only__seed42,Mouse_retina,clubench_bridge,scmae_only,42,0.9467877901492143,0.9026783914411369,0.985632183908046,0,0.23353291370651938,0.0,0.0,0.0,0.0
mouse_retina__clubench_bridge__scmae_only__seed123,Mouse_retina,clubench_bridge,scmae_only,123,0.9329627570613108,0.8907768559052363,0.9818007662835249,0,0.2338264390374675,0.0,0.0,0.0,0.0
mouse_retina__clubench_bridge__scmae_only__seed7,Mouse_retina,clubench_bridge,scmae_only,7,0.9292227391580575,0.8771997640497008,0.9809626436781609,0,0.2338491411823215,0.0,0.0,0.0,0.0
baron_human__clubench_bridge__topology_assignment_adversarial__seed42,Baron Human,clubench_bridge,topology_assignment_adversarial,42,-0.02301687527204849,0.08398262978549627,0.3017394391196308,1360,0.7468851892387166,5.8934765253498504e-05,5.8775420417505834e-05,0.1443894772845156,0.05777541537056951
baron_human__clubench_bridge__topology_assignment_adversarial__seed123,Baron Human,clubench_bridge,topology_assignment_adversarial,123,0.0,0.0,0.2987812093243403,1360,0.4749642400180592,4.747509817260674e-05,4.573041202521006e-05,0.14646028157542734,0.058604358531096405
baron_human__clubench_bridge__topology_assignment_adversarial__seed7,Baron Human,clubench_bridge,topology_assignment_adversarial,7,0.0,0.0,0.2987812093243403,1360,0.5321070455452975,1.4278740335986881e-05,1.372533049160505e-05,0.1449193849283106,0.05798728884581257
baron_human__clubench_bridge__scmae_only__seed42,Baron Human,clubench_bridge,scmae_only,42,0.18888904278117596,0.38990466866787793,0.3545142586676133,0,0.6213288894471001,0.0,0.0,0.0,0.0
baron_human__clubench_bridge__scmae_only__seed123,Baron Human,clubench_bridge,scmae_only,123,0.24454914793499183,0.4615960811086725,0.46515205301147794,0,0.4548773081863628,0.0,0.0,0.0,0.0
baron_human__clubench_bridge__scmae_only__seed7,Baron Human,clubench_bridge,scmae_only,7,0.18406477085314732,0.37949986140706654,0.4115489291208141,0,0.47195109987960143,0.0,0.0,0.0,0.0
campbell__clubench_bridge__topology_assignment_adversarial__seed42,Campbell,clubench_bridge,topology_assignment_adversarial,42,-0.006356162100791085,0.22395239420191493,0.38957270089062346,1600,0.4727323941886425,1.2282695752219298e-05,1.222653198738044e-05,0.10989942662417888,0.0439744240604341
campbell__clubench_bridge__topology_assignment_adversarial__seed123,Campbell,clubench_bridge,topology_assignment_adversarial,123,-0.006119243253409655,0.0037416759462810686,0.4604222956069248,1600,0.4371929235756397,2.9600510924865375e-05,2.8059449232387123e-05,0.11058800462633371,0.044249868299812076
campbell__clubench_bridge__topology_assignment_adversarial__seed7,Campbell,clubench_bridge,topology_assignment_adversarial,7,0.17656347735254158,0.12213872761861203,0.47613329330531373,1600,0.44847242906689644,2.1661384607796208e-05,2.160833334983181e-05,0.10985315516591072,0.04395643379539251
campbell__clubench_bridge__scmae_only__seed42,Campbell,clubench_bridge,scmae_only,42,0.21745819210663309,0.3070104855129005,0.2923046132292605,0,0.43799939975142477,0.0,0.0,0.0,0.0
campbell__clubench_bridge__scmae_only__seed123,Campbell,clubench_bridge,scmae_only,123,0.2187739754247711,0.3175376560998961,0.3019113379365556,0,0.4386989869177341,0.0,0.0,0.0,0.0
campbell__clubench_bridge__scmae_only__seed7,Campbell,clubench_bridge,scmae_only,7,0.16209625133773184,0.3174375375111553,0.2598819173421395,0,0.4576020263135433,0.0,0.0,0.0,0.0
sms_spam_collection__shared_text__topology_assignment_adversarial__seed42,sms_spam_collection,shared_text,topology_assignment_adversarial,42,0.5013611069497227,0.38841688943501584,0.8790419161676647,160,0.15434208884835243,0.00043988357356283814,0.0004591154065565206,0.01711520506069064,0.007625787053257227
sms_spam_collection__shared_text__topology_assignment_adversarial__seed123,sms_spam_collection,shared_text,topology_assignment_adversarial,123,0.23084894218936308,0.24030469608536223,0.7544910179640718,160,0.1565810702741146,0.00040869726217351854,0.00037826941843377426,0.01728920778259635,0.007690852391533554
sms_spam_collection__shared_text__topology_assignment_adversarial__seed7,sms_spam_collection,shared_text,topology_assignment_adversarial,7,0.24106855670893762,0.2611063634517304,0.7592814371257485,160,0.15600324794650078,0.0002853100195352454,0.00028226053109392524,0.01713389065116644,0.007641616160981357
sms_spam_collection__shared_text__scmae_only__seed42,sms_spam_collection,shared_text,scmae_only,42,0.8292265574947976,0.6945337388281593,0.9700598802395209,0,0.15425660833716393,0.0,0.0,0.0,0.0
sms_spam_collection__shared_text__scmae_only__seed123,sms_spam_collection,shared_text,scmae_only,123,0.8251389223089303,0.6788070152552875,0.9688622754491018,0,0.15652135387063026,0.0,0.0,0.0,0.0
sms_spam_collection__shared_text__scmae_only__seed7,sms_spam_collection,shared_text,scmae_only,7,0.8231286867113877,0.6826075611867463,0.9688622754491018,0,0.15596110373735428,0.0,0.0,0.0,0.0
hate_speech__shared_text__topology_assignment_adversarial__seed42,hate_speech,shared_text,topology_assignment_adversarial,42,-0.08556076576184753,0.04557039321256512,0.5153678981682708,520,0.1737369539646002,0.002019804105377541,0.0019441450534101862,0.056707094208552286,0.02672550598016152
hate_speech__shared_text__topology_assignment_adversarial__seed123,hate_speech,shared_text,topology_assignment_adversarial,123,-0.0828693024795836,0.0285453690156576,0.5284073269171065,520,0.17360522082218757,0.0017133465287490534,0.0017379260926435774,0.05698825533573444,0.026821821068341915
hate_speech__shared_text__topology_assignment_adversarial__seed7,hate_speech,shared_text,topology_assignment_adversarial,7,-0.05718769490895951,0.025018887356885365,0.553554796647004,520,0.17361930356575891,0.0016035030846698927,0.0016068156916075028,0.05686945410875174,0.026726978042950995
hate_speech__shared_text__scmae_only__seed42,hate_speech,shared_text,scmae_only,42,-0.015830851545047896,0.052898979638315934,0.41229431853461657,0,0.1731707648589061,0.0,0.0,0.0,0.0
hate_speech__shared_text__scmae_only__seed123,hate_speech,shared_text,scmae_only,123,-0.026656749356364938,0.04079005638830322,0.4476870537100279,0,0.17308718997698563,0.0,0.0,0.0,0.0
hate_speech__shared_text__scmae_only__seed7,hate_speech,shared_text,scmae_only,7,-0.0053997966350360325,0.0574606160557001,0.48494256442098727,0,0.17313349361603075,0.0,0.0,0.0,0.0
