dataset,seed,full_ari,scmae_only_ari,delta_ari,full_nmi,scmae_only_nmi,delta_nmi
Baron Human,7,0.0,0.18406477085314732,-0.18406477085314732,0.0,0.37949986140706654,-0.37949986140706654
Baron Human,42,-0.02301687527204849,0.18888904278117596,-0.21190591805322445,0.08398262978549627,0.38990466866787793,-0.3059220388823817
Baron Human,123,0.0,0.24454914793499183,-0.24454914793499183,0.0,0.4615960811086725,-0.4615960811086725
Campbell,7,0.17656347735254158,0.16209625133773184,0.014467226014809736,0.12213872761861203,0.3174375375111553,-0.19529880989254325
Campbell,42,-0.006356162100791085,0.21745819210663309,-0.22381435420742418,0.22395239420191493,0.3070104855129005,-0.08305809131098557
Campbell,123,-0.006119243253409655,0.2187739754247711,-0.22489321867818074,0.0037416759462810686,0.3175376560998961,-0.31379598015361504
Mouse_retina,7,0.20518695771699233,0.9292227391580575,-0.7240357814410652,0.45734075942830615,0.8771997640497008,-0.41985900462139464
Mouse_retina,42,0.43951384273468835,0.9467877901492143,-0.507273947414526,0.5995703089992763,0.9026783914411369,-0.3031080824418606
Mouse_retina,123,0.6800924799649711,0.9329627570613108,-0.2528702770963397,0.7214148580841334,0.8907768559052363,-0.16936199782110284
cnae9,7,0.48520713051426306,0.38007186889127553,0.10513526162298753,0.614950911560892,0.5923818905533769,0.022569021007515122
cnae9,42,0.4543122026978009,0.3400358989276127,0.11427630377018821,0.6024271855615632,0.590710205560907,0.01171698000065613
cnae9,123,0.5854333618589951,0.3599084241854884,0.22552493767350668,0.6685196709250433,0.604469467184911,0.06405020374013226
hate_speech,7,-0.05718769490895951,-0.0053997966350360325,-0.05178789827392348,0.025018887356885365,0.0574606160557001,-0.03244172869881474
hate_speech,42,-0.08556076576184753,-0.015830851545047896,-0.06972991421679964,0.04557039321256512,0.052898979638315934,-0.007328586425750815
hate_speech,123,-0.0828693024795836,-0.026656749356364938,-0.05621255312321866,0.0285453690156576,0.04079005638830322,-0.01224468737264562
sms_spam_collection,7,0.24106855670893762,0.8231286867113877,-0.5820601300024502,0.2611063634517304,0.6826075611867463,-0.4215011977350159
sms_spam_collection,42,0.5013611069497227,0.8292265574947976,-0.3278654505450749,0.38841688943501584,0.6945337388281593,-0.30611684939314343
sms_spam_collection,123,0.23084894218936308,0.8251389223089303,-0.5942899801195671,0.24030469608536223,0.6788070152552875,-0.4385023191699253
