dataset,scorer,view,fold,train_edge_count,test_edge_count,train_anchor_count,test_anchor_count,test_coverage,average_precision,auroc
cnae9,Logistic,Full,0,17260,4320,863,216,4320,0.8788417256016716,0.908897703403635
cnae9,Logistic,Full,1,17260,4320,863,216,4320,0.8920474063375289,0.9212328889460449
cnae9,Logistic,Full,2,17260,4320,863,216,4320,0.8860719814592687,0.9199977852080476
cnae9,Logistic,Full,3,17260,4320,863,216,4320,0.8953774427919511,0.9288000203617971
cnae9,Logistic,Full,4,17280,4300,864,215,4300,0.8985252938160451,0.9210778348656932
cnae9,Logistic,No-geometry,0,17260,4320,863,216,4320,0.720880373309651,0.8037986807698903
cnae9,Logistic,No-geometry,1,17260,4320,863,216,4320,0.7217107078656123,0.8032392895161752
cnae9,Logistic,No-geometry,2,17260,4320,863,216,4320,0.7013995828085525,0.7940855231195703
cnae9,Logistic,No-geometry,3,17260,4320,863,216,4320,0.7329151607016352,0.8141706943729995
cnae9,Logistic,No-geometry,4,17280,4300,864,215,4300,0.7352641308357951,0.8177602758247702
cnae9,Logistic,No-rank,0,17260,4320,863,216,4320,0.8733060511498172,0.9067319181884431
cnae9,Logistic,No-rank,1,17260,4320,863,216,4320,0.885695284244518,0.918491414108939
cnae9,Logistic,No-rank,2,17260,4320,863,216,4320,0.8838758316929206,0.9192026257787496
cnae9,Logistic,No-rank,3,17260,4320,863,216,4320,0.8917421151105651,0.92727333211877
cnae9,Logistic,No-rank,4,17280,4300,864,215,4300,0.8892525967384727,0.9176199972958355
cnae9,TinyMLP,Full,0,17260,4320,863,216,4320,0.8773689763906984,0.9094880169038638
cnae9,TinyMLP,Full,1,17260,4320,863,216,4320,0.8915524792651764,0.9202543170581846
cnae9,TinyMLP,Full,2,17260,4320,863,216,4320,0.8870744714085489,0.9205342917666897
cnae9,TinyMLP,Full,3,17260,4320,863,216,4320,0.8983937535980129,0.9309192547582305
cnae9,TinyMLP,Full,4,17280,4300,864,215,4300,0.8938211786662958,0.9217088065621056
cnae9,TinyMLP,No-geometry,0,17260,4320,863,216,4320,0.7180726188206867,0.7942855688443072
cnae9,TinyMLP,No-geometry,1,17260,4320,863,216,4320,0.7328826059991592,0.799588008509088
cnae9,TinyMLP,No-geometry,2,17260,4320,863,216,4320,0.6960030540098358,0.7729885134459304
cnae9,TinyMLP,No-geometry,3,17260,4320,863,216,4320,0.7392030437832218,0.8064166898862597
cnae9,TinyMLP,No-geometry,4,17280,4300,864,215,4300,0.7265884463052898,0.8050461961420587
cnae9,TinyMLP,No-rank,0,17260,4320,863,216,4320,0.8652931560945759,0.9002490747885231
cnae9,TinyMLP,No-rank,1,17260,4320,863,216,4320,0.877896715209235,0.9108713688128713
cnae9,TinyMLP,No-rank,2,17260,4320,863,216,4320,0.8740250361967193,0.9098190077374828
cnae9,TinyMLP,No-rank,3,17260,4320,863,216,4320,0.8843068534674243,0.92000158071845
cnae9,TinyMLP,No-rank,4,17280,4300,864,215,4300,0.8875745049337052,0.9164865017126375
Campbell,Logistic,Full,0,159880,39980,7994,1999,39980,0.9186494081360922,0.9494073444718024
Campbell,Logistic,Full,1,159880,39980,7994,1999,39980,0.9239100414092145,0.9553379663193279
Campbell,Logistic,Full,2,159880,39980,7994,1999,39980,0.9204372223151751,0.9518568636911419
Campbell,Logistic,Full,3,159900,39960,7995,1998,39960,0.9168082272361439,0.9504217237549528
Campbell,Logistic,Full,4,159900,39960,7995,1998,39960,0.9181462790213116,0.9522650648437895
Campbell,Logistic,No-geometry,0,159880,39980,7994,1999,39980,0.7468340628341954,0.8503333082248978
Campbell,Logistic,No-geometry,1,159880,39980,7994,1999,39980,0.7496147840551433,0.8539457687406317
Campbell,Logistic,No-geometry,2,159880,39980,7994,1999,39980,0.7493112695178777,0.8521362500388932
Campbell,Logistic,No-geometry,3,159900,39960,7995,1998,39960,0.7450824179140387,0.8520836289764071
Campbell,Logistic,No-geometry,4,159900,39960,7995,1998,39960,0.750164167521816,0.8535106978328845
Campbell,Logistic,No-rank,0,159880,39980,7994,1999,39980,0.9152622172436133,0.9465993679264177
Campbell,Logistic,No-rank,1,159880,39980,7994,1999,39980,0.918917992781051,0.951616091729373
Campbell,Logistic,No-rank,2,159880,39980,7994,1999,39980,0.9162175410029287,0.9486782014485649
Campbell,Logistic,No-rank,3,159900,39960,7995,1998,39960,0.9128335360226755,0.9476790197354511
Campbell,Logistic,No-rank,4,159900,39960,7995,1998,39960,0.9151074393739446,0.9491690190774693
Campbell,TinyMLP,Full,0,159880,39980,7994,1999,39980,0.9248975680988234,0.9511783950275121
Campbell,TinyMLP,Full,1,159880,39980,7994,1999,39980,0.9323319318358838,0.9578947516321108
Campbell,TinyMLP,Full,2,159880,39980,7994,1999,39980,0.9257710348228155,0.954200834680305
Campbell,TinyMLP,Full,3,159900,39960,7995,1998,39960,0.9251047393344178,0.9542853325255518
Campbell,TinyMLP,Full,4,159900,39960,7995,1998,39960,0.9235392662557563,0.9532734960623788
Campbell,TinyMLP,No-geometry,0,159880,39980,7994,1999,39980,0.7517138379418173,0.8359551628407167
Campbell,TinyMLP,No-geometry,1,159880,39980,7994,1999,39980,0.7609699898580135,0.8418615755893621
Campbell,TinyMLP,No-geometry,2,159880,39980,7994,1999,39980,0.743427283461573,0.8243516638050556
Campbell,TinyMLP,No-geometry,3,159900,39960,7995,1998,39960,0.765375745989349,0.8476521506595851
Campbell,TinyMLP,No-geometry,4,159900,39960,7995,1998,39960,0.7580306255958965,0.8394341564829761
