dataset,role,principle,seed,status,ARI,NMI,ACC,L_rec,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change,exact_budget_all_epochs,physical_gpu
Mouse_retina,corruption_presence_case,P0_Random,42,completed_valid,0.44559094911310654,0.37168142262527,0.6761254789272031,0.782645046710968,0.26934978148946354,0.1118231411637931,0.15752664032567051,152689.58781588674,True,2
Mouse_retina,corruption_presence_case,P0_Random,123,completed_valid,0.4412719260973316,0.3750767028470228,0.6791187739463601,0.7751665711402893,0.26934978148946354,0.11180592971743296,0.15754385177203065,152696.1497077644,True,3
Mouse_retina,corruption_presence_case,P0_Random,7,completed_valid,0.43263895402245794,0.3835382894383278,0.657088122605364,0.7763159871101379,0.26934978148946354,0.11183140390525224,0.15751837758421136,152564.52633218642,True,4
Mouse_retina,corruption_presence_case,P1_SupportPreserve,42,completed_valid,0.7566505518541462,0.4915068009271435,0.8314176245210728,0.7697479724884033,0.26934978148946354,0.0,0.26934978148946354,165271.9953069965,True,5
Mouse_retina,corruption_presence_case,P1_SupportPreserve,123,completed_valid,0.7359648098524302,0.47914198719064316,0.8187260536398467,0.7648147940635681,0.26934978148946354,0.0,0.26934978148946354,165437.60772474558,True,6
Mouse_retina,corruption_presence_case,P1_SupportPreserve,7,completed_valid,0.7840178834797183,0.5004505774390697,0.8377634099616859,0.7672171592712402,0.26934978148946354,0.0,0.26934978148946354,165218.85525675764,True,2
Mouse_retina,corruption_presence_case,P2_SupportTarget,42,completed_valid,0.8009431894052937,0.615714666559893,0.8842193486590039,0.8131085634231567,0.26934978148946354,0.26934978148946354,0.0,212458.73953964215,True,3
Mouse_retina,corruption_presence_case,P2_SupportTarget,123,completed_valid,0.854622070766955,0.6881537447116747,0.8978687739463601,0.8144633173942566,0.26934978148946354,0.26934978148946354,0.0,212644.11186138142,True,4
Mouse_retina,corruption_presence_case,P2_SupportTarget,7,completed_valid,0.8486310014012804,0.6698226405093284,0.8985871647509579,0.8073419332504272,0.26934978148946354,0.26934978148946354,0.0,212622.95556185866,True,5
Mouse_retina,corruption_presence_case,P3_FrequencyAware,42,completed_valid,0.8207069845460658,0.5397689948464683,0.8528496168582376,0.7487020492553711,0.26934978148946354,0.0,0.26934978148946354,97473.97289778019,True,6
Mouse_retina,corruption_presence_case,P3_FrequencyAware,123,completed_valid,0.8193814865771559,0.5498656614250049,0.8510536398467433,0.7493942975997925,0.26934978148946354,0.0,0.26934978148946354,97471.44322913761,True,2
Mouse_retina,corruption_presence_case,P3_FrequencyAware,7,completed_valid,0.843515868967819,0.5558233287596311,0.8585967432950191,0.7437469363212585,0.26934978148946354,0.0,0.26934978148946354,97461.42890453835,True,3
Mouse_retina,corruption_presence_case,P4_ResidualHard,42,completed_valid,0.8180237368927965,0.5530422701948445,0.8691331417624522,0.7652931809425354,0.26934978148946354,0.0,0.26934978148946354,140759.59994554892,True,4
Mouse_retina,corruption_presence_case,P4_ResidualHard,123,completed_valid,0.8228745466474621,0.566483969575815,0.8687739463601533,0.7651140689849854,0.26934978148946354,0.0,0.26934978148946354,140656.75391831546,True,5
Mouse_retina,corruption_presence_case,P4_ResidualHard,7,completed_valid,0.8327851743893818,0.5697370415570296,0.8664990421455939,0.7693839073181152,0.26934978148946354,0.0,0.26934978148946354,137510.42840665704,True,6
Mouse_retina,corruption_presence_case,P5_GeometryHard,42,completed_valid,0.5868913943450482,0.40029161657157114,0.7709530651340997,0.7706234455108643,0.26934978148946354,0.0,0.26934978148946354,221296.11445587353,True,2
Mouse_retina,corruption_presence_case,P5_GeometryHard,123,completed_valid,0.5383131467014028,0.3602598710542746,0.7510775862068966,0.7697848677635193,0.26934978148946354,0.0,0.26934978148946354,221367.1216813753,True,3
Mouse_retina,corruption_presence_case,P5_GeometryHard,7,completed_valid,0.5452266273699662,0.37600207549951065,0.7543103448275862,0.7744146585464478,0.26934978148946354,0.0,0.26934978148946354,221170.09761629254,True,4
Baron Human,support_sensitive_case,P0_Random,42,completed_valid,0.19819345994115267,0.3145148860423438,0.4030292273103775,0.7900282144546509,0.07884791740622411,0.05033585152644658,0.028512065879777546,2539764.6282198946,True,5
Baron Human,support_sensitive_case,P0_Random,123,completed_valid,0.2682803205588377,0.32490155353189354,0.4929594130872086,0.7853378057479858,0.07884791740622411,0.05033350959452531,0.028514407811698807,2535537.2593796053,True,6
Baron Human,support_sensitive_case,P0_Random,7,completed_valid,0.17762737422843303,0.3111824656985069,0.40563246953023313,0.7819823026657104,0.07884791740622411,0.050324049422159116,0.028523867984065008,2539552.5393731813,True,2
Baron Human,support_sensitive_case,P1_SupportPreserve,42,completed_valid,0.08242237117776721,0.14124764431175044,0.3007928055851379,0.7441070079803467,0.07884791740622411,0.0,0.07884791740622411,5032119.565632083,True,3
Baron Human,support_sensitive_case,P1_SupportPreserve,123,completed_valid,0.08351407945769694,0.14107271315965003,0.3342799668678263,0.7400620579719543,0.07884791740622411,0.0,0.07884791740622411,5018715.077389836,True,4
Baron Human,support_sensitive_case,P1_SupportPreserve,7,completed_valid,0.09930111937724934,0.1628784927869483,0.30741924032658857,0.747138500213623,0.07884791740622411,0.0,0.07884791740622411,5004526.168944617,True,5
Baron Human,support_sensitive_case,P2_SupportTarget,42,completed_valid,0.29041208025150633,0.5274507322691175,0.5437226363743936,0.8585702776908875,0.07884791740622411,0.07884791740622411,0.0,7232798.015330174,True,6
Baron Human,support_sensitive_case,P2_SupportTarget,123,completed_valid,0.40823425583438505,0.5599820706647112,0.6247781327653532,0.8482182025909424,0.07884791740622411,0.07884791740622411,0.0,7252753.958895308,True,2
Baron Human,support_sensitive_case,P2_SupportTarget,7,completed_valid,0.3236612807943432,0.5224579371597105,0.5768548100816472,0.8596418499946594,0.07884791740622411,0.07884791740622411,0.0,7224232.014495015,True,3
Baron Human,support_sensitive_case,P3_FrequencyAware,42,completed_valid,0.10032404591043843,0.16820013001172204,0.3372381966631168,0.7364839315414429,0.07884791740622411,0.0,0.07884791740622411,2087834.3480809191,True,4
Baron Human,support_sensitive_case,P3_FrequencyAware,123,completed_valid,0.10267957260045255,0.1799042655654374,0.3533309667494971,0.7389764189720154,0.07884791740622411,0.0,0.07884791740622411,2098537.0903532547,True,5
Baron Human,support_sensitive_case,P3_FrequencyAware,7,completed_valid,0.11626463211669291,0.17906416843353273,0.3432729854455094,0.7449736595153809,0.07884791740622411,0.0,0.07884791740622411,2098082.1549737533,True,6
Baron Human,support_sensitive_case,P4_ResidualHard,42,completed_valid,0.0991736486050837,0.16969606311139337,0.3128623831499231,0.7424392104148865,0.07884791740622411,0.0,0.07884791740622411,3792048.986522665,True,2
Baron Human,support_sensitive_case,P4_ResidualHard,123,completed_valid,0.11356897169450333,0.19671387134953894,0.35415927109217843,0.7419255375862122,0.07884791740622411,0.0,0.07884791740622411,3770471.50478966,True,3
Baron Human,support_sensitive_case,P4_ResidualHard,7,completed_valid,0.12315388882187905,0.19288442286015395,0.3309667494971009,0.745720386505127,0.07884791740622411,0.0,0.07884791740622411,3761303.1497294544,True,4
Baron Human,support_sensitive_case,P5_GeometryHard,42,completed_valid,0.09371706454607043,0.15279783005564668,0.3255236066737664,0.7466692328453064,0.07884791740622411,0.0,0.07884791740622411,6161312.530023291,True,5
Baron Human,support_sensitive_case,P5_GeometryHard,123,completed_valid,0.09447581526291293,0.15474023445781837,0.30753756951840017,0.7456733584403992,0.07884791740622411,0.0,0.07884791740622411,6190341.409392891,True,6
Baron Human,support_sensitive_case,P5_GeometryHard,7,completed_valid,0.10664943457934874,0.1738673543024548,0.3245769731392735,0.7533120512962341,0.07884791740622411,0.0,0.07884791740622411,6209556.108231557,True,2
Campbell,difficulty_sensitive_case,P0_Random,42,completed_valid,0.027551019329986753,0.0792074154455867,0.19903932752927048,0.7700955867767334,0.09043517962573805,0.07186668688915573,0.018568492736582277,174049.73550816873,True,3
Campbell,difficulty_sensitive_case,P0_Random,123,completed_valid,0.012340629714800417,0.08942398415998401,0.19353547483238268,0.7716335654258728,0.09043517962573805,0.07184552624337036,0.01858965338236766,173815.56079961458,True,4
