panel,dataset,model_a,model_b,ARI_delta,NMI_delta,ACC_delta
CLUBench,20newsgroups,PCA+KMeans,KMeans,-0.003260304005072774,-0.009027322692306577,-0.00566950141737535
CLUBench,Baron_Human,PCA+KMeans,KMeans,0.1466855956148065,0.2166169908492669,0.0952099349497339
CLUBench,CIFAR10_CLIP,PCA+KMeans,KMeans,-0.03850206056904282,-0.032649862112810846,-0.025999999999999912
CLUBench,COIL20_CLIP,PCA+KMeans,KMeans,0.020488596818156957,0.010185224378024271,0.0057870370370368684
CLUBench,Campbell,PCA+KMeans,KMeans,-0.10904308909461408,0.08515298358559212,-0.1710855427713857
CLUBench,Drug_Consumption,PCA+KMeans,KMeans,0.0058058088720026445,0.005356085531126837,0.0038095238095237627
CLUBench,FashionMNIST_CLIP,PCA+KMeans,KMeans,0.0012539879506799911,-0.020009426833509703,0.012833333333333252
CLUBench,ISOLET,PCA+KMeans,KMeans,0.036993111231455544,0.021971522439038105,0.025641025641025772
CLUBench,Indian_pines,PCA+KMeans,KMeans,-0.01393770813983708,-0.02211369545989328,-0.010534236267870534
CLUBench,JapaneseVowels,PCA+KMeans,KMeans,-0.18580513216971478,-0.28988633314122636,-0.18916206723532358
CLUBench,MNIST_CLIP,PCA+KMeans,KMeans,-0.022202635576146768,-0.02794628097728269,-0.011666666666666603
CLUBench,Mouse_retina,PCA+KMeans,KMeans,0.10317242178821073,0.12810383569037642,0.05505685218432088
CLUBench,PCam,PCA+KMeans,KMeans,0.0034462121235392515,0.003182924306110093,0.008749999999999925
CLUBench,Waveform,PCA+KMeans,KMeans,-0.002296403904721994,-0.007767784411827183,-0.005666666666666653
CLUBench,banknote_authentication,PCA+KMeans,KMeans,0.04159801667452825,0.029734224632310565,0.05818181818181811
CLUBench,birds_bones_and_living_habits,PCA+KMeans,KMeans,0.01486537855505271,-0.003712187104153053,0.004016064257028051
CLUBench,blood_transfusion_service_center,PCA+KMeans,KMeans,0.11069296345323548,0.0428631111362766,0.10000000000000009
CLUBench,boston,PCA+KMeans,KMeans,-0.3176831580390035,-0.18706824705144265,-0.22580645161290325
CLUBench,breast_cancer_coimbra,PCA+KMeans,KMeans,-0.05781921022310674,-0.05775666378004896,-0.08333333333333337
CLUBench,breast_cancer_wisconsin_original,PCA+KMeans,KMeans,0.0,0.0,0.0
CLUBench,breast_cancer_wisconsin_prognostic,PCA+KMeans,KMeans,-0.08055229137309983,-0.02034922243784082,-0.026315789473684292
CLUBench,breast_tissue,PCA+KMeans,KMeans,-0.0872507296344634,-0.03797280037099415,-0.09090909090909094
CLUBench,cardiovascular_study,PCA+KMeans,KMeans,-0.043231065451223,-0.006710363007236658,-0.09044368600682595
CLUBench,cifar10,PCA+KMeans,KMeans,0.0017023917535807717,0.002987876463699801,0.0
CLUBench,classification_in_asteroseismology,PCA+KMeans,KMeans,-0.15682386323741326,-0.2291227766999837,-0.03482587064676601
CLUBench,cnae9,PCA+KMeans,KMeans,0.19734329224483316,0.40118436182429396,0.2993827160493827
CLUBench,coil20,PCA+KMeans,KMeans,0.029800385110153593,0.0041828185814362095,0.02314814814814814
CLUBench,credit_risk_classification,PCA+KMeans,KMeans,-0.01429847337173002,0.0029085745457583636,-0.005102040816326481
CLUBench,crowdsourced_mapping,PCA+KMeans,KMeans,-0.013957614670023044,-0.021587601750495067,-0.018833333333333258
CLUBench,customer_classification,PCA+KMeans,KMeans,-0.000606879749774877,-0.00923934749401547,-0.0016666666666666496
CLUBench,date_fruit,PCA+KMeans,KMeans,-0.39488988368823424,-0.32949822414659574,-0.25
CLUBench,dermatology,PCA+KMeans,KMeans,-0.949078292684473,-0.7874310476656285,-0.6342592592592593
CLUBench,diabetic_retinopathy_debrecen,PCA+KMeans,KMeans,-0.01923072940554037,-0.014524134246712438,-0.06060606060606055
CLUBench,dilbert,PCA+KMeans,KMeans,0.06645144575661593,0.12114906567311651,0.030666666666666675
CLUBench,dry_bean,PCA+KMeans,KMeans,-0.2778712941452946,-0.19935463984821333,-0.2140000000000002
CLUBench,durum_wheat_features,PCA+KMeans,KMeans,-0.2432543943429377,-0.3124312413246164,0.09759259259259262
CLUBench,echocardiogram,PCA+KMeans,KMeans,-0.5005522088353414,-0.09318179100790583,-0.3076923076923077
CLUBench,ecoli,PCA+KMeans,KMeans,-0.3032387156377936,-0.09981753576109298,-0.30808080808080796
CLUBench,enron,PCA+KMeans,KMeans,-0.02540873067005378,-0.0243181716916131,-0.007000000000000117
CLUBench,epileptic_seizure_recognition,PCA+KMeans,KMeans,0.0003161948101609198,0.004177898364506966,0.0031884057971014457
CLUBench,extyaleb,PCA+KMeans,KMeans,-0.12512761574620093,-0.21371273399599977,-0.17708333333333331
CLUBench,fabert,PCA+KMeans,KMeans,-0.0024948602200385076,-0.004452599662334911,-0.007686084142394856
CLUBench,fashion_mnist,PCA+KMeans,KMeans,-0.010216414130896911,-0.004574619119641965,-0.021666666666666667
CLUBench,fbis.wc,PCA+KMeans,KMeans,-0.001946476711520817,0.022276398537061218,-0.007575757575757569
CLUBench,fetal_health_classification,PCA+KMeans,KMeans,-0.10653480520405534,-0.11203322391102304,-0.12363067292644758
CLUBench,first-order-theorem-proving,PCA+KMeans,KMeans,-0.0034000991420407743,0.010385608022964544,-0.0209694989106754
CLUBench,flickr_material_database,PCA+KMeans,KMeans,-0.0031347035070928564,-0.0012468888122585398,-0.021666666666666723
CLUBench,fraud_detection_bank,PCA+KMeans,KMeans,-0.0006203753835047826,0.0005429455939577691,-0.0004999999999999449
CLUBench,gas-drift,PCA+KMeans,KMeans,0.08475126768935028,0.034294194795285754,0.009666666666666712
CLUBench,gina_prior2,PCA+KMeans,KMeans,0.048497524346376886,0.0711741018464534,0.04707012487992318
CLUBench,glass_identification,PCA+KMeans,KMeans,0.08875758753177235,0.06336096749605724,0.06976744186046507
CLUBench,har,PCA+KMeans,KMeans,0.17897093444239093,0.09409260793034635,0.13151927437641725
CLUBench,harbermans_survival,PCA+KMeans,KMeans,-0.00759451821132398,-0.002985020232396045,-0.048387096774193505
CLUBench,hate_speech,PCA+KMeans,KMeans,-0.010518498791699311,0.0785001889513347,-0.17312661498708015
CLUBench,heart_attack_analysis_prediction_dataset,PCA+KMeans,KMeans,-0.4701384981221313,-0.38914561166938016,-0.2622950819672131
