artifact,exists,sha256,reuse_decision,protocol_status,evidence,training_saved
Temp\topogate_protocol_20260910\protocol.json,True,eaa534b38b0671d1bacaea9c9c2a4aa1086d518465a7ed750f1246f69305592c,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\Temp\topogate_protocol_20260910\protocol.json,not counted as formal training
papers\正文草稿\过期表格\library_cross_all_20260909.tsv,True,582cc56dda2cf559a03883ebd88644d77bf9fe582a93e1caff0ba7eb3a45a1c9,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\papers\正文草稿\过期表格\library_cross_all_20260909.tsv,not counted as formal training
papers\正文草稿\过期表格\library_cross_macro_20260909.tsv,True,a2f23533be69b954f921ccb41f375be5ae9705ee843de970ce43f49fbb1811fb,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\papers\正文草稿\过期表格\library_cross_macro_20260909.tsv,not counted as formal training
papers\正文草稿\过期表格\library_cross_coverage_20260909.tsv,True,f716cdf1b74e87afb8f06567917cb381b52699065646b0f5ea9eb89146fccba7,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\papers\正文草稿\过期表格\library_cross_coverage_20260909.tsv,not counted as formal training
papers\实验\全库交叉汇总_模型x数据集x指标_20260910.xlsx,True,e82d8dfbfd2274fd3c990fea5d8232706891023363ab24c8f1b7c3584e23a1ee,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\papers\实验\全库交叉汇总_模型x数据集x指标_20260910.xlsx,not counted as formal training
audit_sources\baseline_comparison_summary.csv,True,fa580963fe41db923a2b6e6585f69af8ffcc9e8726d18107672d05c3551bdc91,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\audit_sources\baseline_comparison_summary.csv,not counted as formal training
audit_sources\biological_baseline_completion_summary_20260905.csv,True,a834439687d58f17fd0b14ac43af2c1c5c358806cd3c789c85dc7b86d5c0d28b,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\audit_sources\biological_baseline_completion_summary_20260905.csv,not counted as formal training
papers\实验\v0-RG\v0_rg_bundle.json,True,f8411207ee12570b983529959bd813ed1ab747064b0bda1fa27ac7fc90901094,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\papers\实验\v0-RG\v0_rg_bundle.json,not counted as formal training
papers\实验\v0-RG\STATUS.json,True,e1f6decfd1d95371c8aec3745f86e901c4f3604972d91b69becc028302018425,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\papers\实验\v0-RG\STATUS.json,not counted as formal training
papers\实验\v0-RG\EXPERIMENT_NOTES.json,True,22b74b448165c2d6d4ef180d4f6ad4a352dc9e22c38fb5f4af411435ccf9e4a1,reuse_as_background_only,mismatch_or_unverified,S:\Creation\写论文\武汉理工\论文们\TopoGate\papers\实验\v0-RG\EXPERIMENT_NOTES.json,not counted as formal training
