K_source,data_sha256,dataset_id,development_use_history,input_kind,label_key,labels_embedded,labels_path,labels_used_during_fit,labels_used_for_selection,n_clusters,n_features,n_samples,npz_sha256,panel,path,representation,source_group,source_h5ad,source_h5ad_sha256,source_reference,source_verification,sparsity,status,test_used_for_selection
benchmark_oracle_from_y,c55eacb12cce06546cc8e738597c0dbfabf435f3e6d573ec2996149e83134f1e,20newsgroups,,general,,True,,,,20,4096,9991,,clubench,/data/luolie/ToPoGate/datasets/20newsgroups.npz,CLUBench-provided,20newsgroups,,,,pending,0.0008663803282329096,candidate,
benchmark_oracle_from_y,cc9c529e27bf88969c356f4843b63766030d20c731245a828cda0ed1f17aef7a,banknote_authentication,,general,,True,,,,2,4,1372,,clubench,/data/luolie/ToPoGate/datasets/banknote_authentication.npz,CLUBench-provided,banknote_authentication,,,,pending,0.0,candidate,
benchmark_oracle_from_y,99c5bb7a272f5b22d64949179c6d49b4b52220670f3a7cef38e9e405902249d8,Baron_Human,,general,,True,,,,9,20125,8451,,clubench,/data/luolie/ToPoGate/datasets/Baron Human.npz,CLUBench-provided,Baron Human,,,,pending,0.906039677762417,candidate,
benchmark_oracle_from_y,9b76d262c24d2e6ddd9ddee7fb3aa20d5bbafcdfb6beedcffc0148166369175e,birds_bones_and_living_habits,,general,,True,,,,6,10,413,,clubench,/data/luolie/ToPoGate/datasets/birds_bones_and_living_habits.npz,CLUBench-provided,birds_bones_and_living_habits,,,,pending,0.0,candidate,
benchmark_oracle_from_y,4c9278dfd77a3191141205185b4c1767a51376e8f586c112ea7780cb4e6a241f,blood_transfusion_service_center,,general,,True,,,,2,4,748,,clubench,/data/luolie/ToPoGate/datasets/blood_transfusion_service_center.npz,CLUBench-provided,blood_transfusion_service_center,,,,pending,0.0016711229946524064,candidate,
benchmark_oracle_from_y,5e5e6460334c578398a6203567d042d9bfc1d88740fbc5dedfc64528fb1cec88,boston,,general,,True,,,,3,13,154,,clubench,/data/luolie/ToPoGate/datasets/boston.npz,CLUBench-provided,boston,,,,pending,0.0,candidate,
benchmark_oracle_from_y,f2d0b55ac02802747cc13906edf04fd76274f30abeac8f9ca7ff90811d381829,breast_cancer_coimbra,,general,,True,,,,2,9,116,,clubench,/data/luolie/ToPoGate/datasets/breast_cancer_coimbra.npz,CLUBench-provided,breast_cancer_coimbra,,,,pending,0.0,candidate,
benchmark_oracle_from_y,3ba1713b62cf59ab7944eb4c3d13d579c92f6d9ec6632f8e6b4977045ecb15bf,breast_cancer_wisconsin_original,,general,,True,,,,2,9,683,,clubench,/data/luolie/ToPoGate/datasets/breast_cancer_wisconsin_original.npz,CLUBench-provided,breast_cancer_wisconsin_original,,,,pending,0.0,candidate,
benchmark_oracle_from_y,4d81be40659ac3574e5b804c3d9fd88702c0bf81f852714c833bc13cc9279946,breast_cancer_wisconsin_prognostic,,general,,True,,,,2,30,569,,clubench,/data/luolie/ToPoGate/datasets/breast_cancer_wisconsin_prognostic.npz,CLUBench-provided,breast_cancer_wisconsin_prognostic,,,,pending,0.0045694200351493845,candidate,
benchmark_oracle_from_y,be5bc11beaf38be195e11283808133b094d8f7902f90eb2c2ce1823c218a2f4e,breast_tissue,,general,,True,,,,6,9,106,,clubench,/data/luolie/ToPoGate/datasets/breast_tissue.npz,CLUBench-provided,breast_tissue,,,,pending,0.0020964360587002098,candidate,
benchmark_oracle_from_y,f26c9568baf8e8fade7a61e6fed80f16ceb3980afe38b7c9ccbe9aaad2b96e04,Campbell,,general,,True,,,,14,26774,9993,,clubench,/data/luolie/ToPoGate/datasets/Campbell.npz,CLUBench-provided,Campbell,,,,pending,0.9307392518454559,candidate,
benchmark_oracle_from_y,1aa5a73966a0fca784393ee57f2a397087f452b9b7a214335bfe5dd558f5ff6f,cardiovascular_study,,general,,True,,,,2,15,2927,,clubench,/data/luolie/ToPoGate/datasets/cardiovascular_study.npz,CLUBench-provided,cardiovascular_study,,,,pending,0.338685798883954,candidate,
benchmark_oracle_from_y,d86268218b1c20efaf28db4eba6614b833cb3a4c83a395b84d1b3209e441b7c5,cifar10,,general,,True,,,,10,1024,3250,,clubench,/data/luolie/ToPoGate/datasets/cifar10.npz,CLUBench-provided,cifar10,,,,pending,0.002421875,candidate,
benchmark_oracle_from_y,92594530e8a7958bf7c8043661188f501c22d45ed4b96e8193a3e6a5e8ebc097,CIFAR10_CLIP,,general,,True,,,,10,512,10000,,clubench,/data/luolie/ToPoGate/datasets/CIFAR10_CLIP.npz,CLUBench-provided,CIFAR10_CLIP,,,,pending,0.0,candidate,
benchmark_oracle_from_y,e3ac681a82fe020140378e1a977d1d554ceb1073d705e95ec4acbfdcef3ca43f,classification_in_asteroseismology,,general,,True,,,,2,3,1001,,clubench,/data/luolie/ToPoGate/datasets/classification_in_asteroseismology.npz,CLUBench-provided,classification_in_asteroseismology,,,,pending,0.0,candidate,
benchmark_oracle_from_y,e3a22bcfa761a837b8881a3a1966f6008d911b77948b76a4e4a8ca2aae65a71e,cnae9,,general,,True,,,,9,856,1080,,clubench,/data/luolie/ToPoGate/datasets/cnae9.npz,CLUBench-provided,cnae9,,,,pending,0.992176142263759,candidate,
benchmark_oracle_from_y,c191ce523e8a25938bcfdf1f66262270a9ce637ea8786c860ae5e2f252c34ba1,coil20,,general,,True,,,,20,400,1440,,clubench,/data/luolie/ToPoGate/datasets/coil20.npz,CLUBench-provided,coil20,,,,pending,0.36907118055555554,candidate,
benchmark_oracle_from_y,63aac0b5b88f84946745b1930071b711d45428d5dd8995ef896ba0fd5fcf0e36,COIL20_CLIP,,general,,True,,,,20,512,1440,,clubench,/data/luolie/ToPoGate/datasets/COIL20_CLIP.npz,CLUBench-provided,COIL20_CLIP,,,,pending,0.0,candidate,
benchmark_oracle_from_y,e0e67add279a60a97f2b4233d1080efc3c616e5fe190d8a346ec233e236727e2,credit_risk_classification,,general,,True,,,,2,11,976,,clubench,/data/luolie/ToPoGate/datasets/credit_risk_classification.npz,CLUBench-provided,credit_risk_classification,,,,pending,0.0,candidate,
benchmark_oracle_from_y,9c80244df8b5e093d558c36c531054d96425631fbe68ccd79fd62507db908db9,crowdsourced_mapping,,general,,True,,,,4,28,9997,,clubench,/data/luolie/ToPoGate/datasets/crowdsourced_mapping.npz,CLUBench-provided,crowdsourced_mapping,,,,pending,1.0717500964575086e-05,candidate,
benchmark_oracle_from_y,cb06b906be36aca17a3bf7a17a01e38410b0c8ea195911f659b8102bacbb1348,customer_classification,,general,,True,,,,4,11,1000,,clubench,/data/luolie/ToPoGate/datasets/customer_classification.npz,CLUBench-provided,customer_classification,,,,pending,0.19118181818181817,candidate,
benchmark_oracle_from_y,bf5a860259aa1130ec4d1cb445f2daf87a916bd0cf10bfd7227713fcac15d627,date_fruit,,general,,True,,,,7,34,898,,clubench,/data/luolie/ToPoGate/datasets/date_fruit.npz,CLUBench-provided,date_fruit,,,,pending,0.0,candidate,
benchmark_oracle_from_y,0bede9e2822d10b693b64f0bad98b7222d3d253bfcc3c945455e4676f73ad49f,dermatology,,general,,True,,,,6,34,358,,clubench,/data/luolie/ToPoGate/datasets/dermatology.npz,CLUBench-provided,dermatology,,,,pending,0.5956293131777851,candidate,
benchmark_oracle_from_y,1af52cc9db4a129973d413b64ca8faa31c2c5b9d49acfa8494628189852fe5ce,diabetic_retinopathy_debrecen,,general,,True,,,,2,19,1151,,clubench,/data/luolie/ToPoGate/datasets/diabetic_retinopathy_debrecen.npz,CLUBench-provided,diabetic_retinopathy_debrecen,,,,pending,0.15176734189949243,candidate,
benchmark_oracle_from_y,20f3652805b617a7fdbb5ee50cfe0443fe9f55bdbccc700f97cd13e2d7b65e48,dilbert,,general,,True,,,,5,2000,10000,,clubench,/data/luolie/ToPoGate/datasets/dilbert.npz,CLUBench-provided,dilbert,,,,pending,0.0,candidate,
