model,dataset,seed,source,accepted,protocol,historical_source_path,reason
KMeans,20newsgroups,42,new_run,yes,transductive,,accepted target seed record
KMeans,20newsgroups,123,new_run,yes,transductive,,accepted target seed record
KMeans,20newsgroups,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,20newsgroups,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,20newsgroups,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,20newsgroups,7,new_run,yes,transductive,,accepted target seed record
KMeans,banknote_authentication,42,new_run,yes,transductive,,accepted target seed record
KMeans,banknote_authentication,123,new_run,yes,transductive,,accepted target seed record
KMeans,banknote_authentication,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,banknote_authentication,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,banknote_authentication,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,banknote_authentication,7,new_run,yes,transductive,,accepted target seed record
KMeans,Baron_Human,42,new_run,yes,transductive,,accepted target seed record
KMeans,Baron_Human,123,new_run,yes,transductive,,accepted target seed record
KMeans,Baron_Human,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Baron_Human,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Baron_Human,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Baron_Human,7,new_run,yes,transductive,,accepted target seed record
KMeans,birds_bones_and_living_habits,42,new_run,yes,transductive,,accepted target seed record
KMeans,birds_bones_and_living_habits,123,new_run,yes,transductive,,accepted target seed record
KMeans,birds_bones_and_living_habits,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,birds_bones_and_living_habits,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,birds_bones_and_living_habits,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,birds_bones_and_living_habits,7,new_run,yes,transductive,,accepted target seed record
KMeans,blood_transfusion_service_center,42,new_run,yes,transductive,,accepted target seed record
KMeans,blood_transfusion_service_center,123,new_run,yes,transductive,,accepted target seed record
KMeans,blood_transfusion_service_center,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,blood_transfusion_service_center,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,blood_transfusion_service_center,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,blood_transfusion_service_center,7,new_run,yes,transductive,,accepted target seed record
KMeans,boston,42,new_run,yes,transductive,,accepted target seed record
KMeans,boston,123,new_run,yes,transductive,,accepted target seed record
KMeans,boston,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,boston,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,boston,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,boston,7,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_coimbra,42,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_coimbra,123,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_coimbra,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_coimbra,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_coimbra,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_coimbra,7,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_wisconsin_original,42,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_wisconsin_original,123,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_wisconsin_original,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_wisconsin_original,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_wisconsin_original,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_wisconsin_original,7,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_wisconsin_prognostic,42,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_wisconsin_prognostic,123,new_run,yes,transductive,,accepted target seed record
KMeans,breast_cancer_wisconsin_prognostic,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_wisconsin_prognostic,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_wisconsin_prognostic,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_cancer_wisconsin_prognostic,7,new_run,yes,transductive,,accepted target seed record
KMeans,breast_tissue,42,new_run,yes,transductive,,accepted target seed record
KMeans,breast_tissue,123,new_run,yes,transductive,,accepted target seed record
KMeans,breast_tissue,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_tissue,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_tissue,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,breast_tissue,7,new_run,yes,transductive,,accepted target seed record
KMeans,Campbell,42,new_run,yes,transductive,,accepted target seed record
KMeans,Campbell,123,new_run,yes,transductive,,accepted target seed record
KMeans,Campbell,7,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Campbell,42,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Campbell,123,new_run,yes,transductive,,accepted target seed record
PCA+KMeans,Campbell,7,new_run,yes,transductive,,accepted target seed record
KMeans,cardiovascular_study,42,new_run,yes,transductive,,accepted target seed record
