dataset,model,n_clusters,n_samples,n_features,ACC,NMI,ARI,time_sec
iris,IDC,3,150,4,0.8133333333333334,0.6166224199890987,0.5801379164100954,1.4733126163482666
har,IDC,6,735,561,0.3414965986394558,0.4645405748742796,0.2969601055466589,6.252655982971191
spambase,IDC,2,4601,57,0.5985655292327755,0.010417215421592156,-0.00494969888751088,44.49689173698425
breast_cancer_wisconsin_original,IDC,2,683,9,0.972181551976574,0.814377134375686,0.890981602222408,5.978366374969482
mammographic_mass,IDC,2,830,5,0.7975903614457831,0.2926062894788015,0.35346652553410773,7.57975435256958
sms_spam_collection,IDC,2,835,500,0.6778443113772455,0.1809188974868605,0.12068127546555851,8.984864473342896
enron,IDC,2,9999,4096,0.6279627962796279,0.07816314534103187,0.06542526164911158,107.99436116218567
ISOLET,IDC,26,7797,617,0.17198922662562524,0.38091804289832787,0.06924515037783804,76.53745627403259
reuters,IDC,3,6576,4096,0.5770985401459854,0.3657120294911025,0.2779980057845456,71.87336564064026
cnae9,IDC,9,1080,856,0.1712962962962963,0.0719717827355145,0.027996939238764545,12.287338733673096
Campbell,IDC,14,9993,26774,0.4566196337436205,0.10757034097014101,0.1479395953068112,171.14757537841797
first-order-theorem-proving,IDC,6,6118,51,0.2615233736515201,0.050177243455963964,0.0030210734951642056,61.06665825843811
Mouse_retina,IDC,5,8352,6198,0.9075670498084292,0.6426768351879021,0.7170159214724031,100.07782912254333
Quake_Smart-seq2_Lung,IDC,11,1676,23341,0.4743436754176611,0.16365578303449974,0.12816122554376586,24.703665256500244
hrvatin_filtered,IDC,8,48266,500,0.5880951394356275,0.6698119401726741,0.46653478992577846,647.5035367012024
