dataset,model,n_clusters,n_samples,n_features,ACC,NMI,ARI,time_sec
iris,TableDC,3,150,4,0.8133333333333334,0.6444837346223373,0.5874228391993436,1.374366044998169
har,TableDC,6,735,561,0.4326530612244898,0.44525544176976267,0.2727582227240204,1.430415153503418
spambase,TableDC,2,4601,57,0.5842208215605303,0.0003897158219703574,0.004419292925201538,1.5475568771362305
breast_cancer_wisconsin_original,TableDC,2,683,9,0.9443631039531479,0.6803054200344903,0.78711908880924,1.2088968753814697
mammographic_mass,TableDC,2,830,5,0.5156626506024097,0.0024820513130164178,0.00014350230309433982,1.2688634395599365
sms_spam_collection,TableDC,2,835,500,0.8011976047904191,0.19553483141747718,0.290792925125099,1.3309571743011475
enron,TableDC,2,9999,4096,0.9145914591459146,0.6061905227232502,0.6875133423464885,6.417074203491211
ISOLET,TableDC,26,7797,617,0.518789277927408,0.6315120079358035,0.4033068193126436,5.376030206680298
reuters,TableDC,3,6576,4096,0.6000608272506083,0.2879196583051324,0.3004226432683191,5.303593158721924
cnae9,TableDC,9,1080,856,0.18518518518518517,0.05535722549348737,0.024659943942200335,1.377960205078125
Campbell,TableDC,14,9993,26774,0.4132893025117582,0.14088399335464996,0.1987689623826138,23.310865879058838
first-order-theorem-proving,TableDC,6,6118,51,0.3524027459954233,0.015664528239602377,0.005193789474217041,1.456798791885376
Mouse_retina,TableDC,5,8352,6198,0.6884578544061303,0.37460640250769217,0.4237996071640268,6.781657934188843
Quake_Smart-seq2_Lung,TableDC,11,1676,23341,0.3383054892601432,0.10370198563003835,0.04458852783797269,3.6931312084198
hrvatin_filtered,TableDC,8,48266,500,0.4984253926159201,0.2755207291632567,0.12316968557821902,207.61118817329407
