dataset,model,n_clusters,n_samples,n_features,ACC,NMI,ARI,time_sec
iris,TopoGate,3,150,4,0.8666666666666667,0.7004099176605741,0.676454462051257,6.004568099975586
har,TopoGate,6,735,561,0.6408163265306123,0.5731145985767864,0.4135932607747958,9.036140203475952
spambase,TopoGate,2,4601,57,0.894370788958922,0.5004329380502347,0.6211510095689471,43.62625789642334
breast_cancer_wisconsin_original,TopoGate,2,683,9,0.9619326500732065,0.7793945563821635,0.8526035237201478,6.810647964477539
mammographic_mass,TopoGate,2,830,5,0.810843373493976,0.3409367179340975,0.3857645239036342,8.469782829284668
sms_spam_collection,TopoGate,2,835,500,0.9748502994011976,0.725877897909459,0.8606177056057682,9.19411301612854
enron,TopoGate,2,9999,4096,0.9724972497249725,0.8441717195327049,0.8930039219257289,184.76145887374878
ISOLET,TopoGate,26,7797,617,0.5531614723611645,0.7320729446229743,0.4595852909392,92.62021350860596
reuters,TopoGate,3,6576,4096,0.5699513381995134,0.2999753770463107,0.3022767187932666,118.07987928390503
cnae9,TopoGate,9,1080,856,0.5944444444444444,0.5690493500339817,0.33028345562268857,12.254395723342896
Campbell,TopoGate,14,9993,26774,0.30061042729910936,0.3180112257988915,0.22138302516711575,1172.7946507930756
first-order-theorem-proving,TopoGate,6,6118,51,0.2543314808761033,0.06550123679350077,0.021578545796963614,64.45139718055725
Mouse_retina,TopoGate,5,8352,6198,0.9790469348659003,0.8700738457369401,0.9234835627379633,207.1883339881897
Quake_Smart-seq2_Lung,TopoGate,11,1676,23341,0.4039379474940334,0.4069262637151817,0.18762859652323305,165.0101101398468
hrvatin_filtered,TopoGate,8,48266,500,0.34554344673268966,0.17182504053746808,0.011542982191476751,104.47025465965271
