dataset,model,n_clusters,n_samples,n_features,ACC,NMI,ARI,time_sec
iris,ZEUS,3,150,4,0.74,0.6740140708694141,0.5536041211913872,0.41207170486450195
har,ZEUS,6,735,561,0.4965986394557823,0.6679257336068037,0.4492842470364087,1.6810595989227295
spambase,ZEUS,2,4601,57,0.6072592914583786,0.009898123752953297,0.028939613394632337,5.098722219467163
breast_cancer_wisconsin_original,ZEUS,2,683,9,0.972181551976574,0.8178227522988706,0.8910118610659804,1.0854337215423584
mammographic_mass,ZEUS,2,830,5,0.708433734939759,0.1309519551908344,0.1727887418842738,1.027989387512207
sms_spam_collection,ZEUS,2,835,500,0.6215568862275449,0.0906606657258207,0.057241885447411926,1.0459165573120117
enron,ZEUS,2,9999,4096,0.9591959195919592,0.754812672818479,0.8434279111833823,2.8638570308685303
ISOLET,ZEUS,26,7797,617,0.5244324740284725,0.7309947095439673,0.4708886256674503,6.532015562057495
reuters,ZEUS,3,6576,4096,0.5512469586374696,0.3296667010672974,0.23282928256352411,3.244032144546509
cnae9,ZEUS,9,1080,856,0.4064814814814815,0.37227923061828916,0.11584456987791063,2.134596109390259
Campbell,ZEUS,14,9993,26774,0.365355749024317,0.408437815715954,0.2358399584520835,8.184339761734009
first-order-theorem-proving,ZEUS,6,6118,51,0.33654789146779995,0.046708838083143675,0.07213859160345004,2.6675961017608643
Mouse_retina,ZEUS,5,8352,6198,0.9297174329501916,0.7356898645179859,0.7389976225422917,2.6232285499572754
Quake_Smart-seq2_Lung,ZEUS,11,1676,23341,0.30250596658711215,0.19256674668306542,0.12108210048376715,3.0354418754577637
hrvatin_filtered,ZEUS,8,48266,500,0.6352090498487548,0.6790928045579381,0.5560439638509161,5.810260057449341
